"Target Title","Level 0","Level 1","Level 2","Level 3","Justification"
"TA1.9: The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005","D,E","35,38","35.1,38.2","35.11,38.21","The EU ETS primarily covers energy generation and waste management sectors, focusing on emissions."
"TA1.12: Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector","A","2","2.1","2.1","This target involves forest management and land use, falling under agriculture and forestry."
"TA2.6: Energy demand to be covered by solar heat and geothermal should at least triple","D","35","35.1","35.11","This target is related to renewable energy generation, particularly solar and geothermal energy."
"TA2.27: Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030","F","41,43","41.2,43.3","41.20,43.39","The target focuses on building construction and renovation, involving construction and specialized activities."
"TA3.4: By 2030 textile products placed on the EU market are long-lived and recyclable","C","13","13.9","13.94","The focus is on sustainable textile manufacturing and recycling processes."
"TA3.33: Recycling of wood in packaging,30%","C,E","16,38","16.2,38.3","16.24,38.32","This involves wood product manufacturing and waste recycling activities."
"TA4.16: From 1 January 2020, this Regulation sets an EU fleet-wide target of 95 g CO2/km for the average emissions of new passenger cars","C","29","29.1","29.10","The target pertains to the automotive manufacturing sector, especially motor vehicles."
"TA4.28: by 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations","H","52","52.2","52.21","This relates to transportation infrastructure, specifically support activities for transportation."
"TA5.26: Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption","P","85","85.6","85.60","This target pertains to educational activities focusing on health and sustainability."
"TA5.35: Strengthen the resilience of the EU food system. Build up resilience to possible future diseases and pandemics","A,C","1,10","1.1,10.8","1.11,10.89","This involves agriculture and food manufacturing sectors to enhance sustainability and resilience."
"TA6.29","M,N","74","74.9","74.90","Without specific content, this might involve professional and consultancy activities related to environmental impact."
"TA7.12: Develop measures to significantly increase efforts to identify, investigate, assess and remediate contaminated sites","E","39","39.0","39.00","This target focuses on remediation services and waste management activities."
