Target code;Target content;NACE Level 1;NACE Level 1 extra1;NACE Level 1 extra2;NACE Level 2;NACE Level 2 extra1;NACE Level 2 extra2;NACE Level 3;NACE Level 3 extra1;NACE Level 3 extra2;Justification;;;
TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;B - Mining and Quarrying;D35 - Electricity, gas, steam and air conditioning supply;C20 - Manufacture of chemicals and chemical products;B6 - Extraction of crude petroleum and natural gas;D35.1 - Electric power generation, transmission and distribution;C20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms;B6.1 - Extraction of crude petroleum;This target focuses on reducing emissions in sectors covered by the EU Emissions Trading System (ETS), which primarily includes industries related to energy, manufacturing, and mining.;;;
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;;;;A2 - Forestry and logging;;;;A2.1 - Silviculture and other forestry activities;;;;This target is specific to the LULUCF sector, which involves agriculture, forestry, and logging activities.
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple (currently rate at 1,5%);D - Electricity, Gas, Steam and Air Conditioning Supply;;;;D35 - Electricity, gas, steam and air conditioning supply;;;;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;;;;This target is related to increasing renewable energy sources, mainly in the energy supply sector.
TA2.27;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030 to support reaching an annual energy renovation rate of 3 % or more for the period till 2050;F - Construction;;;;F41 - Construction of buildings;;;;F41.2 - Construction of residential and non-residential buildings;;;;This target involves the renovation of buildings, which falls under the construction sector.
TA3.4;By 2030 textile products placed on the EU market are long-lived and recyclable, to a great extent made of recycled fibres, free of hazardous substances and produced in respect of social rights and the environment;C - Manufacturing;;;;C13 - Manufacture of textiles;;;;C13.1 - Preparation and spinning of textile fibres;;;;This target is directly related to the textile manufacturing industry, focusing on recyclability and sustainability.
TA3.33;Recycling of wood in packaging,30%;C - Manufacturing;;;;C16 - Manufacture of wood and of products of wood and cork, except furniture;;;;C16.2 - Manufacture of products of wood, cork, straw and plaiting materials;;;;This target focuses on the recycling of wood, which is part of the wood product manufacturing industry.
TA4.16;From 1 January 2020, this Regulation sets an EU fleet-wide target of 95 g CO2/km for the average emissions of new passenger cars and an EU fleet-wide target of 147 g CO2/km for the average emissions of new light commercial vehicles registered in the Union;C - Manufacturing;;;;C29 - Manufacture of motor vehicles, trailers and semi-trailers;;;;C29.1 - Manufacture of motor vehicles;;;;This target relates to the automotive manufacturing industry, focusing on emissions standards for vehicles.
TA4.28;by 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles with an individual power output of at least 100 kW are deployed;D - Electricity, Gas, Steam and Air Conditioning Supply;H - Transportation and Storage;;D35 - Electricity, gas, steam and air conditioning supply;H52 - Warehousing and support activities for transportation;;D35.1 - Electric power generation, transmission and distribution;H52.2 - Support activities for transportation;;This target involves both the energy sector, for providing power, and the transportation sector, for supporting electric vehicle infrastructure.;;;
TA5.26;Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste.;P - Education;Q - Human Health and Social Work Activities;;P85 - Education;Q86 - Human health activities;;P85.6 - Educational support activities;;;;This target focuses on education about nutrition and sustainability, involving both the education and health sectors.;;
TA5.35;Strengthen the resilience of the EU food system. Build up resilience to possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;A - Agriculture, Forestry and Fishing;C - Manufacturing;;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;;A1.1 - Growing of non-perennial crops;C10.8 - Manufacture of other food products;;This target is related to the agricultural sector and food manufacturing, aiming to increase resilience and sustainability.;;;
TA6.29;;;;;;;No content provided;;;;;;No content provided, therefore cannot assign NACE categories.;
TA7.12;Develop measures to significantly increase efforts to identify, investigate, assess and remediate contaminated sites, so that soil pollution will no longer pose a health or environmental risk;E - Water Supply, Sewerage, Waste Management and Remediation Activities;O - Public Administration and Defence, Compulsory Social Security;;E39 - Remediation activities and other waste management services;O84 - Public administration and defence, compulsory social security;;E39.0 - Remediation activities and other waste management services;;;;This target is about remediation of contaminated sites, involving both environmental activities and public administration.;;
