Target Title;NACE Level 0;NACE Level 0 Title;NACE Level 1;NACE Level 1 Title;NACE Level 2;NACE Level 2 Title;NACE Level 3;NACE Level 3 Title;Justification
TA1.9: The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);D;Electricity, Gas, Steam and Air Conditioning Supply;D35;Electricity, gas, steam and air conditioning supply;D35.1;Electric power generation, transmission and distribution;D35.1;Electric power generation, transmission and distribution;The target involves emission reductions in sectors covered by the EU ETS, which primarily include energy production and supply sectors.
TA1.12: Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A;Agriculture, Forestry and Fishing;A2;Forestry and logging;A2.1;Silviculture and other forestry activities;A2.1;Silviculture and other forestry activities;The focus on greenhouse gas removal through LULUCF directly relates to forestry activities.
TA2.6: Energy demand to be covered by solar heat and geothermal should at least triple (currently rate at 1,5%);D;Electricity, Gas, Steam and Air Conditioning Supply;D35;Electricity, gas, steam and air conditioning supply;D35.2;Manufacture of gas; distribution of gaseous fuels through mains;D35.2;Manufacture of gas; distribution of gaseous fuels through mains;The target aims at increasing renewable energy sources like solar and geothermal, which are part of the energy supply sector.
TA2.27: Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030 to support reaching an annual energy renovation rate of 3 % or more for the period till 2050;F;Construction;F41;Construction of buildings;F41.2;Construction of residential and non-residential buildings;F41.2;Construction of residential and non-residential buildings;The target focuses on building renovations, which directly involve the construction sector.
TA3.4: By 2030 textile products placed on the EU market are long-lived and recyclable, to a great extent made of recycled fibres, free of hazardous substances and produced in respect of social rights and the environment;C;Manufacturing;C13;Manufacture of textiles;C13.9;Manufacture of other textiles;C13.9;Manufacture of other textiles;The focus on textiles being recyclable and sustainable pertains to the manufacturing and textile industry.
TA3.33: Recycling of wood in packaging,30%;C;Manufacturing;C16;Manufacture of wood and of products of wood and cork, except furniture;C16.2;Manufacture of products of wood, cork, straw and plaiting materials;C16.2;Manufacture of products of wood, cork, straw and plaiting materials;The target highlights recycling in the wood product sector, which is part of manufacturing.
TA4.16: From 1 January 2020, this Regulation sets an EU fleet-wide target of 95 g CO2/km for the average emissions of new passenger cars and an EU fleet-wide target of 147 g CO2/km for the average emissions of new light commercial vehicles registered in the Union;C;Manufacturing;C29;Manufacture of motor vehicles, trailers and semi-trailers;C29.1;Manufacture of motor vehicles;C29.1;Manufacture of motor vehicles;The target focuses on reducing emissions from vehicles, directly relating to the automobile manufacturing sector.
TA4.28: by 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles with an individual power output of at least 100 kW are deployed;G;Wholesale and Retail Trade;G45;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45.3;Sale of motor vehicle parts and accessories;G45.3;Sale of motor vehicle parts and accessories;The deployment of recharging stations is closely related to the trade and support of electric vehicles.
TA5.26: Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;P;Education;P85;Education;P85.5;Other education;P85.5;Other education;The target is focused on educational initiatives, which fall under the education sector.
TA5.35: Strengthen the resilience of the EU food system. Build up resilience to possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience;A;Agriculture, Forestry and Fishing;A1;Crop and animal production, hunting and related service activities;A1.4;Animal production;A1.4;Animal production;The target primarily focuses on food production and agriculture sectors, which are central to the food system's resilience.
TA6.29;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;The target description is missing, making it impossible to assign NACE categories.
TA7.12: Develop measures to significantly increase efforts to identify, investigate, assess and remediate contaminated sites, so that soil pollution will no longer pose a health or environmental risk;M;Professional, Scientific and Technical Activities;M71;Architectural and engineering activities;M71.2;Technical testing and analysis;M71.2;Technical testing and analysis;The focus on identifying and remediating contaminated sites involves technical testing and analysis, which falls under professional and scientific activities.
