Target code;Target content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE Level_level3_extra2;Justification;;;;;;;
TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;F - Construction;D35 - Electricity, gas, steam and air conditioning supply;C26 - Manufacture of computer, electronic and optical products;F41 - Construction of buildings;D35.1 - Electric power generation, transmission and distribution;C26.1 - Manufacture of electronic components and boards;F41.2 - Construction of residential and non-residential buildings;This target is related to reducing emissions, which involves energy, industrial manufacturing, and building sectors.;;;;;;;
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;;P - Education;A2 - Forestry and logging;;P85.3 - Secondary education;A2.1 - Silviculture and other forestry activities;;;The target focuses on land use and forestry practices to remove CO2 from the atmosphere.;;;;;;;
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple (currently rate at 1,5%);D - Electricity, Gas, Steam and Air Conditioning Supply;F - Construction;M - Professional, Scientific and Technical Activities;D35 - Electricity, gas, steam and air conditioning supply;F43 - Specialised construction activities;M71 - Architectural and engineering activities, technical testing and analysis;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;F43.2 - Electrical, plumbing and other construction installation activities;M71.2 - Technical testing and analysis;This target is about increasing solar and geothermal energy, involving energy supply, construction, and technical activities.;;;;;;;
TA2.27;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030 to support reaching an annual energy renovation rate of 3 % or more for the period till 2050;F - Construction;N - Administrative and Support Service Activities;M - Professional, Scientific and Technical Activities;F41 - Construction of buildings;N82 - Office administrative, office support and other business support activities;M71 - Architectural and engineering activities, technical testing and analysis;F41.2 - Construction of residential and non-residential buildings;N82.1 - Office administrative and support activities;M71.1 - Architectural and engineering activities and related technical consultancy;The target involves construction and renovation, administrative support, and professional activities related to building renovation.;;;;;;;
TA3.4;By 2030 textile products placed on the EU market are long-lived and recyclable, to a great extent made of recycled fibres, free of hazardous substances and produced in respect of social rights and the environment;C - Manufacturing;S - Other Service Activities;N - Administrative and Support Service Activities;C13 - Manufacture of textiles;S96 - Other personal service activities;N82 - Office administrative, office support and other business support activities;C13.9 - Manufacture of other textiles;S96.0 - Other personal service activities;N82.9 - Business support service activities n.e.c.;The target focuses on sustainable textile manufacturing and related services.;;;;;;;
TA3.33;Recycling of wood in packaging,30%;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;N - Administrative and Support Service Activities;C16 - Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials;E38 - Waste collection, treatment and disposal activities, materials recovery;N82 - Office administrative, office support and other business support activities;C16.2 - Manufacture of products of wood, cork, straw and plaiting materials;E38.3 - Materials recovery;N82.9 - Business support service activities n.e.c.;The target is about wood recycling, involving manufacturing and waste management activities.;;;;;;;
TA4.16;From 1 January 2020, this Regulation sets an EU fleet-wide target of 95 g CO2/km for the average emissions of new passenger cars and an EU fleet-wide target of 147 g CO2/km for the average emissions of new light commercial vehicles registered in the Union;C - Manufacturing;H - Transportation and Storage;K - Financial and Insurance Activities;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;K66 - Activities auxiliary to financial services and insurance activities;C29.1 - Manufacture of motor vehicles;H49.2 - Freight rail transport;K66.2 - Activities auxiliary to insurance and pension funding;The target relates to vehicle manufacturing, transportation, and financial services for compliance.;;;;;;;
TA4.28;by 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles with an individual power output of at least 100 kW are deployed;H - Transportation and Storage;D - Electricity, Gas, Steam and Air Conditioning Supply;F - Construction;H52 - Warehousing and support activities for transportation;D35 - Electricity, gas, steam and air conditioning supply;F42 - Civil engineering;H52.2 - Support activities for transportation;D35.1 - Electric power generation, transmission and distribution;F42.1 - Construction of roads and railways;This target involves infrastructure and energy supply for electric vehicle charging.;;;;;;;
TA5.26;Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste.;P - Education;M - Professional, Scientific and Technical Activities;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;P85 - Education;M73 - Advertising and market research;G47 - Retail trade, except of motor vehicles and motorcycles;P85.2 - Primary education;M73.2 - Market research and public opinion polling;G47.2 - Retail sale of food, beverages and tobacco in specialised stores;The target focuses on education, advertising, and retail trade to promote sustainability in food.;;;;;;;
TA5.35;Strengthen the resilience of the EU food system. Build up resilience to possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;A - Agriculture, Forestry and Fishing;C - Manufacturing;Q - Human Health and Social Work Activities;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;Q87 - Residential care activities;A1.4 - Animal production;C10.8 - Manufacture of other food products;Q87.9 - Other residential care activities;The target is about enhancing food production sustainability and resilience against health crises.;;;;;;;
