```csv;;;;;;;;;;;;;
Target code;Target content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE Level_level3_extra2;Justification;;
TA1.1;Climate Neutrality (2040 target under discussion);A - Agriculture, Forestry and Fishing;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;D35 - Electricity, gas, steam and air conditioning supply;A1.1 - Growing of non-perennial crops;C10.7 - Manufacture of bakery and farinaceous products;D35.1 - Electric power generation, transmission and distribution;Climate neutrality involves multiple sectors including agriculture, manufacturing, and energy for reducing GHG emissions.;;
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;F - Construction;H - Transportation and Storage;D - Electricity, Gas, Steam and Air Conditioning Supply;F41 - Construction of buildings;H49 - Land transport and transport via pipelines;D35 - Electricity, gas, steam and air conditioning supply;F41.2 - Construction of residential and non-residential buildings;H49.5 - Transport via pipeline;D35.1 - Electric power generation, transmission and distribution;The target involves reducing emissions in construction, transport, and energy sectors to meet 2030 goals.;;
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);H - Transportation and Storage;F - Construction;E - Water Supply, Sewerage, Waste Management and Remediation Activities;H49 - Land transport and transport via pipelines;F41 - Construction of buildings;E38 - Waste collection, treatment and disposal activities, materials recovery;H49.3 - Other passenger land transport;F41.2 - Construction of residential and non-residential buildings;E38.1 - Waste collection;Targets focus on transport, construction, agriculture, and waste to meet EU reduction goals.;;
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;;;;A2 - Forestry and logging;;;;A2.1 - Silviculture and other forestry activities;;;Focuses on land use and forestry to achieve net greenhouse gas removal.
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;A - Agriculture, Forestry and Fishing;;;;A2 - Forestry and logging;;;;A2.1 - Silviculture and other forestry activities;;;The target is closely related to land use and forestry management to balance emissions.
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State (no debit rule);A - Agriculture, Forestry and Fishing;;;;A2 - Forestry and logging;;;;A2.1 - Silviculture and other forestry activities;;;Continues the focus on land use and forestry to manage emissions and removals.
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;;F41.2 - Construction of residential and non-residential buildings;D35.1 - Electric power generation, transmission and distribution;;Targets building emissions reduction, involving construction and related energy supply.;;
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;D - Electricity, Gas, Steam and Air Conditioning Supply;B - Mining and Quarrying;;D35 - Electricity, gas, steam and air conditioning supply;B6 - Extraction of crude petroleum and natural gas;;D35.1 - Electric power generation, transmission and distribution;B6.1 - Extraction of crude petroleum;;Targets methane reduction in energy production, involving energy supply and mining sectors.;;
TA1.2;2040 target under discussion;;;;;;; ;;;No specific content provided, so no specific NACE category can be assigned.;;
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);A - Agriculture, Forestry and Fishing;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;D35 - Electricity, gas, steam and air conditioning supply;A1.1 - Growing of non-perennial crops;C10.7 - Manufacture of bakery and farinaceous products;D35.1 - Electric power generation, transmission and distribution;Involves a broad range of sectors including agriculture, manufacturing, and energy to reduce GHG emissions.;;
