target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level_3_extra2;justification;confidence_score;;
TA1.1;Climate Neutrality (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C28 - Manufacture of machinery and equipment n.e.c.;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C28.9 - Manufacture of other special-purpose machinery;H49.2 - Freight rail transport;The target of climate neutrality involves significant contributions from the energy sector, manufacturing, and transportation sectors, which are major sources of emissions.;8;;
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;F - Construction;H - Transportation and Storage;D - Electricity, Gas, Steam and Air Conditioning Supply;F41 - Construction of buildings;H49 - Land transport and transport via pipelines;D35 - Electricity, gas, steam and air conditioning supply;F41.2 - Construction of residential and non-residential buildings;H49.2 - Freight rail transport;D35.1 - Electric power generation, transmission and distribution;The target focuses on buildings and road transport, which involve construction, transportation, and energy sectors.;9;;
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);H - Transportation and Storage;F - Construction;A - Agriculture, Forestry and Fishing;H52 - Warehousing and support activities for transportation;F41 - Construction of buildings;A1 - Crop and animal production, hunting and related service activities;H52.2 - Support activities for transportation;F41.2 - Construction of residential and non-residential buildings;A1.1 - Growing of non-perennial crops;The target involves transport, construction, agriculture, and waste management, reflecting in the assigned NACE categories.;8;;
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;;;;A2 - Forestry and logging;;;;A2.1 - Silviculture and other forestry activities;;;The target is focused on land use and forestry, which directly corresponds to the agriculture and forestry sector.;9
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;L - Real Estate Activities;A1 - Crop and animal production, hunting and related service activities;E38 - Waste collection, treatment and disposal activities;L68 - Real estate activities;A1.5 - Mixed farming;E38.2 - Waste treatment and disposal;L68.3 - Real estate activities on a fee or contract basis;The target involves balancing emissions and removals across various land categories, impacting agriculture, waste management, and land use sectors.;7;;
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;O - Public Administration and Defence, Compulsory Social Security;A1 - Crop and animal production, hunting and related service activities;E37 - Sewerage;O84 - Public administration and defence, compulsory social security;A1.3 - Plant propagation;E37.0 - Sewerage;O84.1 - Administration of the State and the economic and social policy of the community;The target integrates emissions control across land categories, relevant to agriculture, waste, and administrative oversight.;7;;
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;L - Real Estate Activities;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;L68 - Real estate activities;F41.2 - Construction of residential and non-residential buildings;D35.1 - Electric power generation, transmission and distribution;L68.2 - Renting and operating of own or leased real estate;The target focuses on reducing emissions from buildings, involving construction, energy supply, and real estate sectors.;9;;
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;D - Electricity, Gas, Steam and Air Conditioning Supply;B - Mining and Quarrying;C - Manufacturing;D35 - Electricity, gas, steam and air conditioning supply;B6 - Extraction of crude petroleum and natural gas;C19 - Manufacture of coke and refined petroleum products;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;B6.1 - Extraction of crude petroleum;C19.2 - Manufacture of refined petroleum products;The target addresses methane emissions from energy sectors, particularly involving electricity, gas, and fossil fuel extraction.;8;;
TA1.2;2040 target under discussion;;;;;;; ;;;;;The target is under discussion with no specific content provided.;5
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles;H51 - Air transport;D35.1 - Electric power generation, transmission and distribution;C29.3 - Manufacture of parts and accessories for motor vehicles;H51.2 - Freight air transport and space transport;This broad target involves major emission sectors such as energy, manufacturing, and transportation.;8;;
