target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level3_extra2;justification;confidence_score
TA1.1;Climate Neutrality (2040 target under discussion);Q - Human Health and Social Work Activities;E - Water Supply, Sewerage, Waste Management and Remediation Activities;D - Electricity, Gas, Steam and Air Conditioning Supply;Q86 - Human health activities;E38 - Waste collection, treatment and disposal activities, materials recovery;D35 - Electricity, gas, steam and air conditioning supply;Q86.9 - Other human health activities;E38.2 - Waste treatment and disposal;D35.1 - Electric power generation, transmission and distribution;Addresses broad sectors like health, waste management, and energy supply for climate neutrality;7
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;F - Construction;H - Transportation and Storage;C - Manufacturing;F41 - Construction of buildings;H49 - Land transport and transport via pipelines;C29 - Manufacture of motor vehicles, trailers and semi-trailers;F41.1 - Development of building projects;H49.3 - Other passenger land transport;C29.1 - Manufacture of motor vehicles;Covers construction, transport, and manufacturing sectors in emission reduction;8
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);H - Transportation and Storage;F - Construction;A - Agriculture, Forestry and Fishing;H49 - Land transport and transport via pipelines;F41 - Construction of buildings;A1 - Crop and animal production, hunting and related service activities;H49.2 - Freight rail transport;F41.2 - Construction of residential and non-residential buildings;A1.3 - Plant propagation;Targets key ESR sectors: transport, construction, agriculture, and waste;9
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;;;A2 - Forestry and logging;;;A2.1 - Silviculture and other forestry activities;;;Focuses on land use and forestry for CO2 removal;10
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;A - Agriculture, Forestry and Fishing;;;A2 - Forestry and logging;;;A2.1 - Silviculture and other forestry activities;;;Emphasizes emissions vs. removals balance in agriculture and forestry;9
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);A - Agriculture, Forestry and Fishing;;;A2 - Forestry and logging;;;A2.1 - Silviculture and other forestry activities;;;Focuses on balancing emissions and removals in land sectors;9
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;;;F41 - Construction of buildings;;;F41.1 - Development of building projects;;;Specific to the construction sector for emission reduction;10
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;B - Mining and Quarrying;D35 - Electricity, gas, steam and air conditioning supply;C19 - Manufacture of coke and refined petroleum products;B6 - Extraction of crude petroleum and natural gas;D35.2 - Manufacture of gas;C19.2 - Manufacture of refined petroleum products;B6.1 - Extraction of crude petroleum;Targets sectors with high methane emissions: energy, manufacturing, and mining;8
TA1.2;2040 target under discussion;Q - Human Health and Social Work Activities;E - Water Supply, Sewerage, Waste Management and Remediation Activities;D - Electricity, Gas, Steam and Air Conditioning Supply;Q86 - Human health activities;E38 - Waste collection, treatment and disposal activities, materials recovery;D35 - Electricity, gas, steam and air conditioning supply;Q86.9 - Other human health activities;E38.2 - Waste treatment and disposal;D35.1 - Electric power generation, transmission and distribution;Broad target covering health, waste, and energy sectors;7
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;B - Mining and Quarrying;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;B6 - Extraction of crude petroleum and natural gas;D35.1 - Electric power generation, transmission and distribution;C29.1 - Manufacture of motor vehicles;B6.1 - Extraction of crude petroleum;Targets high-emission sectors like energy, manufacturing, and mining;9
TA1.4;Achieve a climate-resilient society status, fully adapted to the unavoidable impacts of climate change;Q - Human Health and Social Work Activities;F - Construction;M - Professional, Scientific and Technical Activities;Q86 - Human health activities;F42 - Civil engineering;M72 - Scientific research and development;Q86.1 - Hospital activities;F42.1 - Construction of roads and railways;M72.1 - Research and experimental development on natural sciences and engineering;Involves health, construction, and scientific research for climate resilience;8
TA1.5;CBAM;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;B - Mining and Quarrying;C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations;D35 - Electricity, gas, steam and air conditioning supply;B7 - Mining of metal ores;C21.1 - Manufacture of basic pharmaceutical products;D35.1 - Electric power generation, transmission and distribution;B7.1 - Mining of iron ores;CBAM impacts industries like manufacturing, energy, and mining;8
TA1.6;Recast;C - Manufacturing;;;C26 - Manufacture of computer, electronic and optical products;;;C26.1 - Manufacture of electronic components and boards;;;General reference to manufacturing sector;6
TA1.7;Reduce methane emissions of 35% if compared to 2005 levels;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;B - Mining and Quarrying;D35 - Electricity, gas, steam and air conditioning supply;C19 - Manufacture of coke and refined petroleum products;B6 - Extraction of crude petroleum and natural gas;D35.2 - Manufacture of gas;C19.2 - Manufacture of refined petroleum products;B6.1 - Extraction of crude petroleum;Targets methane emissions in energy, manufacturing, and mining sectors;9
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2040. To reach energy neutrality and the additional treatment of nitrogen, GHG emissions would be reduced by 4,86 million tonnes (37,32 % of the avoidable emissions from the sector);E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E37 - Sewerage;;;E37.0 - Sewerage;;;Specific to the wastewater treatment sector;10
TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;B - Mining and Quarrying;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;B6 - Extraction of crude petroleum and natural gas;D35.1 - Electric power generation, transmission and distribution;C29.1 - Manufacture of motor vehicles;B6.1 - Extraction of crude petroleum;Focuses on sectors under EU ETS like energy, manufacturing, and mining;9
