target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level3_extra2;justification;confidence_score;;;
TA1.1;Climate Neutrality (2040 target under discussion);A - Agriculture, Forestry and Fishing;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;D35 - Electricity, gas, steam and air conditioning supply;;;The target involves broad sectoral changes towards climate neutrality, affecting agriculture, manufacturing, and energy sectors.;8;;;;
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;F - Construction;H - Transportation and Storage;E - Water Supply, Sewerage, Waste Management and Remediation Activities;F41 - Construction of buildings;H49 - Land transport and transport via pipelines;E38 - Waste collection, treatment and disposal activities, materials recovery;;;The target focuses on emission reductions in buildings and transport, as well as other sectors.;9;;;;
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);H - Transportation and Storage;F - Construction;A - Agriculture, Forestry and Fishing;H49 - Land transport and transport via pipelines;F41 - Construction of buildings;A1 - Crop and animal production, hunting and related service activities;;;The target involves reductions in emissions across key sectors: transport, buildings, agriculture, and waste.;9;;;;
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;;;;A2 - Forestry and logging;;;;;;;;The target is specific to the LULUCF sector, focusing on land use and forestry.;10
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;A - Agriculture, Forestry and Fishing;;;;A1 - Crop and animal production, hunting and related service activities;;;A2 - Forestry and logging;;;The target is about balancing emissions and removals, emphasizing the agricultural and forestry sectors.;9;;
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);A - Agriculture, Forestry and Fishing;;;;A1 - Crop and animal production, hunting and related service activities;;;A2 - Forestry and logging;;;Similar to TA1.13, this target focuses on balancing emissions and removals, with an emphasis on agricultural and forestry sectors.;9;;
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;;;;F41 - Construction of buildings;;;F43 - Specialised construction activities;;;The target is specifically focused on reducing emissions in the buildings sector.;10;;
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;B - Mining and Quarrying;D35 - Electricity, gas, steam and air conditioning supply;C19 - Manufacture of coke and refined petroleum products;B6 - Extraction of crude petroleum and natural gas;;;The target focuses on reducing methane emissions primarily related to energy production and consumption.;9;;;;
TA1.2;2040 target under discussion;A - Agriculture, Forestry and Fishing;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;D35 - Electricity, gas, steam and air conditioning supply;;;The target is broad and likely to involve multiple sectors in discussions.;7;;;;
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);A - Agriculture, Forestry and Fishing;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;D35 - Electricity, gas, steam and air conditioning supply;;;This target involves broad sectoral engagement to achieve significant GHG reductions.;8;;;;
TA1.4;Achieve a climate-resilient society status, fully adapted to the unavoidable impacts of climate change;F - Construction;P - Education;O - Public Administration and Defence, Compulsory Social Security;F42 - Civil engineering;P85 - Education;O84 - Public administration and defence, compulsory social security;;;The target involves building resilience through construction, education, and public administration.;9;;;;
TA1.5;CBAM;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;K - Financial and Insurance Activities;C24 - Manufacture of basic metals;D35 - Electricity, gas, steam and air conditioning supply;K64 - Financial service activities, except insurance and pension funding;;;The Carbon Border Adjustment Mechanism (CBAM) impacts industries like manufacturing and energy, with financial activities playing a role in its implementation.;9;;;;
TA1.6;Recast;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;K - Financial and Insurance Activities;C24 - Manufacture of basic metals;D35 - Electricity, gas, steam and air conditioning supply;K64 - Financial service activities, except insurance and pension funding;;;The recast likely involves changes to regulations affecting manufacturing and energy sectors, with financial services involved.;8;;;;
TA1.7;Reduce methane emissions of 35% if compared to 2005 levels;D - Electricity, Gas, Steam and Air Conditioning Supply;B - Mining and Quarrying;C - Manufacturing;D35 - Electricity, gas, steam and air conditioning supply;B6 - Extraction of crude petroleum and natural gas;C19 - Manufacture of coke and refined petroleum products;;;This target focuses on reducing methane emissions across energy and extraction sectors.;9;;;;
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2040. To reach energy neutrality and the additional treatment of nitrogen, GHG emissions would be reduced by 4,86 million tonnes (37,32 % of the avoidable emissions from the sector);E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;;E37 - Sewerage;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;The target is specific to the wastewater treatment sector, focusing on energy neutrality and emissions reduction.;10;;
TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;B - Mining and Quarrying;D35 - Electricity, gas, steam and air conditioning supply;C19 - Manufacture of coke and refined petroleum products;B6 - Extraction of crude petroleum and natural gas;;;The target involves sectors covered by the EU Emissions Trading System, mainly energy, manufacturing, and extraction.;9;;;;
