target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
TA1.1;Climate Neutrality (2040 target under discussion);C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;H - Transportation and Storage;C - Manufacturing;D35 - Electricity, gas, steam and air conditioning supply;H49 - Land transport and transport via pipelines;C29 - Manufacture of motor vehicles, trailers and semi-trailers;D35.1 - Electric power generation, transmission and distribution;H49.1 - Passenger rail transport, interurban;Climate neutrality involves significant emissions reductions across manufacturing, energy, and transportation sectors.;8
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;F - Construction;H - Transportation and Storage;D - Electricity, Gas, Steam and Air Conditioning Supply;F41 - Construction of buildings;H49 - Land transport and transport via pipelines;D35 - Electricity, gas, steam and air conditioning supply;F41.2 - Construction of residential and non-residential buildings;H49.4 - Freight transport by road and removal services;D35.1 - Electric power generation, transmission and distribution;The target involves reducing emissions primarily from the building and road transport sectors, with implications for energy supply.;9
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);H - Transportation and Storage;F - Construction;A - Agriculture, Forestry and Fishing;H49 - Land transport and transport via pipelines;F41 - Construction of buildings;A1 - Crop and animal production, hunting and related service activities;H49.2 - Freight rail transport;F41.2 - Construction of residential and non-residential buildings;A1.1 - Growing of non-perennial crops;The target specifically mentions sectors such as transport, buildings, agriculture, and waste, indicating relevant NACE categories.;8
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;L - Real Estate Activities;;A2 - Forestry and logging;L68 - Real estate activities;;A2.1 - Silviculture and other forestry activities;L68.2 - Renting and operating of own or leased real estate;;The LULUCF sector deals with land use and forestry, directly relating to agriculture and forestry NACE categories.;9
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;A - Agriculture, Forestry and Fishing;L - Real Estate Activities;;A2 - Forestry and logging;L68 - Real estate activities;;A2.1 - Silviculture and other forestry activities;L68.2 - Renting and operating of own or leased real estate;;This involves balancing emissions and removals, closely tied to land use and forestry.;8
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State (no debit rule);A - Agriculture, Forestry and Fishing;L - Real Estate Activities;;A2 - Forestry and logging;L68 - Real estate activities;;A2.1 - Silviculture and other forestry activities;L68.2 - Renting and operating of own or leased real estate;;The target is about emissions and removals related to land use, indicating agriculture and forestry are key categories.;8
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;;;F41 - Construction of buildings;;;F41.2 - Construction of residential and non-residential buildings;;;The target focuses on reducing emissions from buildings, directly related to the construction category.;10
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;D35 - Electricity, gas, steam and air conditioning supply;C19 - Manufacture of coke and refined petroleum products;E37 - Sewerage;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;C19.2 - Manufacture of refined petroleum products;E37.0 - Sewerage;The target involves reducing methane emissions related to energy sectors, implicating energy supply, manufacturing, and waste management.;9
TA1.2;2040 target under discussion;;;;;; ;;;Empty content, unable to assign specific NACE categories.;0;
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;H - Transportation and Storage;C - Manufacturing;D35 - Electricity, gas, steam and air conditioning supply;H49 - Land transport and transport via pipelines;C29 - Manufacture of motor vehicles, trailers and semi-trailers;D35.1 - Electric power generation, transmission and distribution;H49.1 - Passenger rail transport, interurban;Reducing GHG emissions broadly affects manufacturing, energy, and transport sectors.;8
