target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level3_extra2;justification;confidence_score;
TA1.1;Climate Neutrality (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;D35 - Electricity, gas, steam and air conditioning supply;C28 - Manufacture of machinery and equipment n.e.c.;E36 - Water collection, treatment and supply;D35.1 - Electric power generation, transmission and distribution;C28.9 - Manufacture of other special-purpose machinery;E36.0 - Water collection, treatment and supply;The target of climate neutrality encompasses broad sectors like energy supply, manufacturing, and water management, as they significantly contribute to emissions.;8;
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;F - Construction;H - Transportation and Storage;F41 - Construction of buildings;H49 - Land transport and transport via pipelines;F41.2 - Construction of residential and non-residential buildings;H49.2 - Freight rail transport;This target focuses on emission reductions in building and road transport, involving construction and transportation sectors.;9;;;;
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);H - Transportation and Storage;F - Construction;A - Agriculture, Forestry and Fishing;H49 - Land transport and transport via pipelines;F41 - Construction of buildings;A1 - Crop and animal production, hunting and related service activities;H49.2 - Freight rail transport;F41.2 - Construction of residential and non-residential buildings;A1.1 - Growing of non-perennial crops;The target involves multiple sectors such as transport, construction, agriculture, and waste management, reflecting diverse emission sources.;7;
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;A2 - Forestry and logging;E38 - Waste collection, treatment and disposal activities, materials recovery;A2.1 - Silviculture and other forestry activities;E38.1 - Waste collection;The focus on land use and forestry aligns with the agricultural and waste management sectors for carbon removal initiatives.;8;;;;
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;A1 - Crop and animal production, hunting and related service activities;E37 - Sewerage;A1.1 - Growing of non-perennial crops;E37.0 - Sewerage;The target primarily involves balancing emissions and removals on land, indicating agriculture and waste management involvement.;9;;;;
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;A1 - Crop and animal production, hunting and related service activities;E37 - Sewerage;A1.1 - Growing of non-perennial crops;E37.0 - Sewerage;The focus on emissions and removals on land suggests agriculture and waste management sectors are key.;9;;;;
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;K - Financial and Insurance Activities;F41 - Construction of buildings;K64 - Financial service activities, except insurance and pension funding;F41.2 - Construction of residential and non-residential buildings;K64.1 - Monetary intermediation;The target focuses on building emissions, primarily involving the construction sector and financial activities for funding energy-efficient projects.;9;;;;
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;D - Electricity, Gas, Steam and Air Conditioning Supply;B - Mining and Quarrying;D35 - Electricity, gas, steam and air conditioning supply;B6 - Extraction of crude petroleum and natural gas;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;B6.1 - Extraction of crude petroleum;This target involves reducing methane emissions in energy production, focusing on energy supply and extraction activities.;9;;;;
TA1.2;2040 target under discussion;;;;;; ;;;;;No specific content provided for analysis.;0
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;D35 - Electricity, gas, steam and air conditioning supply;C28 - Manufacture of machinery and equipment n.e.c.;E38 - Waste collection, treatment and disposal activities, materials recovery;D35.1 - Electric power generation, transmission and distribution;C28.9 - Manufacture of other special-purpose machinery;E38.1 - Waste collection;This broad reduction target involves key sectors like energy, manufacturing, and waste management as they are primary contributors to emissions.;8;
