target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
TA1.1;Climate Neutrality (2040 target under discussion);A - Agriculture, Forestry and Fishing;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;A1 - Crop and animal production, hunting and related service activities;C20 - Manufacture of chemicals and chemical products;D35 - Electricity, gas, steam and air conditioning supply;;;The target aims for climate neutrality which impacts agriculture, manufacturing, and energy sectors. High-level sectors are chosen based on their significant contributions to emissions.;8;
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;F - Construction;H - Transportation and Storage;;F41 - Construction of buildings;H49 - Land transport and transport via pipelines;;F41.2 - Construction of residential and non-residential buildings;H49.4 - Freight transport by road and removal services;;The target specifically mentions buildings and road transport, linking construction and transportation sectors.;9
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);H - Transportation and Storage;F - Construction;E - Water Supply, Sewerage, Waste Management and Remediation Activities;H49 - Land transport and transport via pipelines;F41 - Construction of buildings;E38 - Waste collection, treatment and disposal activities, materials recovery;H49.3 - Other passenger land transport;F41.2 - Construction of residential and non-residential buildings;E38.1 - Waste collection;This target deals with a broad reduction in emissions, particularly from transportation, construction, and waste sectors.;8
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;;;A2 - Forestry and logging;;;A2.1 - Silviculture and other forestry activities;;;The LULUCF sector is directly linked to forestry, which is a sub-sector of agriculture and forestry.;9
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A1 - Crop and animal production, hunting and related service activities;E38 - Waste collection, treatment and disposal activities, materials recovery;;A1.1 - Growing of non-perennial crops;E38.1 - Waste collection;;This target involves balancing emissions and removals, impacting agriculture and waste management.;7
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A1 - Crop and animal production, hunting and related service activities;E38 - Waste collection, treatment and disposal activities, materials recovery;;A1.1 - Growing of non-perennial crops;E38.1 - Waste collection;;The target aims for a balance of emissions and removals, affecting agriculture and waste management sectors.;7
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;;;F41 - Construction of buildings;;;F41.2 - Construction of residential and non-residential buildings;;;The target directly addresses greenhouse gas emissions from buildings, linking it to the construction sector.;9
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;D - Electricity, Gas, Steam and Air Conditioning Supply;;;D35 - Electricity, gas, steam and air conditioning supply;;;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;;;Methane emissions are closely related to the energy sector, particularly in gas production and distribution.;9
TA1.2;2040 target under discussion;A - Agriculture, Forestry and Fishing;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;A1 - Crop and animal production, hunting and related service activities;C20 - Manufacture of chemicals and chemical products;D35 - Electricity, gas, steam and air conditioning supply;;;The target encompasses broad sectors contributing to emissions, indicating agriculture, manufacturing, and energy.;7;
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);A - Agriculture, Forestry and Fishing;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;A1 - Crop and animal production, hunting and related service activities;C20 - Manufacture of chemicals and chemical products;D35 - Electricity, gas, steam and air conditioning supply;;;The target involves a general reduction in emissions, implicating agriculture, manufacturing, and energy sectors.;7;
