target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
TA3.1;Halve the amount of residual (non-recycled) municipal waste;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;;E38.3 - Materials recovery;This target focuses on waste management, specifically reducing non-recycled waste, which falls under waste management activities.;9
TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;C - Manufacturing;B - Mining and Quarrying;;C20 - Manufacture of chemicals and chemical products;C24 - Manufacture of basic metals;;C20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms;C24.1 - Manufacture of basic iron and steel and of ferro-alloys;;This target involves recycling and strategic raw materials, linking to manufacturing and mining activities.;8
TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;B - Mining and Quarrying;C - Manufacturing;;B9 - Mining support service activities;C24 - Manufacture of basic metals;;C24.5 - Casting of metals;;;This target focuses on the diversification of strategic raw materials, relevant to mining and manufacturing.;8
TA3.12;by 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;;C28 - Manufacture of machinery and equipment n.e.c.;D35 - Electricity, gas, steam and air conditioning supply;;C28.9 - Manufacture of other special-purpose machinery;D35.1 - Electric power generation, transmission and distribution;;This target is about manufacturing capacity for net-zero technologies, linking to manufacturing and energy supply.;9
TA3.13;nan;;;;;;nan;;;;No content available.;0
TA3.14;nan;;;;;;nan;;;;No content available.;0
TA3.15;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall ensure that all waste portable batteries, Light Means of Transport (LMT) and SLI batteries, regardless of their nature, chemical composition, condition, brand or origin, are collected separately in the territory of a Member State where they make these batteries available on the market for the first time.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C27 - Manufacture of electrical equipment;;E38.3 - Materials recovery;C27.2 - Manufacture of batteries and accumulators;;This target involves the collection and recycling of batteries, relevant to waste management and manufacturing.;9
TA3.16;Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: 45 % by 31 December 2023, 63 % by 31 December 2027, 73 % by 31 December 2030.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C27 - Manufacture of electrical equipment;;E38.3 - Materials recovery;C27.2 - Manufacture of batteries and accumulators;;This target focuses on the collection targets for waste batteries, linking to waste management and manufacturing.;9
TA3.17;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51 % by 31 December 2028, 61 % by 31 December 2031.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C27 - Manufacture of electrical equipment;;E38.3 - Materials recovery;C27.2 - Manufacture of batteries and accumulators;;This target involves collection targets for LMT batteries, relevant to waste management and manufacturing.;9
TA3.18;Recycled content in industrial batteries, electric vehicle batteries, LMT batteries and SLI batteries: Cobalt:  16 % by 2031 (26% by 2036), Lead: 85% (85%), Nickel: 6% (12%), Lithium 6% (15%);C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C27 - Manufacture of electrical equipment;E38 - Waste collection, treatment and disposal activities, materials recovery;;C27.2 - Manufacture of batteries and accumulators;E38.3 - Materials recovery;;This target is about increasing recycled content in batteries, linking to manufacturing and waste management.;9
TA3.19;All batteries incorporated in market products shall be readily removable and replaceable by the end-user at any time during the lifetime (except some derogations);C - Manufacturing;;;;C27 - Manufacture of electrical equipment;;;;C27.2 - Manufacture of batteries and accumulators;This target focuses on battery design, relevant to manufacturing.;8
TA3.2;Reduce landfill to a maximum of 10% of municipal waste;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;;E38.2 - Waste treatment and disposal;This target is about reducing landfill, which is part of waste management activities.;9
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C27 - Manufacture of electrical equipment;;E38.3 - Materials recovery;C27.2 - Manufacture of batteries and accumulators;;This target involves recycling efficiency for various battery types, linking to waste management and manufacturing.;9
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 65% by average weight of lithium-based batteries, No later than 31 December 2030 - 70% by average weight of lithium-based batteries;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C27 - Manufacture of electrical equipment;;E38.3 - Materials recovery;C27.2 - Manufacture of batteries and accumulators;;This target focuses on recycling efficiency for lithium-based batteries, relevant to waste management and manufacturing.;9
TA3.22;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 -90% for cobalt, copper, lead and nickel, No later than 31 December 2031: -95% for cobalt, copper, lead, and nickel;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C24 - Manufacture of basic metals;;E38.3 - Materials recovery;C24.5 - Casting of metals;;This target involves material recovery targets, linking to waste management and metal manufacturing.;9
TA3.23;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 -50% lithium No later than 31 December 2031: -80% lithium;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C27 - Manufacture of electrical equipment;;E38.3 - Materials recovery;C27.2 - Manufacture of batteries and accumulators;;This target focuses on material recovery for lithium, relevant to waste management and manufacturing.;9
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;C - Manufacturing;I - Accommodation and Food Service Activities;;C10 - Manufacture of food products;I56 - Food and beverage service activities;;C10.8 - Manufacture of other food products;I56.2 - Event catering and other food service activities;;This target is about reducing food waste in manufacturing, linking to food manufacturing and services.;9
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30 % in comparison to the amount generated in 2020;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;I - Accommodation and Food Service Activities;;G47 - Retail trade, except of motor vehicles and motorcycles;I56 - Food and beverage service activities;;G47.9 - Retail trade not in stores, stalls or markets;I56.1 - Restaurants and mobile food service activities;;This target focuses on reducing food waste in retail and food services, linking to retail trade and food services.;9
TA3.26;nan;;;;;;nan;;;;No content available.;0
TA3.27;Making all packaging recyclable (see European Parliament resolution of 10 February 2021 on the New Circular Economy Action Plan, the New Circular Economy Action Plan and art. 5 of this Proposal);C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C22 - Manufacture of rubber and plastic products;E38 - Waste collection, treatment and disposal activities, materials recovery;;C22.2 - Manufacture of plastics products;E38.3 - Materials recovery;;This target involves making packaging recyclable, relevant to manufacturing and waste management.;9
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component, (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles, (iii) 30% for single use plastic beverage bottles, (iv) 35% for other plastic packaging From 1 January 2040 (v) 50% for contact sensitive plastic packaging, except single use plastic beverage bottles, (vi) 65% for single use plastic beverage bottles, (vii) 65% for other plastic packaging;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C22 - Manufacture of rubber and plastic products;E38 - Waste collection, treatment and disposal activities, materials recovery;;C22.2 - Manufacture of plastics products;E38.3 - Materials recovery;;This target focuses on recycled content in plastic packaging, linking to plastic manufacturing and waste management.;9
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;;C22 - Manufacture of rubber and plastic products;G47 - Retail trade, except of motor vehicles and motorcycles;;C22.2 - Manufacture of plastics products;G47.9 - Retail trade not in stores, stalls or markets;;This target involves reducing plastic bag consumption, linking to plastic manufacturing and retail trade.;9
TA3.3;Double its circular material use rate in the coming decade;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C24 - Manufacture of basic metals;;E38.3 - Materials recovery;C24.5 - Casting of metals;;This target focuses on circular material use, relevant to waste management and manufacturing.;8
TA3.30;Reduce packaging waste by 5% per Member State per capita compared to 2018 by 2030, 10% by 2035 and 15% by 2040;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C22 - Manufacture of rubber and plastic products;;E38.3 - Materials recovery;C22.2 - Manufacture of plastics products;;This target involves reducing packaging waste, linking to waste management and packaging manufacturing.;9
TA3.31;Recycling or preparing for re-use 65% of all packaging waste by 2025, 70% by 2030;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C22 - Manufacture of rubber and plastic products;;E38.3 - Materials recovery;C22.2 - Manufacture of plastics products;;This target focuses on recycling and re-use of packaging waste, relevant to waste management and packaging manufacturing.;9
TA3.32;Recycling of plastic in packaging: 55%;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C22 - Manufacture of rubber and plastic products;;E38.3 - Materials recovery;C22.2 - Manufacture of plastics products;;This target involves recycling of plastic packaging, linking to waste management and plastic manufacturing.;9
TA3.33;Recycling of wood in packaging: 30%;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C16 - Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials;;E38.3 - Materials recovery;C16.2 - Manufacture of products of wood, cork, straw and plaiting materials;;This target is about recycling wood packaging, relevant to waste management and wood manufacturing.;9
