target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level3_extra2;justification;confidence_score
TA3.1;Halve the amount of residual (non-recycled) municipal waste;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;E38.1 - Waste collection;;;This target is directly related to waste management and reduction, which falls under the NACE category for waste collection, treatment, and disposal.;9
TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;C - Manufacturing;B - Mining and Quarrying;;C24 - Manufacture of basic metals;B7 - Mining of metal ores;;C24.4 - Manufacture of basic precious and other non-ferrous metals;;;This target involves recycling and processing of raw materials, aligning with manufacturing and mining activities.;8
TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;B - Mining and Quarrying;C - Manufacturing;;B7 - Mining of metal ores;C24 - Manufacture of basic metals;;B7.2 - Mining of non-ferrous metal ores;;;This target addresses the sourcing and processing of raw materials, relevant to mining and manufacturing sectors.;8
TA3.12;by 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;;C28 - Manufacture of machinery and equipment n.e.c.;D35 - Electricity, gas, steam and air conditioning supply;;C28.9 - Manufacture of other special-purpose machinery;;;This target focuses on increasing manufacturing capacity for net-zero technologies, relevant to manufacturing and energy sectors.;9
TA3.13;nan;;;;;;;nan;;;No content available.;0
TA3.14;nan;;;;;;;nan;;;No content available.;0
TA3.15;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall ensure that all waste portable batteries, Light Means of Transport (LMT) and SLI batteries, regardless of their nature, chemical composition, condition, brand or origin, are collected separately in the territory of a Member State where they make these batteries available on the market for the first time.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;E38.2 - Waste treatment and disposal;;;The target involves the collection and management of waste batteries, aligning with waste management activities.;9
TA3.16;Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: 45 % by 31 December 2023, 63 % by 31 December 2027, 73 % by 31 December 2030.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;E38.3 - Materials recovery;;;This target focuses on increasing collection rates for waste batteries, which is a key aspect of waste management and recovery.;9
TA3.17;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51 % by 31 December 2028, 61 % by 31 December 2031.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;E38.3 - Materials recovery;;;Similar to TA3.16, this target addresses the collection and recovery of specific battery types.;9
TA3.18;Recycled content in industrial batteries, electric vehicle batteries, LMT batteries and SLI batteries: Cobalt: 16 % by 2031 (26% by 2036), Lead: 85% (85%), Nickel: 6% (12%), Lithium 6% (15%);C - Manufacturing;;;C27 - Manufacture of electrical equipment;;;C27.9 - Manufacture of other electrical equipment;;;This target is related to the manufacturing sector, specifically focusing on the recycled content in battery production.;8
TA3.19;All batteries incorporated in market products shall be readily removable and replaceable by the end-user at any time during the lifetime (except some derogations);C - Manufacturing;;;C27 - Manufacture of electrical equipment;;;C27.9 - Manufacture of other electrical equipment;;;The target focuses on product design and manufacturing, ensuring batteries are removable and replaceable.;8
TA3.2;Reduce landfill to a maximum of 10% of municipal waste;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;E38.2 - Waste treatment and disposal;;;This target is directly related to waste management, specifically reducing landfill usage.;9
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 -75% by average weight of lead-acid batteries, -80% by average weight of nickel-cadmium batteries -50% by average weight of other waste batteries No later than 31 December 2030 -80% by average weight of lead-acid batteries,;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C27 - Manufacture of electrical equipment;E38 - Waste collection, treatment and disposal activities, materials recovery;;C27.9 - Manufacture of other electrical equipment;;;This target involves both manufacturing and recycling processes, relevant to both sectors.;9
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 -65% by average weight of lithium-based batteries, No later than 31 December 2030 -70% by average weight of lithium-based batteries;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C27 - Manufacture of electrical equipment;E38 - Waste collection, treatment and disposal activities, materials recovery;;C27.9 - Manufacture of other electrical equipment;;;Similar to TA3.20, this target focuses on recycling efficiency for lithium-based batteries.;9
TA3.22;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 -90% for cobalt, copper, lead and nickel, No later than 31 December 2031: -95% for cobalt, copper, lead, and nickel,;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C24 - Manufacture of basic metals;E38 - Waste collection, treatment and disposal activities, materials recovery;;C24.4 - Manufacture of basic precious and other non-ferrous metals;;;This target involves recovering materials from recycling, relevant to both manufacturing and waste management.;9
TA3.23;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 -50% lithium No later than 31 December 2031: -80% lithium;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C27 - Manufacture of electrical equipment;E38 - Waste collection, treatment and disposal activities, materials recovery;;C27.9 - Manufacture of other electrical equipment;;;This target focuses on lithium recovery from recycling, relevant to manufacturing and waste management.;9
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;C - Manufacturing;;;C10 - Manufacture of food products;;;C10.8 - Manufacture of other food products;;;This target addresses food waste reduction in manufacturing, specifically in food production.;9
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30 % in comparison to the amount generated in 2020;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;I - Accommodation and Food Service Activities;;G47 - Retail trade, except of motor vehicles and motorcycles;I56 - Food and beverage service activities;;G47.2 - Retail sale of food, beverages and tobacco in specialised stores;;;This target involves reducing food waste across retail, distribution, and food services.;9
TA3.26;nan;;;;;;;nan;;;No content available.;0
TA3.27;Making all packaging recyclable (see European Parliament resolution of 10 February 2021 on the New Circular Economy Action Plan, the New Circular Economy Action Plan and art. 5 of this Proposal);C - Manufacturing;;;C22 - Manufacture of rubber and plastic products;;;C22.2 - Manufacture of plastics products;;;This target focuses on making packaging recyclable, relevant to the manufacturing of packaging materials.;9
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component, (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles, (iii) 30% for single use plastic beverage bottles, (iv) 35% for other plastic packaging From 1 January 2040 (v) 50% for contact sensitive plastic packaging, except single use plastic beverage bottles, (vi) 65% for single use plastic beverage bottles, (vii) 65% for other plastic packaging;C - Manufacturing;;;C22 - Manufacture of rubber and plastic products;;;C22.2 - Manufacture of plastics products;;;This target mandates recycled content in plastic packaging, relevant to the manufacturing of plastic products.;9
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter;C - Manufacturing;;;C22 - Manufacture of rubber and plastic products;;;C22.2 - Manufacture of plastics products;;;This target is about reducing the use of plastic bags, related to the manufacturing of plastic products.;9
TA3.3;Double its circular material use rate in the coming decade;C - Manufacturing;;;C32 - Other manufacturing;;;C32.9 - Manufacturing n.e.c.;;;This target involves increasing circular material use, relevant to various manufacturing activities.;8
TA3.30;Reduce packaging waste by 5% per Member State per capita compared to 2018 by 2030, 10% by 2035 and 15% by 2040;C - Manufacturing;;;C22 - Manufacture of rubber and plastic products;;;C22.2 - Manufacture of plastics products;;;This target focuses on reducing packaging waste, relevant to the manufacturing of packaging materials.;9
TA3.31;Recycling or preparing for re-use 65% of all packaging waste by 2025, 70% by 2030;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C22 - Manufacture of rubber and plastic products;;E38.3 - Materials recovery;;;This target involves recycling and re-use of packaging waste, relevant to both waste management and manufacturing.;9
TA3.32;Recycling of plastic in packaging: 55%;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C22 - Manufacture of rubber and plastic products;E38 - Waste collection, treatment and disposal activities, materials recovery;;C22.2 - Manufacture of plastics products;;;This target focuses on recycling plastic packaging, relevant to manufacturing and waste management.;9
TA3.33;Recycling of wood in packaging: 30%;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C16 - Manufacture of wood and of products of wood and cork, except furniture;E38 - Waste collection, treatment and disposal activities, materials recovery;;C16.2 - Manufacture of products of wood, cork, straw and plaiting materials;;;This target involves recycling wood packaging, relevant to manufacturing and waste management.;9
TA3.34;Recycling of ferrous metals in packaging: 80%;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C24 - Manufacture of basic metals;E38 - Waste collection, treatment and disposal activities, materials recovery;;C24.1 - Manufacture of basic iron and steel and of ferro-alloys;;;This target focuses on recycling ferrous metal packaging, relevant to manufacturing and waste management.;9
TA3.35;Recycling of aluminium in packaging: 60%;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C24 - Manufacture of basic metals;E38 - Waste collection, treatment and disposal activities, materials recovery;;C24.4 - Manufacture of basic precious and other non-ferrous metals;;;This target involves recycling aluminium packaging, relevant to manufacturing and waste management.;9
TA3.36;Recycling of glass in packaging: 75%;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C23 - Manufacture of other non-metallic mineral products;E38 - Waste collection, treatment and disposal activities, materials recovery;;C23.1 - Manufacture of glass and glass products;;;This target focuses on recycling glass packaging, relevant to manufacturing and waste management.;9
TA3.37;Recycling of paper and cardboard in packaging: 85%;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C17 - Manufacture of paper and paper products;E38 - Waste collection, treatment and disposal activities, materials recovery;;C17.1 - Manufacture of pulp, paper and paperboard;;;This target involves recycling paper and cardboard packaging, relevant to manufacturing and waste management.;9
TA3.38;nan;;;;;;;nan;;;No content available.;0
