target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level3_extra2;justification;confidence_score
TA1.1;Climate Neutrality (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C29.1 - Manufacture of motor vehicles;H49.5 - Transport via pipeline;The target involves broad sectors contributing to climate neutrality, including energy, manufacturing, and transportation.;7
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;F - Construction;H - Transportation and Storage;D - Electricity, Gas, Steam and Air Conditioning Supply;F41 - Construction of buildings;H49 - Land transport and transport via pipelines;D35 - Electricity, gas, steam and air conditioning supply;F41.2 - Construction of residential and non-residential buildings;H49.4 - Freight transport by road and removal services;D35.1 - Electric power generation, transmission and distribution;The target focuses on emissions reductions in buildings and transport, implicating construction, transport, and energy sectors.;8
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);H - Transportation and Storage;F - Construction;A - Agriculture, Forestry and Fishing;H49 - Land transport and transport via pipelines;F41 - Construction of buildings;A1 - Crop and animal production, hunting and related service activities;H49.5 - Transport via pipeline;F41.2 - Construction of residential and non-residential buildings;A1.1 - Growing of non-perennial crops;The target involves emissions reductions in transport, construction, agriculture, and waste management.;8
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;;The target focuses on land use and forestry, implicating agriculture and waste management sectors.;9
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;;The target involves balancing emissions and removals, focusing on land use and forestry.;9
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;;The target focuses on emissions and removals in land use and forestry.;9
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;;F41.2 - Construction of residential and non-residential buildings;D35.1 - Electric power generation, transmission and distribution;;The target is directly related to emissions from buildings, implicating construction and energy sectors.;9
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;D - Electricity, Gas, Steam and Air Conditioning Supply;B - Mining and Quarrying;;D35 - Electricity, gas, steam and air conditioning supply;B6 - Extraction of crude petroleum and natural gas;;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;B6.1 - Extraction of crude petroleum;;The target focuses on methane emissions in energy production, implicating energy and mining sectors.;8
TA1.2;2040 target under discussion;;;;;;;;;;No specific content provided for analysis.;0
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C29.1 - Manufacture of motor vehicles;H49.5 - Transport via pipeline;The target involves broad sectors contributing to GHG emissions reductions, including energy, manufacturing, and transportation.;7
TA1.4;Achieve a climate-resilient society status, fully adapted to the unavoidable impacts of climate change;D - Electricity, Gas, Steam and Air Conditioning Supply;F - Construction;A - Agriculture, Forestry and Fishing;D35 - Electricity, gas, steam and air conditioning supply;F41 - Construction of buildings;A1 - Crop and animal production, hunting and related service activities;D35.1 - Electric power generation, transmission and distribution;F41.2 - Construction of residential and non-residential buildings;A1.1 - Growing of non-perennial crops;The target involves adaptation across multiple sectors, including energy, construction, and agriculture.;6
TA1.5;CBAM;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;;C24 - Manufacture of basic metals;D35 - Electricity, gas, steam and air conditioning supply;;C24.1 - Manufacture of basic iron and steel and of ferro-alloys;D35.1 - Electric power generation, transmission and distribution;;The target involves carbon border adjustment mechanisms, impacting manufacturing and energy sectors.;7
TA1.6;Recast;;;;;;;;;;No specific content provided for analysis.;0
TA1.7;Reduce methane emissions of 35% if compared to 2005 levels;D - Electricity, Gas, Steam and Air Conditioning Supply;B - Mining and Quarrying;;D35 - Electricity, gas, steam and air conditioning supply;B6 - Extraction of crude petroleum and natural gas;;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;B6.1 - Extraction of crude petroleum;;The target focuses on methane emissions, implicating energy and mining sectors.;8
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2040. To reach energy neutrality and the additional treatment of nitrogen, GHG emissions would be reduced by 4,86 million tonnes (37,32 % of the avoidable emissions from the sector);E - Water Supply, Sewerage, Waste Management and Remediation Activities;D - Electricity, Gas, Steam and Air Conditioning Supply;;E37 - Sewerage;D35 - Electricity, gas, steam and air conditioning supply;;E37.0 - Sewerage;D35.1 - Electric power generation, transmission and distribution;;The target focuses on energy neutrality in wastewater treatment, implicating water management and energy sectors.;9
TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C29.1 - Manufacture of motor vehicles;H49.5 - Transport via pipeline;The target involves sectors under the EU ETS, including energy, manufacturing, and transportation.;7
