;TA;seed;temperature;system_fingerprint;prompt_tokens;completion_tokens
0;TA1.1;;0.2;fp_f3927aa00d;5560;2111
1;TA1.2;;0.2;fp_f3927aa00d;5560;2202
2;TA1.3;;0.2;fp_f3927aa00d;5560;2184
3;TA2.4;;0.2;fp_f3927aa00d;7248;4799
4;TA2.5;;0.2;fp_f3927aa00d;7248;5096
5;TA2.6;;0.2;fp_f3927aa00d;7248;4371
6;TA3.7;;0.2;fp_f3927aa00d;7115;4622
7;TA3.8;;0.2;fp_f3927aa00d;7115;4637
8;TA3.9;;0.2;fp_f3927aa00d;7115;5666
9;TA4.10;;0.2;fp_f3927aa00d;7876;7051
10;TA4.11;;0.2;fp_f3927aa00d;7876;6712
11;TA4.12;;0.2;fp_f3927aa00d;7876;6305
12;TA5.13;;0.2;fp_f3927aa00d;5915;4507
13;TA5.14;;0.2;fp_f3927aa00d;5915;3661
14;TA5.15;;0.2;fp_f3927aa00d;5915;5051
15;TA6.16;;0.2;fp_f3927aa00d;8245;7646
16;TA6.17;;0.2;fp_f3927aa00d;8245;9536
17;TA6.18;;0.2;fp_f3927aa00d;8245;7956
18;TA7.19;;0.2;fp_f3927aa00d;6143;2416
19;TA7.20;;0.2;fp_f3927aa00d;6143;2469
20;TA7.21;;0.2;fp_f3927aa00d;6143;2585
