target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
TA3.1;Halve the amount of residual (non-recycled) municipal waste;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;E38.2 - Waste treatment and disposal;E38.3 - Materials recovery;;This target focuses on waste management and recycling, making it relevant to NACE category E38.;9
TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;B - Mining and Quarrying;C - Manufacturing;;B9 - Mining support service activities;C33 - Repair and installation of machinery and equipment;;C33.2 - Installation of industrial machinery and equipment;B9.9 - Support activities for other mining and quarrying;;Focus on recycling capacity for strategic raw materials indicates relevance to both mining and manufacturing sectors.;8
TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;B - Mining and Quarrying;;;B7 - Mining of metal ores;B8 - Other mining and quarrying;;B7.1 - Mining of iron ores;B8.1 - Quarrying of stone, sand and clay;;Focus on diversification and importation of raw materials ties it closely to the mining sector.;7
TA3.12;by 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;C - Manufacturing;;;C30 - Manufacture of other transport equipment;C27 - Manufacture of electrical equipment;;C30.3 - Manufacture of air and spacecraft and related machinery;C27.4 - Manufacture of electric lighting equipment;;Emphasis on manufacturing capacity for net-zero technologies relates directly to the manufacturing sector.;9
TA3.13;nan;;;;;;;nan;;;No content provided;0
TA3.14;nan;;;;;;;nan;;;No content provided;0
TA3.15;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall ensure that all waste portable batteries, Light Means of Transport (LMT) and SLI batteries, regardless of their nature, chemical composition, condition, brand or origin, are collected separately in the territory of a Member State where they make these batteries available on the market for the first time.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;E38.1 - Waste collection;;;;Emphasis on collection of waste batteries indicates relevance to waste management activities.;8
TA3.16;Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: 45 % by 31 December 2023, 63 % by 31 December 2027, 73 % by 31 December 2030.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;E38.1 - Waste collection;;;;Focus on collection targets for waste batteries aligns with waste management activities.;8
TA3.17;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51 % by 31 December 2028, 61 % by 31 December 2031.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;E38.1 - Waste collection;;;;The target of collecting waste LMT batteries connects with waste management activities.;8
TA3.18;Recycled content in industrial batteries, electric vehicle batteries, LMT batteries and SLI batteries: Cobalt:  16 % by 2031 (26% by 2036), Lead: 85% (85%), Nickel: 6% (12%), Lithium 6% (15%);C - Manufacturing;;;C27 - Manufacture of electrical equipment;C29 - Manufacture of motor vehicles, trailers and semi-trailers;;C29.3 - Manufacture of parts and accessories for motor vehicles;;;The target is about recycled content in batteries, linking it to electrical equipment and motor vehicle manufacturing.;9
TA3.19;All batteries incorporated in market products shall be readily removable and replaceable by the end-user at any time during the lifetime (except some derogations);C - Manufacturing;;;C27 - Manufacture of electrical equipment;;C27.1 - Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus;;;;The focus on battery design for removability aligns with electrical equipment manufacturing.;8
TA3.2;Reduce landfill to a maximum of 10% of municipal waste;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;E38.2 - Waste treatment and disposal;;;;The emphasis on reducing landfill highlights the role of waste management.;9
