target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
TA6.1;Legally protect a minimum of 30% of the EU's land area;O - Public Administration and Defence, Compulsory Social Security;A - Agriculture, Forestry and Fishing;N/A;O84 - Public administration and defence, compulsory social security;A1 - Crop and animal production, hunting and related service activities;A2 - Forestry and logging;O84.1 - Administration of the State and the economic and social policy of the community;A1.1 - Growing of non-perennial crops;A2.1 - Silviculture and other forestry activities;The target involves legal protection, which is primarily a public administration task, with implications for agriculture and forestry.;8
TA6.10;At least 10% of agricultural area is under high-diversity landscape features;A - Agriculture, Forestry and Fishing;N/A;N/A;A1 - Crop and animal production, hunting and related service activities;N/A;N/A;A1.1 - Growing of non-perennial crops;N/A;N/A;The target directly relates to agricultural practices and land management.;9
TA6.11;Three billion trees are planted in the EU, in full respect of ecological principles;A - Agriculture, Forestry and Fishing;N/A;N/A;A2 - Forestry and logging;N/A;N/A;A2.1 - Silviculture and other forestry activities;N/A;N/A;Tree planting is a forestry activity, focusing on ecological principles.;9
TA6.12;Significant progress in the remediation of contaminated soil sites;E - Water Supply, Sewerage, Waste Management and Remediation Activities;N/A;N/A;E39 - Remediation activities and other waste management services;N/A;N/A;E39.0 - Remediation activities and other waste management services;N/A;N/A;Remediation of contaminated soil is a key aspect of waste management and remediation activities.;9
TA6.13;At least 25,000 km of free-flowing rivers are restored;E - Water Supply, Sewerage, Waste Management and Remediation Activities;N/A;N/A;E36 - Water collection, treatment and supply;N/A;N/A;E36.0 - Water collection, treatment and supply;N/A;N/A;Restoration of rivers involves water management and supply activities.;8
TA6.14;There is a 50% reduction in the number of Red List species threatened by invasive alien species;A - Agriculture, Forestry and Fishing;N/A;N/A;A1 - Crop and animal production, hunting and related service activities;N/A;N/A;A1.7 - Hunting, trapping and related service activities;N/A;N/A;The target involves managing ecosystems and species, which is related to agriculture and forestry.;7
TA6.15;The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%;A - Agriculture, Forestry and Fishing;N/A;N/A;A1 - Crop and animal production, hunting and related service activities;N/A;N/A;A1.1 - Growing of non-perennial crops;N/A;N/A;The target is directly related to agricultural practices and nutrient management.;9
TA6.16;Cities with at least 20,000 inhabitants have an ambitious Urban Greening Plan;O - Public Administration and Defence, Compulsory Social Security;N/A;N/A;O84 - Public administration and defence, compulsory social security;N/A;N/A;O84.1 - Administration of the State and the economic and social policy of the community;N/A;N/A;Urban greening plans are typically managed by public administration bodies.;8
TA6.17;The negative impacts on sensitive species and habitats, including on the seabed through fishing and extraction activities, are substantially reduced to achieve good environmental status;A - Agriculture, Forestry and Fishing;B - Mining and Quarrying;N/A;A3 - Fishing and aquaculture;B8 - Other mining and quarrying;N/A;A3.1 - Fishing;B8.1 - Quarrying of stone, sand and clay;N/A;The target involves reducing impacts from fishing and extraction, relevant to both agriculture and mining.;8
TA6.18;The by-catch of species is eliminated or reduced to a level that allows species recovery and conservation;A - Agriculture, Forestry and Fishing;N/A;N/A;A3 - Fishing and aquaculture;N/A;N/A;A3.1 - Fishing;N/A;N/A;The target is directly related to fishing practices and by-catch management.;9
TA6.19;nan;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No target content provided.;0
