target_code;target_content;NACE_level_3;NACE_level_3_extra1;NACE_level_3_extra2;justification
TA2.1;Renewable hydrogen will be key to replace natural gas, coal and oil in hard-to-decarbonise industries and transport. REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;C20.2 - Manufacture of pesticides and other agrochemical products;C20.3 - Manufacture of paints, varnishes and similar coatings, printing ink and mastics;C20.5 - Manufacture of other chemical products;The target focuses on hydrogen production, which is closely related to chemical manufacturing processes.
TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5 % of newly installed renewable energy capacity by 2030;D35.1 - Electric power generation, transmission and distribution;C26.1 - Manufacture of electronic components and boards;C27.1 - Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus;The target involves renewable energy technology, which includes power generation and related electronic components.
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy;D35.1 - Electric power generation, transmission and distribution;F42.1 - Construction of roads and railways;F42.2 - Construction of utility projects;The target involves renewable energy production, which includes power generation and infrastructure construction.
TA2.12;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1,6 percentage points as an annual average calculated for the periods 2021 to 2025 and 2026 to 2030;D35.1 - Electric power generation, transmission and distribution;C10.1 - Processing and preserving of meat and production of meat products;C13.1 - Preparation and spinning of textile fibres;The target involves increasing renewable energy use in various industrial sectors, including power generation and manufacturing.
TA2.13;Each Member State shall set an obligation on fuel suppliers to ensure that: (a) the amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or i) greenhouse gas intensity reduction of at least 14,5 % by 2030, compared to the baseline set out in Article 27(1), point (b), in accordance with an indicative trajectory set by the Member State;H49.5 - Transport via pipeline;C19.2 - Manufacture of refined petroleum products;C20.2 - Manufacture of pesticides and other agrochemical products;The target focuses on renewable fuels and electricity in the transport sector, involving fuel manufacturing and transport infrastructure.
TA2.14;Member States shall endeavour to increase the share of energy from renewable sources and from waste heat and cold in district heating and cooling by an indicative 2,2 percentage points as an annual average calculated for the period 2021 to 2030, starting from the share of energy from renewable sources and from waste heat and cold in district heating and cooling in 2020;D35.3 - Steam and air conditioning supply;E37.0 - Sewerage;E38.2 - Waste treatment and disposal;The target involves district heating and cooling, which includes steam supply and waste heat recovery.
TA2.15;By 2022 achieve 18% of the total increase in the share of energy from renewable sources between that Member State's binding 2020 national target, and its contribution to the 2030 target of share of energy from renewable sources in gross final consumption of energy. Achieve 43% by 2025, 65% by 2027;D35.1 - Electric power generation, transmission and distribution;C26.1 - Manufacture of electronic components and boards;C27.1 - Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus;The target involves increasing renewable energy share, which includes power generation and related electronic components.
TA2.16;Each Member State shall increase the share of renewable energy in that sector by at least 0,8 percentage points as an annual average calculated for the period 2021 to 2025 and by at least 1,1 percentage points as an annual average calculated for the period 2026 to 2030, starting from the share of renewable energy in the heating and cooling sector in 2020;D35.3 - Steam and air conditioning supply;E37.0 - Sewerage;E38.2 - Waste treatment and disposal;The target involves increasing renewable energy in heating and cooling, which includes steam supply and waste heat recovery.
TA2.17;the Union’s 2030 targets for energy and climate” means the Union-wide binding target for reducing greenhouse gas emissions in 2030 referred to in Article 4(1) of Regulation (EU) 2021/1119, the Union’s binding target for renewable energy for 2030 set in Article 3(1) of Directive (EU) 2018/2001, the Union-level target for improving energy efficiency in 2030 referred to in Article 4(1) of Directive (EU) .../... of the European Parliament and of the Council*+ and the 15 % electricity interconnection target for 2030 or any subsequent targets in that regard agreed by the European Council or by the European Parliament and by the Council for 2030.;D35.1 - Electric power generation, transmission and distribution;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;D35.3 - Steam and air conditioning supply;The target involves energy and climate targets, including power generation, gas distribution, and steam supply.
TA2.18;Member States shall determine an indicative national share of renewable energy produced on-site or nearby as well as renewable energy taken from the grid in final energy consumption in their building sector in 2030 that is consistent with an indicative target of at least a 49 % share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030;F41.2 - Construction of residential and non-residential buildings;D35.1 - Electric power generation, transmission and distribution;D35.3 - Steam and air conditioning supply;The target involves renewable energy in buildings, which includes construction and energy supply.
TA2.19;The fisheries sector must follow the two mutually reinforcing paths of reducing energy intensity, on the one hand, and switching to renewable and low-carbon energy sources, on the other hand;A3.1 - Fishing;D35.1 - Electric power generation, transmission and distribution;C10.2 - Processing and preserving of fish, crustaceans and molluscs;The target involves the fisheries sector, focusing on energy reduction and renewable energy use.
TA2.2;Set up at least one renewables-based energy community in every municipality with a population higher than 10.000;D35.1 - Electric power generation, transmission and distribution;F41.2 - Construction of residential and non-residential buildings;L68.2 - Renting and operating of own or leased real estate;The target involves setting up energy communities, which includes power generation and construction.
TA2.20;Renovate each year at least 3% of the total floor area of buildings owned by all levels of public administration (as also agreed by Council-Parliament on 10.03.23);F41.2 - Construction of residential and non-residential buildings;F43.3 - Building completion and finishing;L68.2 - Renting and operating of own or leased real estate;The target involves building renovation, which includes construction and real estate activities.
TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1,9 % each year, when compared to 2021 (art. 5.1 Directive);D35.1 - Electric power generation, transmission and distribution;D35.3 - Steam and air conditioning supply;F41.2 - Construction of residential and non-residential buildings;The target involves reducing energy consumption in public bodies, which includes power generation and building construction.
TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11,7 % in 2030 compared to the projections of the 2020 EU Reference Scenario so that the Union’s final energy consumption amounts to no more than 763 Mtoe (art. 4 Directive);D35.1 - Electric power generation, transmission and distribution;D35.3 - Steam and air conditioning supply;F41.2 - Construction of residential and non-residential buildings;The target involves reducing energy consumption, which includes power generation and building construction.
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992,5 Mtoe in 2030 (art. 4 Directive) -> 39% savings for primary energy consumption in the EU;D35.1 - Electric power generation, transmission and distribution;D35.3 - Steam and air conditioning supply;F41.2 - Construction of residential and non-residential buildings;The target involves reducing primary energy consumption, which includes power generation and building construction.
TA2.24;Each Member State shall ensure that at least 3 % of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU;F41.2 - Construction of residential and non-residential buildings;F43.3 - Building completion and finishing;L68.2 - Renting and operating of own or leased real estate;The target involves building renovation to achieve zero-energy buildings, which includes construction and real estate activities.
TA2.25;Reduce buildings' final energy consumption by 14%;F41.2 - Construction of residential and non-residential buildings;D35.1 - Electric power generation, transmission and distribution;D35.3 - Steam and air conditioning supply;The target involves reducing energy consumption in buildings, which includes construction and energy supply.
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations;F41.2 - Construction of residential and non-residential buildings;F43.3 - Building completion and finishing;L68.2 - Renting and operating of own or leased real estate;The target involves energy renovation of buildings, which includes construction and real estate activities.
TA2.27;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030 to support reaching an annual energy renovation rate of 3 % or more for the period till 2050 (see latest test adopted by EP on 14.03.2023);F41.2 - Construction of residential and non-residential buildings;F43.3 - Building completion and finishing;L68.2 - Renting and operating of own or leased real estate;The target involves deep renovation of buildings, which includes construction and real estate activities.
TA2.28;Reduce buildings' energy consumption for heating and cooling by 18%;D35.3 - Steam and air conditioning supply;F41.2 - Construction of residential and non-residential buildings;F43.3 - Building completion and finishing;The target involves reducing energy consumption for heating and cooling in buildings, which includes steam supply and construction.
TA2.29;For the non-residential building stock, the revised rules require to gradually improve it via minimum energy performance standards. This will lead to renovating the 16% worst-performing buildings by 2030 and the 26% worst-performing buildings by 2033.;F41.2 - Construction of residential and non-residential buildings;F43.3 - Building completion and finishing;L68.2 - Renting and operating of own or leased real estate;The target involves improving energy performance of non-residential buildings, which includes construction and real estate activities.
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42 % of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60 % by 2035;C20.2 - Manufacture of pesticides and other agrochemical products;C20.3 - Manufacture of paints, varnishes and similar coatings, printing ink and mastics;C20.5 - Manufacture of other chemical products;The target involves renewable fuels, particularly hydrogen, which is closely related to chemical manufacturing processes.
TA2.30;The revised directive will make zero-emission buildings the new standard for new buildings. Under the agreement all new residential and non-residential buildings must have zero on-site emissions from fossil fuels, as of 1 January 2028 for publicly-owned buildings and as of 1 January 2030 for all other new buildings, with a possibility for specific exemptions.;F41.2 - Construction of residential and non-residential buildings;F43.3 - Building completion and finishing;L68.2 - Renting and operating of own or leased real estate;The target involves zero-emission buildings, which includes construction and real estate activities.
TA2.31;All existing buildings should be transformed into zero-emission buildings;F41.2 - Construction of residential and non-residential buildings;F43.3 - Building completion and finishing;L68.2 - Renting and operating of own or leased real estate;The target involves transforming existing buildings into zero-emission buildings, which includes construction and real estate activities.
TA2.32;100% of on-site energy consumption to be covered by renewable energy as for new buildings;D35.1 - Electric power generation, transmission and distribution;F41.2 - Construction of residential and non-residential buildings;D35.3 - Steam and air conditioning supply;The target involves renewable energy for new buildings, which includes power generation and construction.
