```csv
target_code;target_content;NACE_level_3;NACE_level_3_extra1;NACE_level_3_extra2;justification
TA3.1;Halve the amount of residual (non-recycled) municipal waste;E38.2 - Waste treatment and disposal;E38.1 - Waste collection;E38.3 - Materials recovery;The target focuses on reducing waste, which involves waste collection, treatment, disposal, and materials recovery.
TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;C24 - Manufacture of basic metals;E38.3 - Materials recovery;C23 - Manufacture of other non-metallic mineral products;The target involves recycling and processing raw materials, relevant to manufacturing and materials recovery sectors.
TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;B8 - Other mining and quarrying;C24 - Manufacture of basic metals;C23 - Manufacture of other non-metallic mineral products;The target is about diversifying raw material sources, relevant to mining and manufacturing sectors.
TA3.12;By 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;C26 - Manufacture of computer, electronic and optical products;C27 - Manufacture of electrical equipment;C28 - Manufacture of machinery and equipment n.e.c.;The target involves increasing manufacturing capacity for net-zero technologies, relevant to the electronics, electrical equipment, and machinery sectors.
TA3.13;nan;;; ;No content provided.
TA3.14;nan;;; ;No content provided.
TA3.15;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall ensure that all waste portable batteries, Light Means of Transport (LMT) and SLI batteries, regardless of their nature, chemical composition, condition, brand or origin, are collected separately in the territory of a Member State where they make these batteries available on the market for the first time.;C27.2 - Manufacture of batteries and accumulators;E38.1 - Waste collection;E38.3 - Materials recovery;The target involves battery collection and recycling, relevant to battery manufacturing and waste management sectors.
TA3.16;Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: 45 % by 31 December 2023, 63 % by 31 December 2027, 73 % by 31 December 2030.;C27.2 - Manufacture of batteries and accumulators;E38.1 - Waste collection;E38.3 - Materials recovery;The target focuses on battery waste collection and recycling, relevant to battery manufacturing and waste management sectors.
TA3.17;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51 % by 31 December 2028, 61 % by 31 December 2031.;C27.2 - Manufacture of batteries and accumulators;E38.1 - Waste collection;E38.3 - Materials recovery;The target involves collection and recycling of LMT batteries, relevant to battery manufacturing and waste management sectors.
TA3.18;Recycled content in industrial batteries, electric vehicle batteries, LMT batteries and SLI batteries: Cobalt: 16 % by 2031 (26% by 2036), Lead: 85% (85%), Nickel: 6% (12%), Lithium 6% (15%);C27.2 - Manufacture of batteries and accumulators;E38.3 - Materials recovery;C24 - Manufacture of basic metals;The target focuses on increasing recycled content in batteries, relevant to battery manufacturing, materials recovery, and metal manufacturing sectors.
TA3.19;All batteries incorporated in market products shall be readily removable and replaceable by the end-user at any time during the lifetime (except some derogations);C27.2 - Manufacture of batteries and accumulators;C28 - Manufacture of machinery and equipment n.e.c.;C29 - Manufacture of motor vehicles, trailers and semi-trailers;The target involves design and manufacturing of batteries, relevant to battery manufacturing and machinery sectors.
TA3.2;Reduce landfill to a maximum of 10% of municipal waste;E38.2 - Waste treatment and disposal;E38.1 - Waste collection;E38.3 - Materials recovery;The target focuses on reducing landfill, relevant to waste management and materials recovery sectors.
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries;C27.2 - Manufacture of batteries and accumulators;E38.3 - Materials recovery;C24 - Manufacture of basic metals;The target involves recycling efficiency for batteries, relevant to battery manufacturing, materials recovery, and metal manufacturing sectors.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 65% by average weight of lithium-based batteries, No later than 31 December 2030 - 70% by average weight of lithium-based batteries;C27.2 - Manufacture of batteries and accumulators;E38.3 - Materials recovery;C24 - Manufacture of basic metals;The target focuses on recycling efficiency for lithium-based batteries, relevant to battery manufacturing, materials recovery, and metal manufacturing sectors.
TA3.22;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 -90% for cobalt, copper, lead and nickel, No later than 31 December 2031: -95% for cobalt, copper, lead, and nickel;E38.3 - Materials recovery;C24 - Manufacture of basic metals;C27.2 - Manufacture of batteries and accumulators;The target involves recovery of materials from recycling, relevant to materials recovery, metal manufacturing, and battery manufacturing sectors.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 -50% lithium No later than 31 December 2031: -80% lithium;E38.3 - Materials recovery;C24 - Manufacture of basic metals;C27.2 - Manufacture of batteries and accumulators;The target focuses on lithium recovery from recycling, relevant to materials recovery, metal manufacturing, and battery manufacturing sectors.
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;C10 - Manufacture of food products;C11 - Manufacture of beverages;E38.3 - Materials recovery;The target involves reducing food waste in manufacturing, relevant to food and beverage manufacturing and materials recovery sectors.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30 % in comparison to the amount generated in 2020;G47 - Retail trade, except of motor vehicles and motorcycles;I56 - Food and beverage service activities;E38.3 - Materials recovery;The target focuses on reducing food waste in retail and food services, relevant to retail trade, food service activities, and materials recovery sectors.
TA3.26;nan;;; ;No content provided.
TA3.27;Making all packaging recyclable (see European Parliament resolution of 10 February 2021 on the New Circular Economy Action Plan, the New Circular Economy Action Plan and art. 5 of this Proposal);C22 - Manufacture of rubber and plastic products;C17 - Manufacture of paper and paper products;E38.3 - Materials recovery;The target involves making packaging recyclable, relevant to manufacturing of rubber, plastic, paper products, and materials recovery sectors.
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component, (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles, (iii) 30% for single use plastic beverage bottles, (iv) 35% for other plastic packaging From 1 January 2040 (v) 50% for contact sensitive plastic packaging, except single use plastic beverage bottles, (vi) 65% for single use plastic beverage bottles, (vii) 65% for other plastic packaging;C22 - Manufacture of rubber and plastic products;E38.3 - Materials recovery;C10 - Manufacture of food products;The target focuses on recycled content in plastic packaging, relevant to plastic manufacturing, materials recovery, and food product manufacturing sectors.
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter;C22 - Manufacture of rubber and plastic products;G47 - Retail trade, except of motor vehicles and motorcycles;E38.3 - Materials recovery;The target involves reducing plastic bag consumption, relevant to plastic manufacturing, retail trade, and materials recovery sectors.
TA3.3;Double its circular material use rate in the coming decade;E38.3 - Materials recovery;C24 - Manufacture of basic metals;C22 - Manufacture of rubber and plastic products;The target focuses on increasing circular material use, relevant to materials recovery, metal manufacturing, and plastic manufacturing sectors.
TA3.30;Reduce packaging waste by 5% per Member State per capita compared to 2018 by 2030, 10% by 2035 and 15% by 2040;C22 - Manufacture of rubber and plastic products;C17 - Manufacture of paper and paper products;E38.3 - Materials recovery;The target involves reducing packaging waste, relevant to manufacturing of rubber, plastic, paper products, and materials recovery sectors.
TA3.31;Recycling or preparing for re-use 65% of all packaging waste by 2025, 70% by 2030;E38.3 - Materials recovery;C22 - Manufacture of rubber and plastic products;C17 - Manufacture of paper and paper products;The target focuses on recycling and re-use of packaging waste, relevant to materials recovery, plastic manufacturing, and paper product manufacturing sectors.
TA3.32;Recycling of plastic in packaging: 55%;C22 - Manufacture of rubber and plastic products;E38.3 - Materials recovery;;The target involves recycling plastic packaging, relevant to plastic manufacturing and materials recovery sectors.
TA3.33;Recycling of wood in packaging: 30%;C16 - Manufacture of wood and of products of wood and cork, except furniture;E38.3 - Materials recovery;;The target focuses on recycling wood packaging, relevant to wood product manufacturing and materials recovery sectors.
TA3.34;Recycling of ferrous metals in packaging: 80%;C24 - Manufacture of basic metals;E38.3 - Materials recovery;;The target involves recycling ferrous metal packaging, relevant to metal manufacturing and materials recovery sectors.
TA3.35;Recycling of aluminium in packaging: 60%;C24 - Manufacture of basic metals;E38.3 - Materials recovery;;The target focuses on recycling aluminium packaging, relevant to metal manufacturing and materials recovery sectors.
TA3.36;Recycling of glass in packaging: 75%;C23 - Manufacture of other non-metallic mineral products;E38.3 - Materials recovery;;The target involves recycling glass packaging, relevant to non-metallic mineral product manufacturing and materials recovery sectors.
TA3.37;Recycling of paper and cardboard in packaging: 85%;C17 - Manufacture of paper and paper products;E38.3 - Materials recovery;;The target focuses on recycling paper and cardboard packaging, relevant to paper product manufacturing and materials recovery sectors.
TA3.38;nan;;; ;No content provided.
TA3.39;From 2025, beverage bottles listed in Part F of the Annex which are manufactured from polyethylene terephthalate as the major component (‘PET bottles’) contain at least 25 % recycled plastic, calculated as an average for all PET bottles placed on the market on the territory of that Member State;C22 - Manufacture of rubber and plastic products;E38.3 - Materials recovery;C10 - Manufacture of food products;The target involves recycled content in PET bottles, relevant to plastic manufacturing, materials recovery, and food product manufacturing sectors.
TA3.4;By 2030 textile products placed on the EU market are long-lived and recyclable, to a great extent made of recycled fibres, free of hazardous substances and produced in respect of social rights and the environment;C13 - Manufacture of textiles;E38.3 - Materials recovery;C14 - Manufacture of wearing apparel;The target focuses on recyclable textile products, relevant to textile manufacturing, materials recovery, and apparel manufacturing sectors.
TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;C22 - Manufacture of rubber and plastic products;E38.3 - Materials recovery;C10 - Manufacture of food products;The target involves recycling single-use plastic bottles, relevant to plastic manufacturing, materials recovery, and food product manufacturing sectors.
TA3.41;From 2019, the minimum collection rate to be achieved annually shall be 65 % of the average weight of EEE placed on the market in the three preceding years in the Member State concerned, or alternatively 85 % of WEEE generated on the territory of that Member State.;E38.3 - Materials recovery;C26 - Manufacture of computer, electronic and optical products;C27 - Manufacture of electrical equipment;The target involves collection and recycling of electronic waste, relevant to materials recovery, electronics manufacturing, and electrical equipment manufacturing sectors.
TA3.42;From 15 August 2018, the recovery targets for the WEEE falling within the following categories of Annex III shall be: - 85% for Category 1 (temperature exchange equipment) or Category 4 (large equipment with any external dimension more than 50 cm) - 80% for Category 2 (e.g., screens and monitors) - 75% for Category 5 (small equipment with no external dimension more than 50 cm) or 6 (Small IT and telecommunication equipment with no external dimension more than 50 cm).;E38.3 - Materials recovery;C26 - Manufacture of computer, electronic and optical products;C27 - Manufacture of electrical equipment;The target involves recovery of electronic waste, relevant to materials recovery, electronics manufacturing, and electrical equipment manufacturing sectors.
TA3.43;From 15 August 2018, the preparation for re-use targets for the WEEE falling within the following categories of Annex III shall be: - 80% for Category 1 or Category 4 - 70% for Category 2 - 55% for Category 5 or Category 6;E38.3 - Materials recovery;C26 - Manufacture of computer, electronic and optical products;C27 - Manufacture of electrical equipment;The target focuses on preparation for re-use of electronic waste, relevant to materials recovery, electronics manufacturing, and electrical equipment manufacturing sectors.
TA3.44;From 15 August 2018, the recycling targets for the WEEE falling within the following categories of Annex III shall be: - 0% for Category 1 or Category 4 - 70% for Category 2 - 55% for Category 5 or Category 6;E38.3 - Materials recovery;C26 - Manufacture of computer, electronic and optical products;C27 - Manufacture of electrical equipment;The target involves recycling electronic waste, relevant to materials recovery, electronics manufacturing, and electrical equipment manufacturing sectors.
TA3.45;By 2025, the preparing for re-use and recycling of municipal waste shall be increased to a minimum of 55% by weight (60% by 2030, 65% by 2035);E38.2 - Waste treatment and disposal;E38.1 - Waste collection;E38.3 - Materials recovery;The target focuses on re-use and recycling of municipal waste, relevant to waste management and materials recovery sectors.
TA3.46;Member States should aim to achieve an indicative Union-wide food waste reduction target of 30 % by 2025 and 50 % by 2030;C10 - Manufacture of food products;I56 - Food and beverage service activities;E38.3 - Materials recovery;The target involves reducing food waste, relevant to food manufacturing, food service activities, and materials recovery sectors.
TA3.47;Hazardous household waste will have to be collected separately by 2022, bio-waste by 2023 and textiles by 2025;E38.1 - Waste collection;E38.2 - Waste treatment and disposal;E38.3 - Materials recovery;The target involves separate collection of hazardous, bio, and textile waste, relevant to waste management and materials recovery sectors.
TA3.48;nan;;; ;No content provided.
TA3.5;By 2030 producers will have responsibility for their products along the value chain, including when they become waste. The circular textiles ecosystem is thriving, driven by sufficient capacities for innovative fibre-to-fibre recycling, while the incineration and landfilling of textiles is reduced to the minimum.;C13 - Manufacture of textiles;E38.3 - Materials recovery;C14 - Manufacture of wearing apparel;The target focuses on producer responsibility and textile recycling, relevant to textile manufacturing, materials recovery, and apparel manufacturing sectors.
TA3.6;nan;;; ;No content provided.
TA3.7;nan;;; ;No content provided.
TA3.8;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's extraction capacity is able to extract the ores, minerals or concentrates needed to produce at least 10% of the Union's annual consumption of strategic raw materials, to the extent that the Union’s reserves allow for this;B8 - Other mining and quarrying;C24 - Manufacture of basic metals;C23 - Manufacture of other non-metallic mineral products;The target involves extraction of raw materials, relevant to mining and manufacturing sectors.
TA3.9;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's processing capacity, including for all intermediate processing steps, is able to produce at least 40% of the Union's annual consumption of strategic raw materials;B8 - Other mining and quarrying;C24 - Manufacture of basic metals;C23 - Manufacture of other non-metallic mineral products;The target focuses on processing raw materials, relevant to mining and manufacturing sectors.
```
