target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level_3_extra2;justification;confidence_score
TA2.1;Renewable hydrogen will be key to replace natural gas, coal and oil in hard-to-decarbonise industries and transport. REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;D - Electricity, Gas, Steam and Air Conditioning Supply;H - Transportation and Storage;C - Manufacturing;D35 - Electricity, gas, steam and air conditioning supply;H50 - Water transport;C20 - Manufacture of chemicals and chemical products;D35.1 - Electric power generation, transmission and distribution;H50.4 - Inland freight water transport;C20.2 - Manufacture of pesticides and other agrochemical products;The target is related to the production and import of renewable hydrogen, which is linked to the energy sector, transportation, and manufacturing.;8
TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5 % of newly installed renewable energy capacity by 2030;J - Information and Communication;D - Electricity, Gas, Steam and Air Conditioning Supply;K - Financial and Insurance Activities;J61 - Telecommunications;D35 - Electricity, gas, steam and air conditioning supply;K64 - Financial service activities, except insurance and pension funding;J61.1 - Wired telecommunications activities;D35.1 - Electric power generation, transmission and distribution;K64.1 - Monetary intermediation;The target is related to innovative renewable energy technology, which involves information and communication, energy, and financial services.;7
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy;D - Electricity, Gas, Steam and Air Conditioning Supply;J - Information and Communication;K - Financial and Insurance Activities;D35 - Electricity, gas, steam and air conditioning supply;J61 - Telecommunications;K64 - Financial service activities, except insurance and pension funding;D35.1 - Electric power generation, transmission and distribution;J61.1 - Wired telecommunications activities;K64.1 - Monetary intermediation;The target involves cooperation on joint projects for renewable energy production, which is linked to the energy sector, information and communication, and financial services.;8
TA2.12;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;H - Transportation and Storage;C20 - Manufacture of chemicals and chemical products;D35 - Electricity, gas, steam and air conditioning supply;H50 - Water transport;C20.2 - Manufacture of pesticides and other agrochemical products;D35.1 - Electric power generation, transmission and distribution;H50.4 - Inland freight water transport;The target is related to increasing the share of renewable sources in the industry sector, which involves manufacturing, energy, and transportation.;8
TA2.13;Each Member State shall set an obligation on fuel suppliers to ensure that the amount of renewable fuels and renewable electricity supplied to the transport sector;H - Transportation and Storage;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H50 - Water transport;D35 - Electricity, gas, steam and air conditioning supply;C20 - Manufacture of chemicals and chemical products;H50.4 - Inland freight water transport;D35.1 - Electric power generation, transmission and distribution;C20.2 - Manufacture of pesticides and other agrochemical products;The target involves fuel suppliers and the transport sector, which is linked to transportation, energy, and manufacturing.;8
TA2.14;Member States shall endeavour to increase the share of energy from renewable sources and from waste heat and cold in district heating and cooling;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C20 - Manufacture of chemicals and chemical products;H50 - Water transport;D35.1 - Electric power generation, transmission and distribution;C20.2 - Manufacture of pesticides and other agrochemical products;H50.4 - Inland freight water transport;The target is related to increasing the share of renewable energy in district heating and cooling, which involves energy, manufacturing, and transportation.;8
TA2.15;By 2022 achieve 18% of the total increase in the share of energy from renewable sources;D - Electricity, Gas, Steam and Air Conditioning Supply;J - Information and Communication;K - Financial and Insurance Activities;D35 - Electricity, gas, steam and air conditioning supply;J61 - Telecommunications;K64 - Financial service activities, except insurance and pension funding;D35.1 - Electric power generation, transmission and distribution;J61.1 - Wired telecommunications activities;K64.1 - Monetary intermediation;The target involves achieving a certain percentage of the total increase in renewable energy, which is linked to the energy sector, information and communication, and financial services.;7
TA2.16;Each Member State shall increase the share of renewable energy in the heating and cooling sector;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C20 - Manufacture of chemicals and chemical products;H50 - Water transport;D35.1 - Electric power generation, transmission and distribution;C20.2 - Manufacture of pesticides and other agrochemical products;H50.4 - Inland freight water transport;The target is related to increasing the share of renewable energy in the heating and cooling sector, which involves energy, manufacturing, and transportation.;8
TA2.17;The Union’s 2030 targets for energy and climate;D - Electricity, Gas, Steam and Air Conditioning Supply;J - Information and Communication;K - Financial and Insurance Activities;D35 - Electricity, gas, steam and air conditioning supply;J61 - Telecommunications;K64 - Financial service activities, except insurance and pension funding;D35.1 - Electric power generation, transmission and distribution;J61.1 - Wired telecommunications activities;K64.1 - Monetary intermediation;The target involves the Union's 2030 targets for energy and climate, which is linked to the energy sector, information and communication, and financial services.;7
TA2.18;Member States shall determine an indicative national share of renewable energy produced on-site or nearby;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C20 - Manufacture of chemicals and chemical products;H50 - Water transport;D35.1 - Electric power generation, transmission and distribution;C20.2 - Manufacture of pesticides and other agrochemical products;H50.4 - Inland freight water transport;The target involves determining an indicative national share of renewable energy, which is linked to the energy sector, manufacturing, and transportation.;8
