Here is the table with the requested information:

"target_code";"target_content";"NACE_level1";"NACE_level1_extra1";"NACE_level1_extra2";"NACE_level2";"NACE_level2_extra1";"NACE_level2_extra2";"NACE_level_3";"NACE_level_3_extra1";"NACE_level_3_extra2";"justification";"confidence_score"
"TA1.1";"Reduce of 55% GHG emissions compared to 1990 levels";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.2";"2040 target under discussion";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.3";"Reduce of 55% GHG emissions compared to 1990 levels";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.4";"Achieve a climate-resilient society status, fully adapted to the unavoidable impacts of climate change";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.5";"CBAM";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.6";"Recast";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.7";"Reduce methane emissions by 35% compared to 2005 levels";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.8";"Reach energy neutrality in the wastewater treatment sector by 2040";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.9";"The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62% compared to 2005 (increasing the linear emissions reduction factor from 2.2% per year up to 4.4%)";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.10";"The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43% and 42% below 2005 levels, respectively";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.11";"Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005 levels, with targets ranging from -10% to -50% below 2005 levels";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
