TA1.1;The new EU Strategy ‘European Climate Law’ and the ‘Fit for 55’ package;TA3.1;+;The implementation of the European Climate Law and the 'Fit for 55' package is likely to have a positive impact on the circular economy target of halving the amount of residual municipal waste by 2030, as it promotes sustainable practices and reduces greenhouse gas emissions.
TA1.2;2040 target under discussion;TA3.10;+;The discussion of a 2040 target under the European Climate Law may have a positive impact on the target of diversifying the Union's imports of strategic raw materials, as it encourages the development of sustainable and resilient supply chains.
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);TA3.14;+;The reduction of greenhouse gas emissions by 55% compared to 1990 levels may have a positive impact on the target of manufacturing capacity in the Union for strategic net-zero technologies, as it promotes the development of clean and sustainable technologies.
TA1.4;Achieve a climate-resilient society status, fully adapted to the unavoidable impacts of climate change;TA3.4;+;The achievement of a climate-resilient society status may have a positive impact on the target of targeted revision of the Critical Raw Materials Act, as it encourages the development of sustainable and resilient supply chains.
TA1.5;CBAM;TA3.28;+;The implementation of the Carbon Border Adjustment Mechanism (CBAM) may have a positive impact on the target of recycled content in packaging, as it promotes sustainable practices and reduces greenhouse gas emissions.
TA1.6;Recast;TA3.32;+;The recast of EU legislation may have a positive impact on the target of recycling of plastic in packaging, as it promotes sustainable practices and reduces waste.
TA1.7;Reduce methane emissions of 35% if compared to 2005 levels;TA3.18;+;The reduction of methane emissions may have a positive impact on the target of recycled content in industrial batteries, as it promotes sustainable practices and reduces greenhouse gas emissions.
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2040;TA3.30;+;The achievement of energy neutrality in the wastewater treatment sector may have a positive impact on the target of reducing packaging waste, as it promotes sustainable practices and reduces waste.
TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);TA3.14;-;The increase in the linear emissions reduction factor may have a negative impact on the target of manufacturing capacity in the Union for strategic net-zero technologies, as it may lead to increased costs and reduced competitiveness.
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;TA3.4;-;The implementation of the new emissions trading system may have a negative impact on the target of targeted revision of the Critical Raw Materials Act, as it may lead to increased costs and reduced competitiveness.
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005;TA3.10;+;The upgrade of national targets may have a positive impact on the target of diversifying the Union's imports of strategic raw materials, as it encourages the development of sustainable and resilient supply chains.
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector by 2030;TA3.16;+;The achievement of an EU net greenhouse gas removal may have a positive impact on the target of collecting waste portable batteries, as it promotes sustainable practices and reduces greenhouse gas emissions.
TA1.13;For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule).;TA3.20;+;The implementation of the no debit rule may have a positive impact on the target of preparing for re-use and recycling of municipal waste, as it promotes sustainable practices and reduces waste.
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State (no debit rule).;TA3.22;+;The implementation of the no debit rule may have a positive impact on the target of recovery of materials from waste, as it promotes sustainable practices and reduces waste.
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;TA3.4;-;The reduction of buildings' greenhouse gas emissions may have a negative impact on the target of targeted revision of the Critical Raw Materials Act, as it may lead to increased costs and reduced competitiveness.
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;TA3.18;+;The reduction of methane emissions may have a positive impact on the target of recycled content in industrial batteries, as it promotes sustainable practices and reduces greenhouse gas emissions.
TA3.1;Halve the amount of residual (non-recycled) municipal waste by 2030;TA1.1;+;The reduction of residual municipal waste may have a positive impact on the target of reducing greenhouse gas emissions, as it promotes sustainable practices and reduces waste.
TA3.2;Reduce landfill to a maximum of 10% of municipal waste;TA1.8;+;The reduction of landfill may have a positive impact on the target of reaching energy neutrality in the wastewater treatment sector, as it promotes sustainable practices and reduces waste.
TA3.3;Double its circular material use rate in the coming decade;TA1.4;+;The increase in circular material use rate may have a positive impact on the target of achieving a climate-resilient society status, as it promotes sustainable practices and reduces waste.
TA3.4;By 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;TA1.9;-;The increase in manufacturing capacity may have a negative impact on the target of reducing greenhouse gas emissions, as it may lead to increased energy consumption and emissions.
TA3.5;By 2030, producers will have responsibility for their products along the value chain, including when they become waste. The circular textiles ecosystem is thriving, driven by sufficient capacities for innovative fibre-to-fibre recycling, while the incineration and landfilling of textiles is reduced to the minimum.;TA1.15;+;The development of a circular textiles ecosystem may have a positive impact on the target of reducing buildings' greenhouse gas emissions, as it promotes sustainable practices and reduces waste.
TA3.6;By 2030, the recycling rate for municipal waste will be at least 65%;TA1.13;+;The increase in recycling rate may have a positive impact on the target of achieving a no debit rule, as it promotes sustainable practices and reduces waste.
TA3.7;The EU will be a front-runner in the global transition to a circular economy, with a thriving market for circular products and services, and a strong and competitive circular industry.;TA1.10;-;The development of a circular economy may have a negative impact on the target of reducing greenhouse gas emissions from the EU ETS, as it may lead to increased energy consumption and emissions.
TA3.8;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's extraction capacity is able to extract the ores, minerals or concentrates needed to produce at least 10% of the Union's annual consumption of strategic raw materials, to the extent that the Union’s reserves allow for this;TA1.11;+;The increase in extraction capacity may have a positive impact on the target of upgrading national targets, as it promotes sustainable practices and reduces dependence on imports.
