```csv
target_code;target_content;impact_target;impact_type;justification
TA1.1;Climate Neutrality (2040 target under discussion);TA3.3;+;Achieving climate neutrality will likely increase the circular material use rate as it encourages sustainable practices and resource efficiency.
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;TA3.1;+;Reducing emissions in buildings and transport can lead to less residual waste as these sectors adopt more sustainable practices.
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);TA3.2;+;Reducing emissions in sectors like waste aligns with reducing landfill waste, promoting recycling and reuse.
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;TA3.4;+;Enhancing carbon sinks through forestry can support sustainable textile production by providing sustainable raw materials.
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;TA3.5;+;Balancing emissions and removals can encourage sustainable practices in the textile sector, reducing waste and promoting recycling.
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);TA3.6;+;Maintaining a balance between emissions and removals can promote circular economy practices, reducing waste and enhancing recycling.
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;TA3.2;+;Reducing emissions in buildings can lead to less construction waste, aligning with the goal of reducing landfill waste.
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;TA3.7;+;Reducing methane emissions can support the reduction of emissions in the circular economy, promoting sustainable practices.
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);TA3.3;+;A significant reduction in GHG emissions will likely promote circular economy practices, increasing the circular material use rate.
TA1.4;Achieve a climate-resilient society status, fully adapted to the unavoidable impacts of climate change;TA3.8;+;A climate-resilient society will likely adopt circular economy practices, enhancing resource efficiency and reducing waste.
TA1.5;CBAM;TA3.9;+;The Carbon Border Adjustment Mechanism can encourage the use of recycled materials, supporting the circular economy.
TA1.6;Recast;TA3.10;+;Recasting policies can lead to increased recycling capacity, supporting the circular economy.
TA1.7;Reduce methane emissions of 35% if compared to 2005 levels;TA3.11;+;Reducing methane emissions can support the reduction of emissions in the circular economy, promoting sustainable practices.
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2040. To reach energy neutrality and the additional treatment of nitrogen, GHG emissions would be reduced by 4,86 million tonnes (37,32 % of the avoidable emissions from the sector);TA3.12;+;Energy neutrality in wastewater treatment can support the circular economy by reducing emissions and promoting sustainable practices.
TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);TA3.13;+;Reducing emissions in sectors covered by the EU ETS can support the circular economy by promoting sustainable practices and reducing waste.
TA3.1;Halve the amount of residual (non-recycled) municipal waste;TA1.10;+;Reducing residual waste can contribute to emission reductions by promoting recycling and reducing landfill emissions.
TA3.2;Reduce landfill to a maximum of 10% of municipal waste;TA1.15;+;Reducing landfill waste can support emission reductions in buildings by promoting recycling and sustainable construction practices.
TA3.3;Double its circular material use rate in the coming decade;TA1.1;+;Increasing the circular material use rate can contribute to climate neutrality by promoting resource efficiency and reducing emissions.
TA3.4;By 2030 textile products placed on the EU market are long-lived and recyclable, to a great extent made of recycled fibres, free of hazardous substances and produced in respect of social rights and the environment;TA1.12;+;Sustainable textile production can enhance carbon sinks by promoting sustainable forestry practices.
TA3.5;By 2030 producers will have responsibility for their products along the value chain, including when they become waste. The circular textiles ecosystem is thriving, driven by sufficient capacities for innovative fibre-to-fibre recycling, while the incineration and landfilling of textiles is reduced to the minimum.;TA1.13;+;A thriving circular textiles ecosystem can support emission reductions by promoting recycling and reducing waste.
TA3.6;;TA1.14;+;Circular economy practices can support emission reductions by promoting resource efficiency and reducing waste.
TA3.7;;TA1.16;+;Circular economy practices can support methane emission reductions by promoting sustainable practices and reducing waste.
TA3.8;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's extraction capacity is able to extract the ores, minerals or concentrates needed to produce at least 10% of the Union's annual consumption of strategic raw materials, to the extent that the Union’s reserves allow for this;TA1.4;+;A secure supply of raw materials can support climate resilience by promoting sustainable practices and reducing emissions.
TA3.9;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's processing capacity, including for all intermediate processing steps, is able to produce at least 40% of the Union's annual consumption of strategic raw materials;TA1.5;+;A secure supply of raw materials can support emission reductions by promoting sustainable practices and reducing waste.
TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;TA1.6;+;Increased recycling capacity can support emission reductions by promoting sustainable practices and reducing waste.
TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;TA1.7;+;Diversifying imports can support emission reductions by promoting sustainable practices and reducing waste.
TA3.12;by 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;TA1.8;+;Increased manufacturing capacity for net-zero technologies can support emission reductions by promoting sustainable practices and reducing waste.
TA3.13;;TA1.9;+;Circular economy practices can support emission reductions by promoting resource efficiency and reducing waste.
```
