TA4.45; Zero-emission ocean-going vessels will become market ready; TA1.9; +; The development of zero-emission ocean-going vessels is likely to have a positive impact on reducing greenhouse gas emissions, which is a key aspect of the EU Climate ambition, as outlined in target TA1.9. This is because zero-emission vessels will contribute to decreasing emissions from the transportation sector, thereby supporting the EU's goal of achieving climate neutrality. 
TA4.46; Zero-emission large aircraft will become market ready; TA1.9; +; The introduction of zero-emission large aircraft will have a positive effect on reducing greenhouse gas emissions, as stated in target TA1.9, by decreasing emissions from air transportation, thus aiding the EU in its pursuit of climate neutrality. 
TA4.47; Euro 7 pollutant limits; TA1.9; +; Implementing Euro 7 pollutant limits, as mentioned in target TA4.47, will lead to a reduction in emissions from vehicles, which in turn will have a positive impact on achieving the EU Climate ambition, as outlined in target TA1.9, by decreasing overall greenhouse gas emissions. 
TA4.48; nan; TA1.9; ; There is no content for target TA4.48, so no connection can be made. 
TA4.49; nan; TA1.9; ; There is no content for target TA4.49, so no connection can be made. 
TA4.5; Starting from 2025, at least 2% of aviation fuels will be green; TA1.9; +; The use of green aviation fuels, as stated in target TA4.5, will contribute to reducing greenhouse gas emissions from air transportation, thereby having a positive impact on the EU Climate ambition, as outlined in target TA1.9. 
TA4.50; All external costs of transport within the EU will be covered by the transport users; TA1.9; +; Covering external costs of transport, as mentioned in target TA4.50, will lead to a more efficient and environmentally friendly transportation system, which in turn will have a positive effect on reducing greenhouse gas emissions, supporting the EU Climate ambition outlined in target TA1.9. 
TA4.51; Seamless multimodal passenger transport will be facilitated by integrated electronic ticketing; TA1.9; +; Facilitating seamless multimodal passenger transport, as stated in target TA4.51, will lead to a more efficient transportation system, potentially reducing emissions and supporting the EU Climate ambition, as outlined in target TA1.9. 
TA4.53; The death toll for all modes of transport in the EU will be close to zero; TA1.9; +; Reducing the death toll from transportation, as mentioned in target TA4.53, will lead to a safer and more environmentally friendly transportation system, which in turn will have a positive impact on achieving the EU Climate ambition, as outlined in target TA1.9, by promoting sustainable transportation methods. 
TA4.54; Active transport modes have seen growth with cities announcing over 2300 km of extra cycling infrastructure; TA1.9; +; Promoting active transport modes, such as cycling, as stated in target TA4.54, will lead to a reduction in greenhouse gas emissions from transportation, supporting the EU Climate ambition outlined in target TA1.9. 
TA4.55; Zero-emission in urban logistics; TA1.9; +; Implementing zero-emission urban logistics, as mentioned in target TA4.55, will contribute to reducing greenhouse gas emissions from transportation, thereby supporting the EU Climate ambition, as outlined in target TA1.9. 
TA4.56; Increase the uptake of short-sea shipping instead of using more polluting modes; TA1.9; +; Increasing the use of short-sea shipping, as stated in target TA4.56, will lead to a reduction in emissions from transportation, supporting the EU Climate ambition outlined in target TA1.9, by promoting a more environmentally friendly mode of transportation. 
TA4.57; Renovate the EU’s maritime fleet to improve their energy efficiency; TA1.9; +; Renovating the EU's maritime fleet, as mentioned in target TA4.57, will lead to improved energy efficiency and reduced emissions, supporting the EU Climate ambition, as outlined in target TA1.9. 
TA4.58; Pursue the objective of zero-emission ports; TA1.9; +; Pursuing zero-emission ports, as stated in target TA4.58, will contribute to reducing greenhouse gas emissions from transportation, thereby supporting the EU Climate ambition outlined in target TA1.9. 
TA4.6; Synthetic aviation fuels are expected to play a role in the decarbonisation of the sector already by 2030; TA1.9; +; The use of synthetic aviation fuels, as mentioned in target TA4.6, will contribute to reducing greenhouse gas emissions from air transportation, supporting the EU Climate ambition, as outlined in target TA1.9. 
TA4.7; Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1 % in 2025 and 3,5 % in 2030; TA1.9; +; Implementing the obligation on fuel suppliers, as stated in target TA4.7, will lead to an increase in the use of renewable fuels, reducing greenhouse gas emissions from transportation and supporting the EU Climate ambition outlined in target TA1.9. 
TA4.8; Member States with maritime ports should endeavour to ensure that from 2030 the share of renewable fuels of non-biological origin in the total amount of energy supplied to the maritime transport sector is at least 1,2 %.; TA1.9; +; Increasing the share of renewable fuels in maritime transportation, as mentioned in target TA4.8, will contribute to reducing greenhouse gas emissions, supporting the EU Climate ambition, as outlined in target TA1.9. 
TA4.9; Cut the emissions of transport sector by 90%; TA1.9; +; Cutting emissions from the transport sector, as stated in target TA4.9, will have a significant positive impact on achieving the EU Climate ambition, as outlined in target TA1.9, by drastically reducing greenhouse gas emissions. 
TA5.1; nan; TA1.9; ; There is no content for target TA5.1, so no connection can be made. 
TA5.10; Increase renewable energy in agriculture and food sector; TA1.9; +; Increasing renewable energy in agriculture and food, as mentioned in target TA5.10, will lead to a reduction in greenhouse gas emissions from these sectors, supporting the EU Climate ambition outlined in target TA1.9. 
TA5.11; Protect the environment and restore natural resources; TA1.9; +; Protecting the environment and restoring natural resources, as stated in target TA5.11, will have a positive impact on reducing greenhouse gas emissions and supporting the EU Climate ambition, as outlined in target TA1.9, by promoting sustainable land use and reducing emissions from agriculture. 
TA5.12; Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change; TA1.9; +; Ensuring access to quality seeds, as mentioned in target TA5.12, will support the development of climate-resilient agriculture, leading to reduced emissions and supporting the EU Climate ambition outlined in target TA1.9. 
TA5.13; Reduce food waste; TA1.9; +; Reducing food waste, as stated in target TA5.13, will lead to a decrease in greenhouse gas emissions from agriculture and food production, supporting the EU Climate ambition, as outlined in target TA1.9. 
TA5.14; Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail; TA1.9; +; Promoting sustainable production methods, as mentioned in target TA5.14, will contribute to reducing emissions from food processing and retail, supporting the EU Climate ambition outlined in target TA1.9. 
TA5.15; Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries; TA1.9; +; Reducing the environmental footprint of the EU food system, as stated in target TA5.15, will have a positive impact on achieving the EU Climate ambition, as outlined in target TA1.9, by decreasing greenhouse gas emissions and promoting sustainable agriculture practices. 
TA5.16; Ensure fair income and salaries; TA1.9; +; Ensuring fair income and salaries, as mentioned in target TA5.16, will support the development of sustainable agriculture practices, leading to reduced emissions and supporting the EU Climate ambition outlined in target TA1.9. 
TA5.17; Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production; TA1.9; +; Strengthening the position of farmers and fishers, as stated in target TA5.17, will lead to more sustainable agriculture practices, reducing emissions and supporting the EU Climate ambition, as outlined in target TA1.9. 
TA5.18; Improve agricultural rules that strengthen the position of farmers; TA1.9; +; Improving agricultural rules, as mentioned in target TA5.18, will support the development of sustainable agriculture practices, leading to reduced emissions and supporting the EU Climate ambition outlined in target TA1.9. 
TA5.19; Preserve the affordability of food; TA1.9; +; Preserving food affordability, as stated in target TA5.19, will ensure that sustainable agriculture practices are economically viable, supporting the EU Climate ambition, as outlined in target TA1.9, by promoting affordable and sustainable food production. 
TA1.1; Climate Neutrality; TA4.45; +; Achieving climate neutrality, as stated in target TA1.1, will require the development and implementation of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation. 
TA1.2; 2040 target under discussion; TA4.45; +; Discussing a 2040 target, as mentioned in target TA1.2, will involve setting specific emission reduction goals, which may include the development of zero-emission ocean-going vessels, as stated in target TA4.45, to achieve climate neutrality. 
TA1.3; Reduce of 55% GHG emissions compared to 1990 levels; TA4.45; +; Reducing greenhouse gas emissions, as stated in target TA1.3, will require the implementation of various measures, including the development of zero-emission ocean-going vessels, as mentioned in target TA4.45, to achieve the desired emission reduction. 
TA1.4; Achieve a climate-resilient society status; TA4.45; +; Achieving a climate-resilient society, as mentioned in target TA1.4, will involve adapting to the impacts of climate change, which may include the development and implementation of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions. 
TA1.5; CBAM; TA4.45; +; Implementing a Carbon Border Adjustment Mechanism (CBAM), as stated in target TA1.5, will involve setting a carbon price on imported goods, which may include those related to transportation, such as vessels, and could incentivize the development of zero-emission technologies, as mentioned in target TA4.45. 
TA1.6; Recast; TA4.45; +; Recasting legislation, as mentioned in target TA1.6, may involve updating rules and regulations to support the development and implementation of zero-emission technologies, such as those mentioned in target TA4.45, to achieve climate neutrality. 
TA1.7; Reduce methane emissions of 35% if compared to 2005 levels; TA4.45; +; Reducing methane emissions, as stated in target TA1.7, will require the implementation of various measures, including the development of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation. 
TA1.8; Reach energy neutrality in the wastewater treatment sector by 2040; TA4.45; +; Reaching energy neutrality in the wastewater treatment sector, as mentioned in target TA1.8, may involve the use of renewable energy sources and zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions. 
TA1.9; The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005; TA4.45; +; Achieving a -62% reduction in emissions, as stated in target TA1.9, will require the implementation of various measures, including the development of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation. 
TA1.10; The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030; TA4.45; +; Setting a linear trajectory for emission reduction, as mentioned in target TA1.10, will involve implementing measures to reduce greenhouse gas emissions, including the development of zero-emission technologies, such as those mentioned in target TA4.45, to achieve the desired emission reduction. 
TA1.11; Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005; TA4.45; +; Upgrading national targets, as stated in target TA1.11, will involve setting specific emission reduction goals, which may include the development of zero-emission ocean-going vessels, as mentioned in target TA4.45, to achieve climate neutrality. 
TA1.12; Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry sector; TA4.45; +; Achieving net greenhouse gas removal, as mentioned in target TA1.12, will involve implementing measures to reduce emissions and increase carbon sequestration, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation. 
TA1.13; For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals; TA4.45; +; Ensuring that emissions do not exceed removals, as stated in target TA1.13, will involve implementing measures to reduce greenhouse gas emissions, including the development of zero-emission technologies, such as those mentioned in target TA4.45, to achieve climate neutrality. 
TA1.14; Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory; TA4.45; +; Setting a linear trajectory for emission reduction, as mentioned in target TA1.14, will involve implementing measures to reduce greenhouse gas emissions, including the development of zero-emission technologies, such as those mentioned in target TA4.45, to achieve the desired emission reduction. 
TA1.15; Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030; TA4.45; +; Reducing buildings' emissions, as stated in target TA1.15, will involve implementing measures to increase energy efficiency and reduce energy consumption, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation. 
TA1.16; To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020; TA4.45; +; Reducing methane emissions, as mentioned in target TA1.16, will involve implementing measures to reduce emissions from energy production and consumption, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation. 
TA1.17; the Union’s 2030 targets for energy and climate; TA4.45; +; Achieving the Union's 2030 targets, as stated in target TA1.17, will involve implementing measures to reduce greenhouse gas emissions, including the development of zero-emission technologies, such as those mentioned in target TA4.45, to achieve climate neutrality. 
TA1.18; the Union-level target for improving energy efficiency in 2030; TA4.45; +; Improving energy efficiency, as mentioned in target TA1.18, will involve implementing measures to reduce energy consumption, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation. 
TA1.19; the 15 % electricity interconnection target for 2030 or any subsequent targets in that regard agreed by the European Council or by the European Parliament and by the Council for 2030.; TA4.45; +; Achieving the electricity interconnection target, as stated in target TA1.19, will involve increasing the share of renewable energy in the energy mix, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation. 
TA2.1; Renewable hydrogen will be key to replace natural gas, coal and oil in hard-to-decarbonise industries and transport; TA4.45; +; Developing renewable hydrogen, as mentioned in target TA2.1, will involve implementing measures to reduce greenhouse gas emissions from transportation, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45. 
TA2.10; Member States shall set an indicative target for innovative renewable energy technology of at least 5 % of newly installed renewable energy capacity by 2030; TA4.45; +; Setting an indicative target for innovative renewable energy technology, as stated in target TA2.10, will involve implementing measures to increase the share of renewable energy in the energy mix, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation. 
TA2.11; By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy; TA4.45; +; Establishing a framework for cooperation on joint projects, as mentioned in target TA2.11, will involve implementing measures to increase the share of renewable energy in the energy mix, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation. 
TA2.12; Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1,6 percentage points as an annual average calculated for the periods 2021 to 2025 and 2026 to 2030.; TA4.45; +; Increasing the share of renewable sources in the industry sector, as stated in target TA2.12, will involve implementing measures to reduce greenhouse gas emissions from transportation, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45. 
TA2.13; Each Member State shall set an obligation on fuel suppliers to ensure that: (a) the amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030; or (ii) greenhouse gas intensity reduction of at least 14,5 % by 2030, compared to the baseline set out in Article 27(1), point (b), in accordance with an indicative trajectory set by the Member State; TA4.45; +; Setting an obligation on fuel suppliers, as mentioned in target TA2.13, will involve implementing measures to increase the share of renewable energy in the transport sector, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation. 
TA2.14; Member States shall endeavour to increase the share of energy from renewable sources and from waste heat and cold in district heating and cooling by an indicative 2,2 percentage points as an annual average calculated for the period 2021 to 2030, starting from the share of energy from renewable sources and from waste heat and cold in district heating and cooling in 2020; TA4.45; +; Increasing the share of renewable sources in district heating and cooling, as stated in target TA2.14, will involve implementing measures to reduce greenhouse gas emissions from transportation, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45. 
TA2.15; By 2022 achieve 18% of the total increase in the share of energy from renewable sources between that Member State's binding 2020 national target, and its contribution to the 2030 target of share of energy from renewable sources in gross final consumption of energy. Achieve 43% by 2025, 65% by 2027; TA4.45; +; Achieving the indicative targets for the share of renewable energy, as mentioned in target TA2.15, will involve implementing measures to increase the share of renewable energy in the energy mix, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation. 
TA2.16; Each Member State shall increase the share of renewable energy in that sector by at least 0,8 percentage points as an annual average calculated for the period 2021 to 2025 and by at least 1,1 percentage points as an annual average calculated for the period 2026 to 2030, starting from the share of renewable energy in the heating and cooling sector in 2020; TA4.45; +; Increasing the share of renewable energy in the heating and cooling sector, as stated in target TA2.16, will involve implementing measures to reduce greenhouse gas emissions from transportation, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45. 
TA2.17; the Union’s 2030 targets for energy and climate; TA4.45; +; Achieving the Union's 2030 targets, as stated in target TA2.17, will involve implementing measures to reduce greenhouse gas emissions, including the development of zero-emission technologies, such as those mentioned in target TA4.45, to achieve climate neutrality. 
TA2.18; Member States shall determine an indicative national share of renewable energy produced on-site or nearby as well as renewable energy taken from the grid in final energy consumption in their building sector in 2030 that is consistent with an indicative target of at least a 49 % share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030; TA4.45; +; Determining an indicative national share of renewable energy, as mentioned in target TA2.18, will involve implementing measures to increase the share of renewable energy in the building sector, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation. 
TA2.19; The fisheries sector must follow the two mutually reinforcing paths of reducing energy intensity, on the one hand, and switching to renewable and low-carbon energy sources, on the other hand; TA4.45; +; Reducing energy intensity and switching to renewable energy sources, as stated in target TA2.19, will involve implementing measures to reduce greenhouse gas emissions from the fisheries sector, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation. 
TA2.20; Renovate each year at least 3% of the total floor area of buildings owned by all levels of public administration; TA4.45; +; Renovating buildings, as mentioned in target TA2.20, will involve implementing measures to increase energy efficiency and reduce energy consumption, which may include the development of zero-emission technologies, such as those mentioned in target TA4.45, to reduce greenhouse gas emissions from transportation.
