TA6.12; Reduce nutrient losses by at least 50%, while ensuring no deterioration on soil fertility; TA5.4; Reduce by 50% the use of more hazardous pesticides; +; The reduction of nutrient losses and the decrease in hazardous pesticide use are interconnected as they both aim to promote sustainable agricultural practices, which can have a positive impact on each other by reducing the environmental pressure on soil and promoting ecosystem services.
TA6.12; Reduce nutrient losses by at least 50%, while ensuring no deterioration on soil fertility; TA5.9; Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030; +; Organic farming, which is encouraged by the target TA5.9, can contribute to reducing nutrient losses as it often involves more sustainable soil management practices, thus having a positive impact on target TA6.12.
TA5.4; Reduce by 50% the use of more hazardous pesticides; TA6.12; Reduce nutrient losses by at least 50%, while ensuring no deterioration on soil fertility; +; Reducing the use of hazardous pesticides can lead to healthier soils, which in turn can help in reducing nutrient losses, thus target TA5.4 can have a positive impact on target TA6.12.
TA5.9; Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030; TA6.14; There is a 50% reduction in the number of Red List species threatened by invasive alien species; +; Organic farming can help in preserving biodiversity by creating habitats for various species and reducing the use of harmful chemicals, which can positively impact the reduction of Red List species threatened by invasive alien species, as stated in target TA6.14.
TA6.14; There is a 50% reduction in the number of Red List species threatened by invasive alien species; TA5.9; Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030; +; The increase in organic farming can lead to a reduction in the use of pesticides and an increase in biodiversity, which can help in reducing the number of Red List species threatened by invasive alien species, thus target TA5.9 can have a positive impact on target TA6.14.
TA6.12; Reduce nutrient losses by at least 50%, while ensuring no deterioration on soil fertility; TA5.3; Reduce nutrient losses by at least 50%, while ensuring no deterioration on soil fertility; +; Both targets aim at reducing nutrient losses, which can have a compounding positive effect on soil health and fertility, as well as on the overall environmental sustainability of agricultural practices.
TA5.4; Reduce by 50% the use of more hazardous pesticides; TA6.15; The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%; +; Reducing hazardous pesticide use can lead to more sustainable farming practices, which in turn can help in reducing nutrient losses from fertilizers, thus target TA5.4 can have a positive impact on target TA6.15.
TA6.15; The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%; TA5.4; Reduce by 50% the use of more hazardous pesticides; +; The reduction in fertilizer use, as aimed by target TA6.15, can lead to a decrease in the environmental pressure caused by fertilizers, which can positively impact the reduction of hazardous pesticide use, as both are interconnected in promoting sustainable agriculture.
TA5.9; Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030; TA6.15; The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%; +; Organic farming practices, encouraged by target TA5.9, often involve more efficient use of fertilizers and can lead to a reduction in nutrient losses, thus having a positive impact on target TA6.15.
TA6.17; The negative impacts on sensitive species and habitats, including on the seabed through fishing and extraction activities, are substantially reduced to achieve good environmental status; TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; +; Sustainable fishing and aquaculture practices, as encouraged by target TA5.6, can help reduce the negative impacts on sensitive species and habitats, thus having a positive impact on target TA6.17.
TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; TA6.17; The negative impacts on sensitive species and habitats, including on the seabed through fishing and extraction activities, are substantially reduced to achieve good environmental status; +; The reduction of negative impacts on sensitive species and habitats, as aimed by target TA6.17, can lead to healthier marine ecosystems, which in turn can support sustainable fishing and aquaculture practices, thus target TA6.17 can have a positive impact on target TA5.6.
TA6.18; The by-catch of species is eliminated or reduced to a level that allows species recovery and conservation; TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; +; Sustainable fishing practices, which include reducing by-catch as stated in target TA6.18, are crucial for achieving sustainable fish stocks and promoting organic aquaculture, thus target TA6.18 can have a positive impact on target TA5.6.
TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; TA6.18; The by-catch of species is eliminated or reduced to a level that allows species recovery and conservation; +; The increase in sustainable fishing and aquaculture, as encouraged by target TA5.6, can lead to a reduction in by-catch, thus having a positive impact on target TA6.18.
TA6.26; Ensure that incidental catches of sensitive marine species, including those listed under Directives 92/43/EEC and 2009/147/EC, that are a result of fishing, are minimised and where possible eliminated so that they do not represent a threat to the conservation status of these species; TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; +; Minimizing incidental catches of sensitive marine species, as stated in target TA6.26, is essential for sustainable fishing and aquaculture practices, thus target TA6.26 can have a positive impact on target TA5.6.
TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; TA6.26; Ensure that incidental catches of sensitive marine species, including those listed under Directives 92/43/EEC and 2009/147/EC, that are a result of fishing, are minimised and where possible eliminated so that they do not represent a threat to the conservation status of these species; +; The promotion of sustainable fishing and aquaculture, as aimed by target TA5.6, can lead to a reduction in incidental catches of sensitive species, thus having a positive impact on target TA6.26.
TA6.27; Optimise exploitation patterns to provide protection for juveniles and spawning aggregations of marine biological resources; TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; +; Optimizing exploitation patterns to protect marine resources, as stated in target TA6.27, is crucial for achieving sustainable fish stocks and promoting organic aquaculture, thus target TA6.27 can have a positive impact on target TA5.6.
TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; TA6.27; Optimise exploitation patterns to provide protection for juveniles and spawning aggregations of marine biological resources; +; The increase in sustainable fishing and aquaculture, as encouraged by target TA5.6, can lead to more effective protection of marine biological resources, thus having a positive impact on target TA6.27.
TA6.28; In accordance with the CFP, all harvested stocks should be fished at maximum sustainable yield (MSY); TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; +; Fishing at MSY levels, as stated in target TA6.28, is essential for achieving sustainable fish stocks, which in turn can support organic aquaculture, thus target TA6.28 can have a positive impact on target TA5.6.
TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; TA6.28; In accordance with the CFP, all harvested stocks should be fished at maximum sustainable yield (MSY); +; The promotion of sustainable fishing and aquaculture, as aimed by target TA5.6, can lead to the achievement of MSY levels, thus having a positive impact on target TA6.28.
TA6.32; Member States shall put in place effective and area-based restoration measures with the aim to jointly cover, as a Union target, throughout the areas and ecosystems within the scope as defined in Article 2, by 2030, at least 20 % of land areas in need of restoration and, by 2050, all ecosystems in need of restoration; TA5.2; Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030; +; The restoration of ecosystems, as stated in target TA6.32, can lead to healthier environments, which in turn can reduce the need for antimicrobials in farming, thus having a positive impact on target TA5.2.
TA5.2; Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030; TA6.32; Member States shall put in place effective and area-based restoration measures with the aim to jointly cover, as a Union target, throughout the areas and ecosystems within the scope as defined in Article 2, by 2030, at least 20 % of land areas in need of restoration and, by 2050, all ecosystems in need of restoration; +; Reducing antimicrobial use, as aimed by target TA5.2, can lead to healthier animals and environments, which can be supported by ecosystem restoration, thus target TA5.2 can have a positive impact on target TA6.32.
