TA6.7; The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %); TA6.14; The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%; +; The reduction of GHG emissions from the EU ETS sectors will likely have a positive impact on reducing the losses of nutrients from fertilisers, as a decrease in energy consumption and emissions can lead to more efficient use of fertilisers.
TA6.7; The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %); TA6.15; The negative impacts on sensitive species and habitats, including on the seabed through fishing and extraction activities, are substantially reduced to achieve good environmental status; +; The reduction of GHG emissions from the EU ETS sectors can lead to a decrease in harmful fishing and extraction activities, resulting in a positive impact on sensitive species and habitats.
TA6.7; The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %); TA6.16; The by-catch of species is eliminated or reduced to a level that allows species recovery and conservation; +; The reduction of GHG emissions from the EU ETS sectors can lead to more sustainable fishing practices, reducing by-catch and promoting species recovery and conservation.
TA6.7; The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %); TA6.17; The negative impacts on sensitive species and habitats, including on the seabed through fishing and extraction activities, are substantially reduced to achieve good environmental status; +; The reduction of GHG emissions from the EU ETS sectors can lead to a decrease in harmful fishing and extraction activities, resulting in a positive impact on sensitive species and habitats.
TA6.8; The decline of pollinators is reversed; TA6.7; The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %); +; The reduction of GHG emissions from the EU ETS sectors can lead to a decrease in pollution and habitat destruction, resulting in a positive impact on pollinator populations.
TA6.9; The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%; TA6.7; The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %); +; The reduction of GHG emissions from the EU ETS sectors can lead to a decrease in the use of chemical pesticides, resulting in a positive impact on the environment and human health.
TA6.10; Significant progress in the remediation of contaminated soil sites; TA6.7; The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %); +; The reduction of GHG emissions from the EU ETS sectors can lead to a decrease in pollution and contamination of soil, resulting in a positive impact on soil remediation.
TA6.11; At least 25.000 km of free-flowing rivers are restored; TA6.7; The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %); +; The reduction of GHG emissions from the EU ETS sectors can lead to a decrease in pollution and habitat destruction, resulting in a positive impact on river ecosystems and the restoration of free-flowing rivers.
TA6.12; At least a third of the EU's protected areas are strictly protected; TA6.7; The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %); +; The reduction of GHG emissions from the EU ETS sectors can lead to a decrease in human activities harmful to protected areas, resulting in a positive impact on biodiversity and ecosystem conservation.
TA6.13; At least 25% of agricultural land is under organic farming management, and the uptake of agro-ecological practices is significantly increased; TA6.7; The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %); +; The reduction of GHG emissions from the EU ETS sectors can lead to a decrease in synthetic fertilizers and pesticides, resulting in a positive impact on organic farming and agro-ecological practices.
TA6.14; The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%; TA6.8; The decline of pollinators is reversed; +; The reduction of nutrient losses from fertilisers can lead to a decrease in pollution and habitat destruction, resulting in a positive impact on pollinator populations.
TA6.15; The negative impacts on sensitive species and habitats, including on the seabed through fishing and extraction activities, are substantially reduced to achieve good environmental status; TA6.9; The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%; +; The reduction of chemical pesticides can lead to a decrease in pollution and habitat destruction, resulting in a positive impact on sensitive species and habitats.
