TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030;TA2.22;+;The reduction of antimicrobials in farmed animals can lead to a decrease in the development of antimicrobial-resistant bacteria, which in turn can reduce the need for antimicrobials in human healthcare, thereby supporting the target of reducing energy consumption in public bodies.
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030;TA2.23;-;However, the reduction of antimicrobials in farmed animals might lead to an increase in energy consumption for alternative disease prevention methods, potentially hindering the target of reducing primary energy consumption.
TA5.3;Reduce nutrient losses by at least 50%, while ensuring no deterioration on soil fertility;TA2.22;+;Reducing nutrient losses can lead to more efficient use of resources, potentially decreasing energy consumption in the agricultural sector and supporting the target of reducing energy consumption.
TA5.3;Reduce nutrient losses by at least 50%, while ensuring no deterioration on soil fertility;TA2.25;+;The reduction of nutrient losses can also lead to a decrease in the energy needed for fertilizer production, supporting the target of reducing buildings' final energy consumption.
TA5.4;Reduce by 50% the use of more hazardous pesticides;TA2.22;+;The reduction of hazardous pesticides can lead to a decrease in the energy needed for pesticide production and application, supporting the target of reducing energy consumption.
TA5.4;Reduce by 50% the use of more hazardous pesticides;TA2.28;-;However, alternative pest control methods might require more energy, potentially hindering the target of reducing buildings' energy consumption for heating and cooling.
TA5.5;Reduce by 50% the use and risk of chemical pesticides;TA2.22;+;The reduction of chemical pesticides can lead to a decrease in the energy needed for pesticide production and application, supporting the target of reducing energy consumption.
TA5.5;Reduce by 50% the use and risk of chemical pesticides;TA2.29;-;The reduction of chemical pesticides might lead to an increase in energy consumption for alternative pest control methods, potentially hindering the target of reducing energy consumption in non-residential buildings.
TA5.6;Increase sustainable fishing and aquaculture, bring fish stocks to sustainable levels;TA2.22;+;Sustainable fishing and aquaculture practices can lead to more efficient use of resources, potentially decreasing energy consumption in the fishing and aquaculture sectors and supporting the target of reducing energy consumption.
TA5.6;Increase sustainable fishing and aquaculture, bring fish stocks to sustainable levels;TA2.30;-;However, sustainable fishing and aquaculture practices might require more energy for monitoring and enforcement, potentially hindering the target of reducing energy consumption in new buildings.
TA5.7;Tackle climate change: climate change adaptation and mitigation;TA2.22;+;Addressing climate change can lead to a decrease in energy consumption through more efficient use of resources and supporting the target of reducing energy consumption.
TA5.7;Tackle climate change: climate change adaptation and mitigation;TA2.31;-;However, climate change mitigation efforts might require significant investments in new technologies, potentially leading to an increase in energy consumption in the short term, hindering the target of achieving zero-emission buildings.
TA5.8;Sustainable use of water;TA2.22;+;Sustainable water use practices can lead to a decrease in energy consumption for water treatment and distribution, supporting the target of reducing energy consumption.
TA5.8;Sustainable use of water;TA2.32;-;However, water-saving measures might require more energy for water recycling and reuse, potentially hindering the target of reducing energy consumption in buildings.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030;TA2.22;+;Organic farming practices can lead to a decrease in energy consumption for synthetic fertilizers and pesticides, supporting the target of reducing energy consumption.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030;TA2.33;-;However, organic farming might require more energy for manual labor and alternative pest control methods, potentially hindering the target of reducing energy consumption in the agricultural sector.
TA5.21;Ensure access to fast broadband to all farmers and all rural areas;TA2.22;+;Broadband access can support more efficient farming practices, reducing energy consumption and supporting the target of reducing energy consumption.
TA5.21;Ensure access to fast broadband to all farmers and all rural areas;TA2.34;-;However, increased broadband access might lead to an increase in energy consumption for digital technologies, potentially hindering the target of reducing energy consumption in the agricultural sector.
TA5.22;Create shorter supply chains will support reducing dependence on long-haul transportation;TA2.22;+;Shorter supply chains can lead to a decrease in energy consumption for transportation, supporting the target of reducing energy consumption.
TA5.22;Create shorter supply chains will support reducing dependence on long-haul transportation;TA2.35;-;However, shorter supply chains might require more energy for storage and handling, potentially hindering the target of reducing energy consumption in the transportation sector.
TA5.23;Create new job opportunities;TA2.22;+;New job opportunities in sustainable sectors can lead to a decrease in energy consumption through more efficient use of resources, supporting the target of reducing energy consumption.
TA5.23;Create new job opportunities;TA2.36;-;However, new job opportunities might require more energy for training and equipment, potentially hindering the target of reducing energy consumption in the industrial sector.
TA5.24;Ensure Fair, inclusive and ethical value chains;TA2.22;+;Fair and inclusive value chains can lead to a decrease in energy consumption through more efficient use of resources, supporting the target of reducing energy consumption.
TA5.24;Ensure Fair, inclusive and ethical value chains;TA2.37;-;However, fair and inclusive value chains might require more energy for monitoring and certification, potentially hindering the target of reducing energy consumption in the industrial sector.
TA5.25;Promote better animal welfare to improve animal health and food quality;TA2.22;+;Better animal welfare practices can lead to a decrease in energy consumption for animal health and veterinary care, supporting the target of reducing energy consumption.
TA5.25;Promote better animal welfare to improve animal health and food quality;TA2.38;-;However, better animal welfare practices might require more energy for animal care and housing, potentially hindering the target of reducing energy consumption in the agricultural sector.
TA5.26;Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;TA2.22;+;Educational messages can support more efficient food production and consumption practices, reducing energy consumption and supporting the target of reducing energy consumption.
TA5.26;Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;TA2.39;-;However, educational messages might require more energy for digital technologies and communication, potentially hindering the target of reducing energy consumption in the food sector.
TA5.27;Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices;TA2.22;+;Food labelling can support more efficient food production and consumption practices, reducing energy consumption and supporting the target of reducing energy consumption.
TA5.27;Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices;TA2.40;-;However, food labelling might require more energy for packaging and distribution, potentially hindering the target of reducing energy consumption in the food sector.
TA5.28;Extend the mandatory origin or provenance indications to certain products;TA2.22;+;Origin labelling can support more efficient food production and consumption practices, reducing energy consumption and supporting the target of reducing energy consumption.
TA5.28;Extend the mandatory origin or provenance indications to certain products;TA2.41;-;However, origin labelling might require more energy for tracking and certification, potentially hindering the target of reducing energy consumption in the food sector.
TA5.29;Improve availability of sustainable food;TA2.22;+;Sustainable food production and distribution can lead to a decrease in energy consumption, supporting the target of reducing energy consumption.
TA5.29;Improve availability of sustainable food;TA2.42;-;However, sustainable food production and distribution might require more energy for storage and handling, potentially hindering the target of reducing energy consumption in the food sector.
TA5.30;Ensure affordability and access to sufficient, nutritious and sustainable food;TA2.22;+;Affordable and accessible food can lead to a decrease in energy consumption for food production and distribution, supporting the target of reducing energy consumption.
TA5.30;Ensure affordability and access to sufficient, nutritious and sustainable food;TA2.43;-;However, affordable and accessible food might require more energy for transportation and storage, potentially hindering the target of reducing energy consumption in the food sector.
TA5.31;Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA2.22;+;Reformulation of food products can lead to a decrease in energy consumption for food production and processing, supporting the target of reducing energy consumption.
TA5.31;Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA2.44;-;However, reformulation of food products might require more energy for research and development, potentially hindering the target of reducing energy consumption in the food sector.
TA5.32;Ensuring all access to quality, safe, sustainable, nutritious food;TA2.22;+;Access to quality food can lead to a decrease in energy consumption for food production and distribution, supporting the target of reducing energy consumption.
TA5.32;Ensuring all access to quality, safe, sustainable, nutritious food;TA2.45;-;However, access to quality food might require more energy for transportation and storage, potentially hindering the target of reducing energy consumption in the food sector.
TA5.33;Move to healthier and more sustainable diets;TA2.22;+;Healthier and more sustainable diets can lead to a decrease in energy consumption for food production and processing, supporting the target of reducing energy consumption.
TA5.33;Move to healthier and more sustainable diets;TA2.46;-;However, healthier and more sustainable diets might require more energy for food production and processing, potentially hindering the target of reducing energy consumption in the food sector.
TA5.34;Reverse prevalence of overweight and diet-related diseases;TA2.22;+;Reducing overweight and diet-related diseases can lead to a decrease in energy consumption for healthcare, supporting the target of reducing energy consumption.
TA5.34;Reverse prevalence of overweight and diet-related diseases;TA2.47;-;However, reducing overweight and diet-related diseases might require more energy for healthcare and treatment, potentially hindering the target of reducing energy consumption in the healthcare sector.
TA5.35;Strengthen the resilience of the EU food system;TA2.22;+;A resilient food system can lead to a decrease in energy consumption for food production and distribution, supporting the target of reducing energy consumption.
TA5.35;Strengthen the resilience of the EU food system;TA2.48;-;However, a resilient food system might require more energy for infrastructure and logistics, potentially hindering the target of reducing energy consumption in the food sector.
TA5.36;nan;TA2.22;+; 
TA5.37;nan;TA2.23;-; 
TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1,9 % each year, when compared to 2021;TA5.2;+;Reducing energy consumption in public bodies can support the reduction of antimicrobials in farmed animals, as energy-efficient practices can lead to better animal health and reduced need for antimicrobials.
TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1,9 % each year, when compared to 2021;TA5.3;-;However, reducing energy consumption in public bodies might require more energy for alternative technologies and infrastructure, potentially hindering the target of reducing nutrient losses.
TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11,7 % in 2030 compared to the projections of the 2020 EU Reference Scenario;TA5.4;+;Reducing energy consumption can support the reduction of hazardous pesticides, as energy-efficient practices can lead to better crop health and reduced need for pesticides.
TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11,7 % in 2030 compared to the projections of the 2020 EU Reference Scenario;TA5.5;-;However, reducing energy consumption might require more energy for alternative technologies and infrastructure, potentially hindering the target of reducing chemical pesticides.
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992,5 Mtoe in 2030;TA5.6;+;Reducing primary energy consumption can support sustainable fishing and aquaculture practices, as energy-efficient practices can lead to better fish health and reduced need for energy-intensive fishing methods.
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992,5 Mtoe in 2030;TA5.7;-;However, reducing primary energy consumption might require more energy for alternative technologies and infrastructure, potentially hindering the target of tackling climate change.
TA2.24;Each Member State shall ensure that at least 3 % of the total floor area of heated and/or cooled buildings that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings;TA5.8;+;Renovating public buildings can support sustainable water use practices, as energy-efficient buildings can lead to reduced water consumption.
TA2.24;Each Member State shall ensure that at least 3 % of the total floor area of heated and/or cooled buildings that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings;TA5.9;-;However, renovating public buildings might require more energy for construction and materials, potentially hindering the target of increasing organic farming.
TA2.25;Reduce buildings' final energy consumption by 14%;TA5.21;+;Reducing energy consumption in buildings can support the target of ensuring access to fast broadband, as energy-efficient buildings can lead to reduced energy consumption for digital technologies.
TA2.25;Reduce buildings' final energy consumption by 14%;TA5.22;-;However, reducing energy consumption in buildings might require more energy for alternative technologies and infrastructure, potentially hindering the target of creating shorter supply chains.
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations;TA5.23;+;Increasing the energy renovation rate can support the target of creating new job opportunities, as energy-efficient buildings can lead to new job opportunities in the construction and renovation sector.
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations;TA5.24;-;However, increasing the energy renovation rate might require more energy for construction and materials, potentially hindering the target of ensuring fair and inclusive value chains.
TA2.27;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030 to support reaching an annual energy renovation rate of 3 % or more for the period till 2050;TA5.25;+;Deep renovation of buildings can support the target of promoting better animal welfare, as energy-efficient buildings can lead to improved animal health and reduced need for energy-intensive animal care practices.
TA2.27;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030 to support reaching an annual energy renovation rate of 3 % or more for the period till 2050;TA5.26;-;However, deep renovation of buildings might require more energy for construction and materials, potentially hindering the target of strengthening educational messages on healthy nutrition.
TA2.28;Reduce buildings' energy consumption for heating and cooling by 18% compared to 2015 levels by 2030;TA5.27;+;Reducing energy consumption for heating and cooling can support the target of providing food information and labelling, as energy-efficient buildings can lead to reduced energy consumption for food storage and handling.
TA2.28;Reduce buildings' energy consumption for heating and cooling by 18% compared to 2015 levels by 2030;TA5.28;-;However, reducing energy consumption for heating and cooling might require more energy for alternative technologies and infrastructure, potentially hindering the target of extending mandatory origin or provenance indications.
TA2.29;For the non-residential building stock, the revised rules require to gradually improve it via minimum energy performance standards;TA5.29;+;Improving energy performance standards can support the target of improving availability of sustainable food, as energy-efficient buildings can lead to reduced energy consumption for food production and distribution.
TA2.29;For the non-residential building stock, the revised rules require to gradually improve it via minimum energy performance standards;TA5.30;-;However, improving energy performance standards might require more energy for construction and materials, potentially hindering the target of ensuring affordability and access to sufficient food.
TA2.30;The revised directive will make zero-emission buildings the new standard for new buildings;TA5.31;+;Zero-emission buildings can support the target of increasing reformulation of food products, as energy-efficient buildings can lead to reduced energy consumption for food production and processing.
TA2.30;The revised directive will make zero-emission buildings the new standard for new buildings;TA5.32;-;However, zero-emission buildings might require more energy for construction and materials, potentially hindering the target of ensuring access to quality food.
TA2.31;All existing buildings should be transformed into zero-emission buildings;TA5.33;+;Transforming existing buildings into zero-emission buildings can support the target of moving to healthier and more sustainable diets, as energy-efficient buildings can lead to reduced energy consumption for food production and processing.
TA2.31;All existing buildings should be transformed into zero-emission buildings;TA5.34;-;However, transforming existing buildings into zero-emission buildings might require more energy for construction and materials, potentially hindering the target of reversing prevalence of overweight and diet-related diseases.
TA2.32;100% of on-site energy consumption to be covered by renewable energy;TA5.35;+;Covering on-site energy consumption with renewable energy can support the target of strengthening the resilience of the EU food system, as renewable energy can lead to reduced energy consumption and improved energy security.
TA2.32;100% of on-site energy consumption to be covered by renewable energy;TA5.36;-;However, covering on-site energy consumption with renewable energy might require more energy for infrastructure and maintenance, potentially hindering the target of achieving nan.
