TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030;TA3.14;;No connection can be made as the content of TA3.14 is empty.
TA5.20;Foster the competitiveness of the EU supply sector;;No connection can be made as there is no target content in list B that directly relates to this.
TA5.21;Ensure access to fast broadband to all farmers and all rural areas (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence);TA3.25;+;This target is likely to have a positive impact on TA3.25, as access to fast broadband can facilitate the reduction of food waste in processing and manufacturing by enabling more efficient communication and data exchange.
TA5.22;Create shorter supply chains will support reducing dependence on long-haul transportation;TA3.28;+;This target is likely to have a positive impact on TA3.28, as shorter supply chains can reduce the environmental impact of transportation and increase the use of recyclable materials in packaging.
TA5.23;Create new job opportunities.;TA3.2;-;This target is likely to have a negative impact on TA3.2, as creating new job opportunities in areas related to waste management might lead to an increase in waste generation.
TA5.24;Ensure Fair, inclusive and ethical value chains. Improve working conditions, ensure occupation health and safety. Ensure workers’ social protection and housing conditions, promote socially responsible production methods, Mitigate the socio-economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;TA3.14;;No connection can be made as the content of TA3.14 is empty.
TA5.25;Promote better animal welfare to improve animal health and food quality;TA3.14;;No connection can be made as the content of TA3.14 is empty.
TA5.26;Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;TA3.25;+;This target is likely to have a positive impact on TA3.25, as strengthening educational messages can lead to a reduction in food waste.
TA5.27;Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices;TA3.27;+;This target is likely to have a positive impact on TA3.27, as providing food information and labelling can facilitate the making of sustainable food choices and increase the use of recyclable packaging.
TA5.28;Extend the mandatory origin or provenance indications to certain products;TA3.28;+;This target is likely to have a positive impact on TA3.28, as extending origin or provenance indications can increase transparency and facilitate the use of recyclable materials in packaging.
TA5.29;Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;TA3.25;+;This target is likely to have a positive impact on TA3.25, as improving availability of sustainable food can lead to a reduction in food waste.
TA5.3;Reduce nutrient losses by at least 50%, while ensuring no deterioration on soil fertility;TA3.14;;No connection can be made as the content of TA3.14 is empty.
TA5.30;Ensure affordability and access to sufficient, nutritious and sustainable food;TA3.25;+;This target is likely to have a positive impact on TA3.25, as ensuring affordability and access to sustainable food can lead to a reduction in food waste.
TA5.31;Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA3.25;+;This target is likely to have a positive impact on TA3.25, as increasing reformulation of food products can lead to a reduction in food waste.
TA5.32;Ensuring all access to quality, safe, sustainable, nutritious food.;TA3.25;+;This target is likely to have a positive impact on TA3.25, as ensuring access to quality food can lead to a reduction in food waste.
TA5.33;Move to healthier and more sustainable diets;TA3.25;+;This target is likely to have a positive impact on TA3.25, as moving to healthier and more sustainable diets can lead to a reduction in food waste.
TA5.34;Reverse prevalence of overweight and diet-related diseases;TA3.25;+;This target is likely to have a positive impact on TA3.25, as reversing prevalence of overweight and diet-related diseases can lead to a reduction in food waste.
