TA1.3; Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030.; TA2.9; +; The implementation of TA1.3 is likely to have a positive impact on TA2.9, as reducing GHG emissions will contribute to increasing the share of energy from renewable sources in the Union's gross final consumption of energy.
TA1.7; Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030; TA2.13; +; The reduction of methane emissions in TA1.7 will positively impact TA2.13, as it will contribute to the reduction of GHG intensity in the transport sector.
TA1.9; The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005; TA2.9; +; The implementation of TA1.9 is likely to have a positive impact on TA2.9, as the increased use of renewable energy sources will contribute to the reduction of GHG emissions.
TA1.10; ETS2: Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005; TA2.9; +; The implementation of TA1.10 is likely to have a positive impact on TA2.9, as the reduction of emissions in the buildings and road transport sectors will contribute to the increase of the share of energy from renewable sources.
TA1.12; Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030; TA2.9; +; The implementation of TA1.12 is likely to have a positive impact on TA2.9, as the removal of GHG emissions will contribute to the reduction of net GHG emissions.
TA1.13; No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals; TA2.9; +; The implementation of TA1.13 is likely to have a positive impact on TA2.9, as the no debit rule will ensure that the LULUCF sector does not contribute to an increase in net GHG emissions.
TA1.15; Reduce buildings’ greenhouse gas emissions by 60%, by 2030; TA2.9; +; The implementation of TA1.15 is likely to have a positive impact on TA2.9, as the reduction of emissions in the buildings sector will contribute to the increase of the share of energy from renewable sources.
TA2.1; REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030; TA1.3; +; The implementation of TA2.1 is likely to have a positive impact on TA1.3, as the increased production and use of renewable hydrogen will contribute to the reduction of GHG emissions.
TA2.2; Set up at least one renewables-based energy community in every municipality with a population higher than 10,000 by 2025; TA1.9; +; The implementation of TA2.2 is likely to have a positive impact on TA1.9, as the increased use of renewable energy sources will contribute to the reduction of GHG emissions in the ETS sector.
TA2.3; Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030; TA1.10; +; The implementation of TA2.3 is likely to have a positive impact on TA1.10, as the increased use of renewable fuels of non-biological origin will contribute to the reduction of emissions in the buildings and road transport sectors.
TA2.4; Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030; TA1.15; +; The implementation of TA2.4 is likely to have a positive impact on TA1.15, as the increased use of heat pumps will contribute to the reduction of emissions in the buildings sector.
TA2.5; Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030; TA1.9; +; The implementation of TA2.5 is likely to have a positive impact on TA1.9, as the increased use of solar photovoltaic will contribute to the reduction of GHG emissions in the ETS sector.
TA2.6; Energy demand to be covered by solar heat and geothermal should at least triple; TA1.15; +; The implementation of TA2.6 is likely to have a positive impact on TA1.15, as the increased use of solar heat and geothermal will contribute to the reduction of emissions in the buildings sector.
TA2.7; Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan; TA1.9; +; The implementation of TA2.7 is likely to have a positive impact on TA1.9, as the increased use of PV will contribute to the reduction of GHG emissions in the ETS sector.
TA2.9; Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%; TA1.3; +; The implementation of TA2.9 is likely to have a positive impact on TA1.3, as the increased use of renewable energy sources will contribute to the reduction of GHG emissions.
