TA1.3;Reduce greenhouse gas emissions by 55% compared to 1990 levels by 2030;TA2.38;+;The reduction of greenhouse gas emissions will likely have a positive impact on the cumulative EU offshore goals of installed capacity, as a decrease in emissions will lead to an increase in the use of renewable energy sources, such as offshore wind. This, in turn, will contribute to achieving the target of 60 GW of installed capacity by 2030.

TA1.3;Reduce greenhouse gas emissions by 55% compared to 1990 levels by 2030;TA2.39;+;The reduction of greenhouse gas emissions will also have a positive impact on the target of setting up at least one renewables-based energy community in every municipality with a population higher than 10,000 by 2025, as communities with reduced emissions will be more likely to adopt renewable energy sources.

TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005;TA2.40;+;The implementation of the EU ETS, which aims to reduce emissions by 62% compared to 2005, will likely have a positive impact on the target of achieving around 30% of EU primary steel production through the use of renewable hydrogen, as the reduction in emissions will lead to an increase in the use of low-carbon technologies.

TA1.10;ETS2: Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA2.40;-;However, the implementation of ETS2, which covers the buildings and road transport sectors, may have a negative impact on the target of achieving around 30% of EU primary steel production through the use of renewable hydrogen, as the increased cost of emissions in these sectors may lead to a decrease in the competitiveness of the steel industry.

TA1.11;ESR: Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005;TA2.3;+;The implementation of the ESR, which aims to reduce emissions by 40% compared to 2005, will likely have a positive impact on the target of setting a minimum share of renewable fuels of non-biological origin in industry, as the reduction in emissions will lead to an increase in the use of low-carbon technologies.

TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector by 2030;TA3.1;-;The target of achieving an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the LULUCF sector by 2030 may have a negative impact on the target of halving the amount of residual municipal waste by 2030, as the focus on carbon sequestration may lead to an increase in waste generation.

