TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030.;TA4.3;+;The reduction of GHG emissions will lead to a decrease in air pollution, which in turn will have a positive impact on the target of reducing the yearly average GHG intensity of the energy used on board by a ship during a reporting period.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030.;TA4.5;+;The reduction of GHG emissions will lead to a decrease in air pollution, which in turn will have a positive impact on the target of ensuring that Sustainable Aviation Fuel made available to aircraft operators at each Union airport will be at least 2% from 2025.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030.;TA4.9;+;The reduction of GHG emissions will lead to a decrease in air pollution, which in turn will have a positive impact on the target of cutting the emissions of transport sector by 90% by 2050 relative to 1990.
TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005;TA1.10;+;The EU ETS target is closely related to the ETS2 target, as both aim to reduce GHG emissions, and the achievement of the EU ETS target will have a positive impact on the ETS2 target.
TA1.10;The ETS2 is a new EU-wide cap-and-trade economic instrument that covers the CO2 emissions from the combustion of fuels in road transport, buildings, and other sectors;TA1.9;-;The implementation of the ETS2 may lead to an increase in energy costs for households and industries, which could have a negative impact on the EU ETS target.
TA1.11;Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005;TA1.9;-;The ESR target may have a negative impact on the EU ETS target, as the increased costs of reducing GHG emissions in the ESR sectors may lead to an increase in energy costs and a decrease in the competitiveness of EU industries.
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry sector, by 2030;TA1.3;+;The LULUCF target is closely related to the net GHG emissions reduction target, and the achievement of the LULUCF target will have a positive impact on the net GHG emissions reduction target.
TA1.13;No debit rule;TA1.12;+;The no debit rule is closely related to the LULUCF target, and the achievement of the no debit rule will have a positive impact on the LULUCF target.
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;TA2.4;+;The reduction of buildings' GHG emissions will lead to an increase in the demand for individual heat pumps, which will have a positive impact on the target of doubling the current deployment rate of individual heat pumps.
TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;TA1.9;+;The increase in renewable hydrogen production will lead to a decrease in GHG emissions, which will have a positive impact on the EU ETS target.
TA2.2;Set up at least one renewables-based energy community in every municipality with a population higher than 10,000 by 2025;TA2.1;+;The increase in renewables-based energy communities will lead to an increase in renewable energy production, which will have a positive impact on the REPowerEU target.
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60% by 2035;TA2.1;+;The increase in renewable fuels of non-biological origin will lead to a decrease in GHG emissions, which will have a positive impact on the REPowerEU target.
TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;TA1.15;+;The increase in heat pump deployment will lead to a decrease in buildings' GHG emissions, which will have a positive impact on the target of reducing buildings' GHG emissions by 60% by 2030.
TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030;TA2.1;+;The increase in solar photovoltaic capacity will lead to an increase in renewable energy production, which will have a positive impact on the REPowerEU target.
