TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels by 2030.;TA4.28;+;The reduction of GHG emissions will likely have a positive impact on the target of deploying recharging stations for heavy-duty electric vehicles, as it will increase the demand for electric vehicles and consequently the need for recharging infrastructure.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels by 2030.;TA4.29;+;The reduction of GHG emissions will likely have a positive impact on the target of deploying recharging points for heavy-duty electric vehicles in urban nodes, as it will increase the demand for electric vehicles and consequently the need for recharging infrastructure.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels by 2030.;TA4.30;+;The reduction of GHG emissions will likely have a positive impact on the target of deploying hydrogen refuelling stations in urban nodes, as it will increase the demand for hydrogen fuel cell electric vehicles and consequently the need for refuelling infrastructure.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels by 2030.;TA4.31;+;The reduction of GHG emissions will likely have a positive impact on the target of deploying hydrogen refuelling stations along the TEN-T core network, as it will increase the demand for hydrogen fuel cell electric vehicles and consequently the need for refuelling infrastructure.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels by 2030.;TA4.32;+;The reduction of GHG emissions will likely have a positive impact on the target of ensuring electricity supply to stationary aircraft, as it will increase the demand for electric and hybrid-electric aircraft and consequently the need for electricity supply infrastructure.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels by 2030.;TA4.33;+;The reduction of GHG emissions will likely have a positive impact on the target of ensuring shore-side electricity supply to inland waterway vessels, as it will increase the demand for electric and hybrid-electric vessels and consequently the need for shore-side electricity supply infrastructure.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels by 2030.;TA4.34;+;The reduction of GHG emissions will likely have a positive impact on the target of ensuring shore-side electricity supply to seagoing container ships and seagoing passenger ships, as it will increase the demand for electric and hybrid-electric vessels and consequently the need for shore-side electricity supply infrastructure.
TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005;TA1.3;-;The reduction of GHG emissions in the EU ETS sectors will likely have a negative impact on the target of reducing net GHG emissions by at least 55% compared to 1990 levels, as it may lead to an increase in emissions in non-ETS sectors.
TA1.10;ETS2: Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA1.3;-;The reduction of GHG emissions in the ETS2 sectors will likely have a negative impact on the target of reducing net GHG emissions by at least 55% compared to 1990 levels, as it may lead to an increase in emissions in non-ETS2 sectors.
TA1.11;ESR: Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005;TA1.3;-;The reduction of GHG emissions in the ESR sectors will likely have a negative impact on the target of reducing net GHG emissions by at least 55% compared to 1990 levels, as it may lead to an increase in emissions in non-ESR sectors.
TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;TA1.3;+;The increase in renewable hydrogen production and imports will likely have a positive impact on the target of reducing net GHG emissions by at least 55% compared to 1990 levels, as it will increase the demand for low-carbon energy and consequently reduce GHG emissions.
