TA3.51;The contribution of waste management operators to recycling of plastics;TA5.13;-;The reduction of food waste can lead to a decrease in the amount of waste sent to landfills, which in turn can reduce the need for waste management operators to recycle plastics, potentially having a negative impact on the target of recycling 30% of plastics in vehicles.;The connection between the two targets is based on the idea that reducing food waste can lead to a decrease in the overall amount of waste, which can then lead to a decrease in the need for recycling plastics.

TA3.52;At least 20% of the carbon used in the chemical and plastic products should be from sustainable non-fossil sources;TA5.14;-;The target of promoting sustainable and socially responsible production methods and circular business models in food processing and retail may not directly impact the use of sustainable non-fossil sources in chemical and plastic products.;There is no clear connection between the two targets, as one focuses on the chemical and plastic industry, while the other focuses on food processing and retail.

TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced;TA5.20;+;The reduction of GHG emissions from shipping can contribute to the overall goal of reducing emissions and increasing the competitiveness of the EU's agri-food trade.;The connection between the two targets is based on the idea that reducing emissions from shipping can make the EU's agri-food trade more competitive and sustainable.

TA4.5;Aviation fuel suppliers shall ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025;TA5.20;+;The increased use of Sustainable Aviation Fuel can reduce emissions from aviation, making the EU's agri-food trade more competitive and sustainable.;The connection between the two targets is based on the idea that reducing emissions from aviation can make the EU's agri-food trade more competitive and sustainable.

TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030;TA5.20;+;The increased use of synthetic aviation fuels can reduce emissions from aviation, making the EU's agri-food trade more competitive and sustainable.;The connection between the two targets is based on the idea that reducing emissions from aviation can make the EU's agri-food trade more competitive and sustainable.

TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030;TA5.20;+;The increased use of advanced biofuels and renewable fuels of non-biological origin can reduce emissions from transport, making the EU's agri-food trade more competitive and sustainable.;The connection between the two targets is based on the idea that reducing emissions from transport can make the EU's agri-food trade more competitive and sustainable.

