TA3.51;The contribution of waste management operators to achieve recycling of plastics;TA6.47;+;The implementation of TA3.51 is likely to have a positive impact on TA6.47, as the recycling of plastics can contribute to the reduction of waste and the achievement of the target of planting at least three billion additional trees by 2030, which can help to sequester carbon and reduce greenhouse gas emissions.
TA3.52;At least 20% of the carbon used in the chemical and plastic products should be from sustainable non-fossil sources;TA7.9;+;The implementation of TA3.52 is likely to have a positive impact on TA7.9, as the use of sustainable non-fossil sources can help to reduce greenhouse gas emissions and improve air quality, which can contribute to the reduction of premature deaths caused by air pollution.
TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced;TA7.14;-;The implementation of TA4.3 is likely to have a negative impact on TA7.14, as the reduction of GHG emissions from ships may not directly address the issue of transport noise pollution, which can continue to affect human health and well-being.
TA4.5;Aviation fuel suppliers shall ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025;TA7.11;-;The implementation of TA4.5 is likely to have a negative impact on TA7.11, as the increased use of SAF may lead to an increase in microplastics released into the environment, which can have negative effects on ecosystems and human health.
TA4.8;Member States with maritime ports shall endeavour to ensure that as of 2030 the share of renewable fuels of non-biological origin (RFNBOs) in the total amount of energy supplied to the maritime transport sector is at least 1.2%;TA7.13;-;The implementation of TA4.8 is likely to have a negative impact on TA7.13, as the increased use of RFNBOs may not directly address the issue of air pollution from maritime transport, which can continue to affect ecosystems and human health.
TA4.9;Cut the emissions of transport sector by 90% by 2050;TA7.14;+;The implementation of TA4.9 is likely to have a positive impact on TA7.14, as the reduction of emissions from the transport sector can help to reduce noise pollution and improve air quality, which can contribute to the reduction of premature deaths caused by air pollution.
TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity;TA7.6;+;The implementation of TA4.10 is likely to have a positive impact on TA7.6, as the reduction of fuel intensity in fisheries can help to reduce the use of chemical pesticides and minimize waste, which can contribute to the improvement of soil quality.
TA4.11;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years;TA7.14;-;The implementation of TA4.11 is likely to have a negative impact on TA7.14, as the reduction of costs in combined transport operations may lead to an increase in transport activities, which can result in increased noise pollution and negative effects on human health and well-being.
TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles;TA7.9;+;The implementation of TA4.13 is likely to have a positive impact on TA7.9, as the increased use of zero-emission urban buses can help to reduce air pollution and improve air quality, which can contribute to the reduction of premature deaths caused by air pollution.
TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles [...] shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019;TA7.9;+;The implementation of TA4.15 is likely to have a positive impact on TA7.9, as the reduction of CO2 emissions from heavy-duty vehicles can help to reduce air pollution and improve air quality, which can contribute to the reduction of premature deaths caused by air pollution.
TA4.18;The share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX in the energy content of fuels and electricity supplied to the transport sector shall, except in Cyprus and Malta, be limited to 1.7%;TA7.11;-;The implementation of TA4.18 is likely to have a negative impact on TA7.11, as the limitation on biofuels and biogas may lead to an increase in the use of fossil fuels, which can result in increased microplastics released into the environment and negative effects on ecosystems and human health.
