TA4.28;By 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles with an individual power output of at least 100 kW are deployed.;TA5.7;+;The deployment of recharging stations for heavy-duty electric vehicles can contribute to reducing greenhouse gas emissions from the transportation sector, which is a key aspect of achieving the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030. This can have a positive impact on TA5.7, which aims to ensure that agriculture, fisheries, and aquaculture contribute to reducing net greenhouse gas emissions.

TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed.;TA5.7;+;The deployment of recharging points for heavy-duty electric vehicles in urban nodes can help reduce greenhouse gas emissions from transportation, contributing to the achievement of TA5.7. This target can have a positive impact on reducing emissions from the agriculture, fisheries, and aquaculture sectors.

TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node.;TA5.7;+;The deployment of hydrogen refuelling stations can contribute to reducing greenhouse gas emissions from transportation, which can have a positive impact on TA5.7. This can help achieve the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030.

TA4.31;Member States shall ensure that, by 31 December 2030, publicly accessible hydrogen refuelling stations with a total capacity of at least 1 tonne per day, and equipped with at least a 700 bar dispenser, are deployed at least every 200 km along the TEN-T (Trans-European Transport Network) core network.;TA5.7;+;The deployment of hydrogen refuelling stations along the TEN-T core network can help reduce greenhouse gas emissions from transportation, contributing to the achievement of TA5.7. This can have a positive impact on reducing emissions from the agriculture, fisheries, and aquaculture sectors.

TA4.32;States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029.;TA5.7;+;The provision of electricity supply to stationary aircraft can help reduce greenhouse gas emissions from aviation, contributing to the achievement of TA5.7. This can have a positive impact on reducing emissions from the agriculture, fisheries, and aquaculture sectors.

TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025.;TA5.7;+;The deployment of shore-side electricity supply installations for inland waterway vessels can help reduce greenhouse gas emissions from transportation, contributing to the achievement of TA5.7. This can have a positive impact on reducing emissions from the agriculture, fisheries, and aquaculture sectors.

TA4.34;Member States shall ensure that a minimum shore-side electricity supply for seagoing container ships and seagoing passenger ships is provided in TEN-T maritime ports.;TA5.7;+;The provision of shore-side electricity supply for seagoing vessels can help reduce greenhouse gas emissions from maritime transportation, contributing to the achievement of TA5.7. This can have a positive impact on reducing emissions from the agriculture, fisheries, and aquaculture sectors.

TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;TA4.28;-;The reduction of antimicrobials for farmed animals and in aquaculture may lead to increased costs for farmers, potentially affecting the demand for heavy-duty electric vehicles and recharging infrastructure, which could have a negative impact on TA4.28.

TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;TA4.28;-;The reduction of nutrient losses may lead to changes in agricultural practices, potentially affecting the demand for heavy-duty electric vehicles and recharging infrastructure, which could have a negative impact on TA4.28.

TA5.4;Reduce by 50% the use of more hazardous pesticides;TA4.28;-;The reduction of hazardous pesticides may lead to changes in agricultural practices, potentially affecting the demand for heavy-duty electric vehicles and recharging infrastructure, which could have a negative impact on TA4.28.

TA5.5;Reduce by 50% the use and risk of chemical pesticides;TA4.28;-;The reduction of chemical pesticides may lead to changes in agricultural practices, potentially affecting the demand for heavy-duty electric vehicles and recharging infrastructure, which could have a negative impact on TA4.28.

TA5.6;Aquatic living resources: Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture.;TA4.33;+;The increase in sustainable fishing and aquaculture can contribute to reducing greenhouse gas emissions from the agriculture and fisheries sectors, which can have a positive impact on TA4.33.

TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050.;TA4.28;+;The contribution of agriculture, fisheries, and aquaculture to reducing net greenhouse gas emissions can have a positive impact on TA4.28, which aims to deploy recharging stations for heavy-duty electric vehicles.

TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;TA4.33;+;The preservation of freshwater and boosting of water reuse in agriculture can contribute to reducing water pollution and conserving water resources, which can have a positive impact on TA4.33.

TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030;TA4.28;-;The increase in organic farming may lead to changes in agricultural practices, potentially affecting the demand for heavy-duty electric vehicles and recharging infrastructure, which could have a negative impact on TA4.28.

TA5.10;Energy: Increase renewable energy in the agriculture and food sector. Adopt energy efficiency solutions in the agriculture and food sector, by reducing energy consumption.;TA4.28;+;The increase in renewable energy and energy efficiency in the agriculture and food sector can contribute to reducing greenhouse gas emissions, which can have a positive impact on TA4.28.

