target_code;target_content;impact_target;impact_type;justification
TA6.29;Member States shall put in place measures to jointly cover, as a Union target, throughout the areas and ecosystems defined in Art. 2, by 2030, at least 20% of land areas in need of restoration and, by 2050, all ecosystems in need of restoration.;TA2.38;+;The implementation of TA6.29 is likely to have a positive impact on TA2.38, as the restoration of land areas and ecosystems can lead to increased renewable energy production and reduced greenhouse gas emissions, contributing to the EU's cumulative offshore goals.
TA6.30;Member States shall put in place measures to jointly cover, as a Union target, throughout the areas and ecosystems defined in Art. 2, by 2030, at least 20% of sea areas in need of restoration and, by 2050, all ecosystems in need of restoration.;TA2.39;+;The implementation of TA6.30 is likely to have a positive impact on TA2.39, as the restoration of sea areas and ecosystems can lead to increased ocean energy production, contributing to the EU's target of at least 1 GW of ocean energy by 2030.
TA6.31;Member States shall put in place the restoration measures to improve to good condition areas of habitat types listed in Annex I which are not in good condition.;TA3.3;+;The implementation of TA6.31 is likely to have a positive impact on TA3.3, as the restoration of habitats can lead to increased circular material use and reduced waste generation, contributing to the EU's target of doubling its circular material use rate by 2030.
TA6.32;Member States shall put in place the restoration measures to re-establish the habitat types listed in Annex I in areas not covered by those habitat types.;TA3.9;+;The implementation of TA6.32 is likely to have a positive impact on TA3.9, as the re-establishment of habitats can lead to increased processing capacity for strategic raw materials, contributing to the EU's target of achieving at least 40% of the Union's annual consumption of strategic raw materials by 2030.
TA6.33;Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V to Directive 92/43/EEC.;TA3.12;+;The implementation of TA6.33 is likely to have a positive impact on TA3.12, as the restoration of habitats can lead to increased manufacturing capacity in the Union for strategic net-zero technologies, contributing to the EU's target of reaching a benchmark of at least 40% of the Union's annual deployment needs by 2030.
TA6.34;Member States shall ensure that condition is known for at least 90% of the area distributed overall habitat types listed in Annex I by 2030 and 100% by 2040.;TA3.13;+;The implementation of TA6.34 is likely to have a positive impact on TA3.13, as the improved knowledge of habitat conditions can lead to increased recycling capacity for strategic raw materials, contributing to the EU's target of achieving at least 25% of the Union's annual consumption of strategic raw materials by 2030.
TA6.35;Member States shall ensure that there is an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition.;TA3.15;+;The implementation of TA6.35 is likely to have a positive impact on TA3.15, as the increased habitat area in good condition can lead to reduced waste generation and increased recycling rates, contributing to the EU's target of reducing waste generation and increasing recycling rates.
TA6.36;By 2030, Member States shall ensure that there is no net loss in the total national area of urban green space and of urban tree canopy cover in urban ecosystem areas.;TA3.16;+;The implementation of TA6.36 is likely to have a positive impact on TA3.16, as the preservation of urban green spaces and tree canopy cover can lead to increased recycling rates and reduced waste generation, contributing to the EU's target of achieving a recycling rate of at least 65% for municipal waste by 2030.
TA6.37;Member States shall achieve thereafter an increasing trend in the total national area of urban green space, including through the integration of urban green space into buildings and infrastructure.;TA3.17;+;The implementation of TA6.37 is likely to have a positive impact on TA3.17, as the increased urban green space can lead to reduced waste generation and increased recycling rates, contributing to the EU's target of achieving a recycling rate of at least 70% for municipal waste by 2030.
TA6.38;Member States shall achieve an increasing trend of urban tree canopy cover, measured every six years after 31 December 2030, until a satisfactory level identified in accordance with Article 14(5) is reached.;TA3.18;+;The implementation of TA6.38 is likely to have a positive impact on TA3.18, as the increased urban tree canopy cover can lead to reduced waste generation and increased recycling rates, contributing to the EU's target of achieving a recycling rate of at least 80% for municipal waste by 2030.
TA6.39;Natural connectivity of rivers and natural functions of the related floodplains.;TA3.19;+;The implementation of TA6.39 is likely to have a positive impact on TA3.19, as the restoration of natural connectivity and functions can lead to increased recycling rates and reduced waste generation, contributing to the EU's target of achieving a recycling rate of at least 90% for municipal waste by 2030.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations at the latest by 2030.;TA3.20;+;The implementation of TA6.40 is likely to have a positive impact on TA3.20, as the improved pollinator diversity can lead to increased crop yields and reduced waste generation, contributing to the EU's target of achieving a recycling rate of at least 95% for municipal waste by 2030.
TA2.38;Cumulative EU offshore goals of installed capacity: 60 GW by 2030 and 300 GW by 2050;TA6.29;-;The implementation of TA2.38 may have a negative impact on TA6.29, as the increased offshore energy production can lead to habitat destruction and disruption of marine ecosystems, potentially hindering the restoration of land areas and ecosystems.
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;TA6.30;-;The implementation of TA2.39 may have a negative impact on TA6.30, as the increased ocean energy production can lead to habitat destruction and disruption of marine ecosystems, potentially hindering the restoration of sea areas and ecosystems.
TA3.3;Double EU’s circular material use rate in the coming decade;TA6.31;-;The implementation of TA3.3 may have a negative impact on TA6.31, as the increased circular material use can lead to increased demand for raw materials, potentially hindering the restoration of habitats.
TA3.9;By 2030, Union processing capacity, including for all intermediate processing steps, should be able of producing at least 40% of the Union’s annual consumption of strategic raw materials;TA6.32;-;The implementation of TA3.9 may have a negative impact on TA6.32, as the increased processing capacity can lead to increased demand for raw materials, potentially hindering the re-establishment of habitats.
TA3.12;By 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs;TA6.33;-;The implementation of TA3.12 may have a negative impact on TA6.33, as the increased manufacturing capacity can lead to increased demand for raw materials, potentially hindering the restoration of habitats.
TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union’s annual consumption of strategic raw materials;TA6.34;-;The implementation of TA3.13 may have a negative impact on TA6.34, as the increased recycling capacity can lead to increased demand for raw materials, potentially hindering the improved knowledge of habitat conditions.
