```csv
thematic_area;sub_theme;target_code;target_content;justification
TA1_Climate ambition;GHG Emissions;TA1.1;Climate Neutrality (2040 target under discussion);This target is directly related to reducing greenhouse gas emissions, which is a core aspect of achieving climate neutrality.
TA1_Climate ambition;GHG Emissions;TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;This target focuses on emission reductions through a trading system, directly impacting GHG emissions.
TA1_Climate ambition;GHG Emissions;TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);This target involves setting national targets for emission reductions, which is a key component of managing GHG emissions.
TA1_Climate ambition;GHG Emissions;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;This target is about removing greenhouse gases, which is a direct action towards reducing overall GHG emissions.
TA1_Climate ambition;GHG Emissions;TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;This target focuses on balancing emissions and removals, which is essential for managing GHG emissions.
TA1_Climate ambition;GHG Emissions;TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);This target involves setting limits on emissions and removals, which is crucial for controlling GHG emissions.
TA1_Climate ambition;GHG Emissions;TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;This target specifically addresses the reduction of GHG emissions from buildings, a significant source of emissions.
TA1_Climate ambition;GHG Emissions;TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;This target focuses on reducing methane emissions, a potent greenhouse gas, as part of the broader GHG emissions reduction strategy.
TA1_Climate ambition;GHG Emissions;TA1.2;2040 target under discussion;This target is related to future GHG emissions reduction goals, which are central to climate ambition.
TA1_Climate ambition;GHG Emissions;TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);This target sets a specific reduction goal for GHG emissions, aligning with the overall climate ambition.
