```csv
thematic_area;sub_theme;target_code;target_content;justification
TA1_Climate ambition;Climate Neutrality;TA1.1;Climate Neutrality (2040 target under discussion);This target is focused on achieving climate neutrality, which is a central goal of climate ambition.
TA1_Climate ambition;Emissions Trading System;TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;This target is related to the emissions trading system, which is a key mechanism for reducing emissions.
TA1_Climate ambition;National Targets;TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);This target involves upgrading national targets to align with EU-wide reduction goals, focusing on various sectors.
TA1_Climate ambition;Greenhouse Gas Removal;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;This target focuses on greenhouse gas removal, specifically in the land use and forestry sector.
TA1_Climate ambition;No Debit Rule;TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;This target emphasizes the no debit rule, ensuring emissions do not exceed removals.
TA1_Climate ambition;No Debit Rule;TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);This target continues the no debit rule for the period 2026-2030.
TA1_Climate ambition;Building Emissions;TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;This target is focused on reducing emissions specifically from buildings.
TA1_Climate ambition;Methane Emissions;TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;This target addresses methane emissions, a significant greenhouse gas, in the context of energy production and consumption.
TA2_Clean, affordable and secure energy;Renewable Hydrogen;TA2.1;Renewable hydrogen will be key to replace natural gas, coal and oil in hard-to-decarbonise industries and transport. REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;This target focuses on renewable hydrogen as a replacement for fossil fuels in challenging sectors.
TA2_Clean, affordable and secure energy;Innovative Renewable Energy;TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5 % of newly installed renewable energy capacity by 2030;This target emphasizes the adoption of innovative renewable energy technologies.
TA2_Clean, affordable and secure energy;Joint Renewable Projects;TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects, by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project;This target promotes cooperation between Member States on joint renewable energy projects.
TA2_Clean, affordable and secure energy;Industry Renewable Energy;TA2.12;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1,6 percentage points as an annual average calculated for the periods 2021 to 2025 and 2026 to 2030.;This target focuses on increasing the share of renewable energy in the industry sector.
TA2_Clean, affordable and secure energy;Transport Renewable Energy;TA2.13;Each Member State shall set an obligation on fuel suppliers to ensure that: (a) the amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or i) greenhouse gas intensity reduction of at least 14,5 % by 2030, compared to the baseline set out in Article 27(1), point (b), in accordance with an indicative trajectory set by the Member State,;This target is aimed at increasing the share of renewable energy in the transport sector.
TA2_Clean, affordable and secure energy;District Heating and Cooling;TA2.14;Member States shall endeavour to increase the share of energy from renewable sources and from waste heat and cold in district heating and cooling by an indicative 2,2 percentage points as an annual average calculated for the period 2021 to 2030, starting from the share of energy from renewable sources and from waste heat and cold in district heating and cooling in 2020;This target focuses on increasing renewable energy in district heating and cooling systems.
TA2_Clean, affordable and secure energy;Renewable Energy Share;TA2.15;By 2022 achieve 18% of the total increase in the share of energy from renewable sources between that Member State's binding 2020 national target, and its contribution to the 2030 target of share of energy from renewable sources in gross final consumption of energy. Achieve 43% by 2025, 65% by 2027;This target sets specific milestones for increasing the share of renewable energy.
TA2_Clean, affordable and secure energy;Heating and Cooling Renewable Energy;TA2.16;Each Member State shall increase the share of renewable energy in that sector by at least 0,8 percentage points as an annual average calculated for the period 2021 to 2025 and by at least 1,1 percentage points as an annual average calculated for the period 2026 to 2030, starting from the share of renewable energy in the heating and cooling sector in 2020;This target focuses on increasing renewable energy in the heating and cooling sector.
TA2_Clean, affordable and secure energy;Union's 2030 Targets;TA2.17;the Union’s 2030 targets for energy and climate” means the Union-wide binding target for reducing greenhouse gas emissions in 2030 referred to in Article 4(1) of Regulation (EU) 2021/1119, the Union’s binding target for renewable energy for 2030 set in Article 3(1) of Directive (EU) 2018/2001, the Union-level target for improving energy efficiency in 2030 referred to in Article 4(1) of Directive (EU) .../... of the European Parliament and of the Council*+ and the 15 % electricity interconnection target for 2030 or any subsequent targets in that regard agreed by the European Council or by the European Parliament and by the Council for 2030.;This target outlines the Union's binding targets for 2030, including renewable energy and energy efficiency.
TA2_Clean, affordable and secure energy;Building Sector Renewable Energy;TA2.18;Member States shall determine an indicative national share of renewable energy produced on-site or nearby as well as renewable energy taken from the grid in final energy consumption in their building sector in 2030 that is consistent with an indicative target of at least a 49 % share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030;This target focuses on increasing the share of renewable energy in the building sector.
TA2_Clean, affordable and secure energy;Fisheries Renewable Energy;TA2.19;The fisheries sector must follow the two mutually reinforcing paths of reducing energy intensity, on the one hand, and switching to renewable and low-carbon energy sources, on the other hand;This target emphasizes the transition to renewable energy in the fisheries sector.
TA2_Clean, affordable and secure energy;Renewables-Based Energy Community;TA2.2;Set up at least one renewables-based energy community in every municipality with a population higher than 10.000;This target promotes the establishment of renewables-based energy communities.
TA2_Clean, affordable and secure energy;Building Renovation;TA2.20;Renovate each year at least 3% of the total floor area of buildings owned by all levels of public administration (as also agreed by Council-Parliament on 10.03.23);This target focuses on the renovation of public buildings to improve energy efficiency.
TA2_Clean, affordable and secure energy;Public Bodies Energy Consumption;TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1,9 % each year, when compared to 2021 (art. 5.1 Directive);This target aims to reduce energy consumption in public bodies.
TA2_Clean, affordable and secure energy;Energy Consumption Reduction;TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11,7 % in 2030 compared to the projections of the 2020 EU Reference Scenario so that the Union’s final energy consumption amounts to no more than 763 Mtoe (art. 4 Directive);This target sets a collective goal for reducing energy consumption across the Union.
TA2_Clean, affordable and secure energy;Primary Energy Consumption;TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992,5 Mtoe in 2030 (art. 4 Directive) -> 39% savings for primary energy consumption in the EU;This target focuses on reducing primary energy consumption in the EU.
TA2_Clean, affordable and secure energy;Building Renovation;TA2.24;Each Member State shall ensure that at least 3 % of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU;This target emphasizes the renovation of public buildings to achieve nearly zero-energy or zero-emission status.
TA2_Clean, affordable and secure energy;Building Energy Consumption;TA2.25;Reduce buildings' final energy consumption by 14%;This target focuses on reducing the final energy consumption of buildings.
TA2_Clean, affordable and secure energy;Energy Renovation Rate;TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations;This target aims to increase the rate of energy renovations in buildings.
TA2_Clean, affordable and secure energy;Deep Renovation;TA2.27;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030 to support reaching an annual energy renovation rate of 3 % or more for the period till 2050 (see latest test adopted by EP on 14.03.2023);This target sets goals for deep renovation of building units to improve energy efficiency.
TA2_Clean, affordable and secure energy;Heating and Cooling Energy Consumption;TA2.28;Reduce buildings' energy consumption for heating and cooling by 18%;This target focuses on reducing energy consumption for heating and cooling in buildings.
TA2_Clean, affordable and secure energy;Non-Residential Building Standards;TA2.29;For the non-residential building stock, the revised rules require to gradually improve it via minimum energy performance standards. This will lead to renovating the 16% worst-performing buildings by 2030 and the 26% worst-performing buildings by 2033.;This target sets standards for improving energy performance in non-residential buildings.
TA2_Clean, affordable and secure energy;Renewable Fuels;TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42 % of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60 % by 2035;This target focuses on increasing the use of renewable fuels in industry.
TA2_Clean, affordable and secure energy;Zero-Emission Buildings;TA2.30;The revised directive will make zero-emission buildings the new standard for new buildings. Under the agreement all new residential and non-residential buildings must have zero on-site emissions from fossil fuels, as of 1 January 2028 for publicly-owned buildings and as of 1 January 2030 for all other new buildings, with a possibility for specific exemptions.;This target sets a standard for zero-emission buildings for new constructions.
TA2_Clean, affordable and secure energy;Zero-Emission Buildings;TA2.31;All existing buildings should be transformed into zero-emission buildings;This target focuses on transforming existing buildings into zero-emission buildings.
TA2_Clean, affordable and secure energy;On-Site Renewable Energy;TA2.32;100% of on-site energy consumption to be covered by renewable energy as for new buildings;This target emphasizes the use of renewable energy for on-site consumption in new buildings.
TA2_Clean, affordable and secure energy;Building Renovation;TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings;This target focuses on renovating the worst-performing buildings to reduce primary energy use.
TA2_Clean, affordable and secure energy;Residential Energy Use;TA2.34;Each Member State will adopt its own national trajectory to reduce the average primary energy use of residential buildings by 16% by 2030 and 20-22% by 2035;This target sets goals for reducing primary energy use in residential buildings.
TA2_Clean, affordable and secure energy;Fossil Fuel Phase-Out;TA2.35;Member States will also have to set out specific measures on the phase-out of fossil fuels in heating and cooling with a view to a complete phase-out of boilers powered by fossil fuels by 2040;This target focuses on phasing out fossil fuels in heating and cooling systems.
TA2_Clean, affordable and secure energy;Energy Performance of Buildings;TA2.36;See ‘Commission welcomes political agreement on new rules to boost energy performance of buildings across the EU’;This target refers to new rules for boosting energy performance in buildings.
TA2_Clean, affordable and secure energy;Electricity Mix;TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%, and projections show a share of around 84% by 2050. The remaining gap should be covered by other low-carbon options;This target sets goals for increasing the share of renewable energy in the electricity mix.
TA2_Clean, affordable and secure energy;Offshore Wind;TA2.38;The strategy sets targets for an installed capacity of at least 60 GW of offshore wind by 2030 and at least 300 GW by 2050. Grounding on the revised TEN-E regulation, EU countries have agreed on new, ambitious long-term goals for the deployment of offshore renewable energy up to 2050 in each of the EU’s five sea basins. As a result, the cumulative EU offshore goals have the following ranges: 109-112 GW by 2030, 215-248 GW by 2040, and 281-354 GW by 2050.;This target focuses on increasing offshore wind capacity as part of the renewable energy strategy.
TA2_Clean, affordable and secure energy;Ocean Energy;TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;This target sets goals for increasing ocean energy capacity.
TA2_Clean, affordable and secure energy;Heat Pumps;TA2.4;Doubling the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;This target focuses on increasing the deployment of heat pumps to improve energy efficiency.
TA2_Clean, affordable and secure energy;Steel Decarbonization;TA2.40;Around 30% of EU primary steel production is expected to be decarbonized on the basis of renewable hydrogen;This target emphasizes the decarbonization of steel production using renewable hydrogen.
TA2_Clean, affordable and secure energy;Solar Photovoltaic;TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and 600 GW by 2030;This target focuses on increasing solar photovoltaic capacity as part of the renewable energy strategy.
TA2_Clean, affordable and secure energy;Solar Heat and Geothermal;TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple (currently rate at 1,5%);This target emphasizes the use of solar heat and geothermal energy to meet energy demand.
TA2_Clean, affordable and secure energy;Solar Photovoltaic;TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the RePowerEU Plan;This target sets goals for installing photovoltaic capacity to increase the share of renewable energy.
