TA1_Climate ambition;GHG emissions;TA1.1;Climate Neutrality (2040 target under discussion);This target is assigned to the GHG emissions sub-theme because it directly addresses the reduction of greenhouse gas emissions, which is a key aspect of climate change mitigation.
TA1_Climate ambition;GHG emissions;TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030;This target is assigned to the GHG emissions sub-theme because it discusses the reduction of emissions through the emissions trading system.
TA1_Climate ambition;GHG removal;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;This target is assigned to the GHG removal sub-theme because it focuses on the removal of greenhouse gases from the atmosphere.
TA1_Climate ambition;Climate Resilience;TA1.4;Achieve a climate-resilient society status, fully adapted to the unavoidable impacts of climate change;This target is assigned to the Climate Resilience sub-theme because it addresses the need for societies to adapt to the impacts of climate change.
TA2_Clean, affordable and secure energy;Renewable energy;TA2.1;Renewable hydrogen will be key to replace natural gas, coal and oil in hard-to-decarbonise industries and transport;This target is assigned to the Renewable energy sub-theme because it discusses the use of renewable hydrogen as a substitute for fossil fuels.
TA2_Clean, affordable and secure energy;Renewable energy - Solar;TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and 600 GW by 2030;This target is assigned to the Renewable energy - Solar sub-theme because it specifically addresses the deployment of solar photovoltaic energy.
TA2_Clean, affordable and secure energy;Renewable energy - Offshore Wind and Ocean Energy;TA2.38;The strategy sets targets for an installed capacity of at least 60 GW of offshore wind by 2030 and at least 300 GW by 2050;This target is assigned to the Renewable energy - Offshore Wind and Ocean Energy sub-theme because it discusses the development of offshore wind energy.
TA2_Clean, affordable and secure energy;Renewable energy - Renewable Hydrogen;TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030;This target is assigned to the Renewable energy - Renewable Hydrogen sub-theme because it addresses the use of renewable hydrogen in industry.
TA2_Clean, affordable and secure energy;Energy efficiency;TA2.25;Reduce buildings' final energy consumption by 14%;This target is assigned to the Energy efficiency sub-theme because it aims to reduce energy consumption in buildings.
TA2_Clean, affordable and secure energy;Energy efficiency - Buildings renovation;TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030;This target is assigned to the Energy efficiency - Buildings renovation sub-theme because it specifically addresses the renovation of buildings to improve energy efficiency.
TA2_Clean, affordable and secure energy;Energy Infrastructure;TA2.16;Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025;This target is assigned to the Energy Infrastructure sub-theme because it discusses the development of renewable energy infrastructure for heating and cooling.
TA2_Clean, affordable and secure energy;Energy neutrality in wastewater;TA2.8;Ensure that energy poor and vulnerable consumers have access to solar energy;This target is assigned to the Energy neutrality in wastewater sub-theme because it addresses the issue of energy access for vulnerable consumers.
TA2_Clean, affordable and secure energy;Social Security;TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year;This target is assigned to the Social Security sub-theme because it aims to reduce energy consumption in public bodies.
TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials;TA3.1;Halve the amount of residual (non-recycled) municipal waste;This target is assigned to the Critical Raw Materials sub-theme because it discusses the reduction of waste, which is related to the critical raw materials issue.
TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Batteries recycling;TA3.16;Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries;This target is assigned to the Critical Raw Materials - Batteries recycling sub-theme because it specifically addresses the recycling of batteries.
TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction and imports;TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;This target is assigned to the Critical Raw Materials - Extraction and imports sub-theme because it discusses the extraction and importation of critical raw materials.
TA3_Industrial strategy for a clean and circular economy;Circular Economy;TA3.3;Double its circular material use rate in the coming decade;This target is assigned to the Circular Economy sub-theme because it aims to increase the circular material use rate.
TA3_Industrial strategy for a clean and circular economy;Circular Economy - Vehicles circularity;TA3.42;From 15 August 2018, the recovery targets for the WEEE falling within the following categories of Annex III shall be;This target is assigned to the Circular Economy - Vehicles circularity sub-theme because it discusses the recovery of vehicles.
TA3_Industrial strategy for a clean and circular economy;Industrial Strategy;TA3.12;By 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs;This target is assigned to the Industrial Strategy sub-theme because it discusses the development of manufacturing capacity for net-zero technologies.
TA3_Industrial strategy for a clean and circular economy;Plastic and other packaging;TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste;This target is assigned to the Plastic and other packaging sub-theme because it specifically addresses the issue of plastic packaging.
TA3_Industrial strategy for a clean and circular economy;Food Waste;TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;This target is assigned to the Food Waste sub-theme because it aims to reduce food waste.
