```csv;;;;
target_code;target_content;thematic_area;sub_theme;justification
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries, Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Battery Recycling;This target focuses on improving recycling efficiency for various types of batteries, which is a key aspect of battery recycling.
TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW. Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Electric Vehicle Infrastructure;The target aims to establish recharging infrastructure for light-duty vehicles, which is essential for supporting electric vehicle adoption.
TA5.4;Reduce by 50% the use of more hazardous pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Pesticide Reduction;This target is focused on reducing hazardous pesticide use, aligning with goals to minimize environmental and health impacts.
TA5.16;Income distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Fair Income Distribution;The target addresses income distribution and aims to improve the livelihoods of primary producers, ensuring economic sustainability.
TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union’s annual consumption of strategic raw materials and should be able of recycling significantly increasing amounts of each strategic raw material from waste. Regulation (EU) 2024/1252;TA3_Industrial strategy for a clean and circular economy;Strategic Raw Material Recycling;This target emphasizes increasing recycling capacity for strategic raw materials, crucial for resource efficiency and sustainability.
TA6.49;(forest ecosystems) Member States shall achieve an increasing trend at national level of the common forest bird index, as further set out in Annex VI, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels identified in accordance with Article 11(3) are reached 'Nature Restoration Law' Parallel target of the Biodiversity Strategy: “4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend”;TA6_Preserving and protecting biodiversity;Forest Ecosystem Restoration;The target focuses on improving forest bird populations, which is indicative of broader forest ecosystem health and restoration efforts.
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations. A Renovation Wave for Europe;TA2_Clean, affordable and secure energy;Building Energy Renovation;This target aims to increase the energy efficiency of buildings through renovations, contributing to energy savings and emissions reductions.
TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030. Energy Transition of the EU Fisheries and Aquaculture sector;TA4_Sustainable and smart mobility;Fisheries Energy Efficiency;The target is about reducing fossil fuel consumption in fisheries, aligning with energy efficiency and sustainability goals.
TA5.12;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Genetic Biodiversity;This target focuses on maintaining genetic diversity in agriculture, which is crucial for resilience to climate change.
TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025 (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Rural Digitalisation;The target aims to enhance digital infrastructure in rural areas, facilitating modern agricultural practices and economic development.
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Renewable Energy Share;This target sets a goal for increasing the share of renewable energy in the EU's energy mix, promoting clean energy transition.
TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);TA7_Towards a zero-pollution ambition for a toxic free environment;Microplastics Reduction;The target focuses on reducing microplastic pollution, which is critical for improving water quality and protecting aquatic ecosystems.
TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030. Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Shore-Side Electricity Supply;This target aims to reduce emissions from inland waterway vessels by providing shore-side electricity, supporting cleaner transport.
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60% by 2035. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Renewable Hydrogen;The target focuses on increasing the use of renewable hydrogen in industry, contributing to decarbonization efforts.
TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050. Regulation (EU) 2023/2405;TA4_Sustainable and smart mobility;Synthetic Aviation Fuels;This target sets goals for the adoption of synthetic aviation fuels, which are crucial for reducing aviation emissions.
