target_code;target_content;thematic_area;sub_theme;justification
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005 Directive (EU) 2023/959;TA1_Climate ambition;Emission Reduction;This target is assigned to Emission Reduction as it aims to reduce emissions from buildings and road transport sectors.
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005 Directive (EU) 2023/959;TA1_Climate ambition;Climate Action;This target contributes to climate action by promoting emission reductions.
TA1.11;ESR. Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste) Regulation (EU) 2023/857;TA1_Climate ambition;Emission Reduction;This target is assigned to Emission Reduction as it aims to reduce emissions in the ESR sectors.
TA1.11;ESR. Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste) Regulation (EU) 2023/857;TA1_Climate ambition;Climate Action;This target contributes to climate action by promoting emission reductions in various sectors.
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030, and Member State-specific targets for 2030 summing up to -42 MtCO2e increase in LULUCF sink between 2016-2018 and 2030.;TA1_Climate ambition;Carbon Sequestration;This target is assigned to the Carbon Sequestration sub-theme because it focuses on achieving a net greenhouse gas removal in the LULUCF sector.
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030, and Member State-specific targets for 2030 summing up to -42 MtCO2e increase in LULUCF sink between 2016-2018 and 2030.;TA1_Climate ambition;Climate Change Mitigation;This target is also assigned to the Climate Change Mitigation sub-theme because it aims to reduce greenhouse gas emissions.
TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all the land accounting categories. The accounting benchmark for the EU is ca. -229 MtCO2e/year for 2021-2025 LULUCF Regulation;TA1_Climate ambition;Maintaining Carbon Balance;"This target is assigned to the sub-theme ""Maintaining Carbon Balance"" because it focuses on ensuring that greenhouse gas emissions do not exceed removals."
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030 (compared to 2015), and reach climate neutrality by 2050 A Renovation Wave for Europe;TA1_Climate ambition;Reducing Building Emissions;"This target is assigned to the sub-theme ""Reducing Building Emissions"" because it aims to decrease buildings' greenhouse gas emissions."
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA1_Climate ambition;Greenhouse Gas Emission Reduction;This target is assigned to the Greenhouse Gas Emission Reduction sub-theme because it focuses on reducing net GHG emissions.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA1_Climate ambition;Climate Change Mitigation;This target is also assigned to the Climate Change Mitigation sub-theme because it aims to reduce greenhouse gas emissions.
