target_code;target_content;thematic_area;sub_theme;justification
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries, Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Waste Recycling;This target is assigned to Waste Recycling as it deals with recycling efficiency targets for different types of batteries.
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries, Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target contributes to the circular economy by promoting recycling and reducing waste.
TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW. Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Electric Vehicle Charging;This target is assigned to Electric Vehicle Charging as it deals with the deployment of publicly accessible recharging pools for light-duty vehicles.
TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW. Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Sustainable Transportation;This target contributes to sustainable transportation by promoting the use of electric vehicles.
TA5.4;Reduce by 50% the use of more hazardous pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Agriculture;This target is assigned to Sustainable Agriculture as it aims to reduce the use of hazardous pesticides.
TA5.4;Reduce by 50% the use of more hazardous pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Biodiversity Conservation;This target contributes to biodiversity conservation by reducing the use of hazardous pesticides.
TA5.16;ncome distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Livelihoods;This target is assigned to Sustainable Livelihoods as it aims to ensure fair income and salaries for primary producers.
TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able to produce at least 25% of the Union’s annual consumption of strategic raw materials and should be able to recycle significantly increasing amounts of each strategic raw material from waste. Regulation (EU) 2024/1252;TA3_Industrial strategy for a clean and circular economy;Raw Material Recycling;This target is assigned to Raw Material Recycling as it deals with increasing the Union's recycling capacity for strategic raw materials.
TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able to produce at least 25% of the Union’s annual consumption of strategic raw materials and should be able to recycle significantly increasing amounts of each strategic raw material from waste. Regulation (EU) 2024/1252;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target contributes to the circular economy by promoting the recycling of raw materials.
TA6.49;(forest ecosystems) Member States shall achieve an increasing trend at national level of the common forest bird index, as further set out in Annex VI, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels identified in accordance with Article 11(3) are reached 'Nature Restoration Law' Parallel target of the Biodiversity Strategy: “4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend”;TA6_Preserving and protecting biodiversity;Forest Conservation;This target is assigned to Forest Conservation as it deals with achieving an increasing trend in the common forest bird index.
TA6.49;(forest ecosystems) Member States shall achieve an increasing trend at national level of the common forest bird index, as further set out in Annex VI, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels identified in accordance with Article 11(3) are reached 'Nature Restoration Law' Parallel target of the Biodiversity Strategy: “4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend”;TA6_Preserving and protecting biodiversity;Ecosystem Restoration;This target contributes to ecosystem restoration by promoting the conservation of forest ecosystems.
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations. A Renovation Wave for Europe;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is assigned to Energy Efficiency as it aims to increase the annual energy renovation rate of buildings.
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations. A Renovation Wave for Europe;TA2_Clean, affordable and secure energy;Building Renovation;This target contributes to building renovation by promoting deep energy renovations.
TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030. Energy Transition of the EU Fisheries and Aquaculture sector;TA4_Sustainable and smart mobility;Sustainable Fisheries;This target is assigned to Sustainable Fisheries as it aims to reduce fuel intensity in EU fisheries.
