TA1.8;Reach energy neutrality in the wastewater treatment sector by 2040. To reach energy neutrality and the additional treatment of nitrogen, GHG emissions would be reduced by 4,86 million tonnes (37,32 % of the avoidable emissions from the sector);TA1_Climate ambition;Reducing Greenhouse Gas Emissions;This target is assigned to the sub-theme "Reducing Greenhouse Gas Emissions" because it aims to reduce GHG emissions by 37,32% in the wastewater treatment sector.
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2040. To reach energy neutrality and the additional treatment of nitrogen, GHG emissions would be reduced by 4,86 million tonnes (37,32 % of the avoidable emissions from the sector);TA1_Climate ambition;Improving Energy Efficiency;This target is also assigned to the sub-theme "Improving Energy Efficiency" because it aims to reach energy neutrality in the wastewater treatment sector.
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);TA1_Climate ambition;Reducing Greenhouse Gas Emissions;This target is assigned to the sub-theme "Reducing Greenhouse Gas Emissions" because it sets a limit on the annual sum of greenhouse gas emissions and removals for each Member State.
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan;TA2_Clean, affordable and secure energy;Solar Energy;This target is assigned to the sub-theme "Solar Energy" because it specifically mentions the installation of PV to reach a share of 45% of energy coming from renewables.
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan;TA2_Clean, affordable and secure energy;Increasing Renewable Energy;This target is also assigned to the sub-theme "Increasing Renewable Energy" because it aims to increase the share of energy coming from renewables.
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42,5 %.;TA2_Clean, affordable and secure energy;Increasing Renewable Energy;This target is assigned to the sub-theme "Increasing Renewable Energy" because it sets a target for the share of energy from renewable sources in the Union's gross final consumption of energy.
TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5 % of newly installed renewable energy capacity by 2030;TA2_Clean, affordable and secure energy;Promoting Innovative Technologies;This target is assigned to the sub-theme "Promoting Innovative Technologies" because it sets a target for innovative renewable energy technology.
TA2.14;Member States shall endeavour to increase the share of energy from renewable sources and from waste heat and cold in district heating and cooling by an indicative 2,2 percentage points as an annual average calculated for the period 2021 to 2030, starting from the share of energy from renewable sources and from waste heat and cold in district heating and cooling in 2020;TA2_Clean, affordable and secure energy;Increasing Renewable Energy;This target is assigned to the sub-theme "Increasing Renewable Energy" because it aims to increase the share of energy from renewable sources in district heating and cooling.
TA2.20;Renovate each year at least 3% of the total floor area of buildings owned by all levels of public administration (as also agreed by Council-Parliament on 10.03.23);TA2_Clean, affordable and secure energy;Improving Energy Efficiency;This target is assigned to the sub-theme "Improving Energy Efficiency" because it aims to renovate buildings to improve energy efficiency.
TA2.31;All existing buildings should be transformed into zero-emission buildings;TA2_Clean, affordable and secure energy;Improving Energy Efficiency;This target is assigned to the sub-theme "Improving Energy Efficiency" because it aims to transform all existing buildings into zero-emission buildings.
TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings;TA2_Clean, affordable and secure energy;Improving Energy Efficiency;This target is assigned to the sub-theme "Improving Energy Efficiency" because it aims to ensure that a significant portion of the decrease in primary energy use is achieved through building renovation.
TA2.38;The strategy sets targets for an installed capacity of at least 60 GW of offshore wind by 2030 and at least 300 GW by 2050.;TA2_Clean, affordable and secure energy;Wind Energy;This target is assigned to the sub-theme "Wind Energy" because it specifically mentions offshore wind.
TA2.38;The strategy sets targets for an installed capacity of at least 60 GW of offshore wind by 2030 and at least 300 GW by 2050.;TA2_Clean, affordable and secure energy;Increasing Renewable Energy;This target is also assigned to the sub-theme "Increasing Renewable Energy" because it aims to increase the installed capacity of offshore wind.
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050.;TA2_Clean, affordable and secure energy;Ocean Energy;This target is assigned to the sub-theme "Ocean Energy" because it specifically mentions ocean energy.
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050.;TA2_Clean, affordable and secure energy;Increasing Renewable Energy;This target is also assigned to the sub-theme "Increasing Renewable Energy" because it aims to increase the installed capacity of ocean energy.
TA3.1;Halve the amount of residual (non-recycled) municipal waste;TA3_Industrial strategy for a clean and circular economy;Reducing Waste;This target is assigned to the sub-theme "Reducing Waste" because it aims to halve the amount of residual municipal waste.
TA3.12;by 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;TA3_Industrial strategy for a clean and circular economy;Promoting Sustainable Technologies;This target is assigned to the sub-theme "Promoting Sustainable Technologies" because it aims to increase the manufacturing capacity of strategic net-zero technologies.
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025, - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries, - 50% by average weight of other waste batteries;TA3_Industrial strategy for a clean and circular economy;Improving Recycling;This target is assigned to the sub-theme "Improving Recycling" because it sets targets for recycling efficiency.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027, - 90% for cobalt, copper, lead, nickel; No later than 31 December 2031, - 95% for cobalt, copper, lead, nickel;TA3_Industrial strategy for a clean and circular economy;Improving Recycling;This target is assigned to the sub-theme "Improving Recycling" because it sets targets for recovery of materials.
TA3.39;From 2025, beverage bottles listed in Part F of the Annex which are manufactured from polyethylene terephthalate as the major component (‘PET bottles’) contain at least 25 % recycled plastic, calculated as an average for all PET bottles placed on the market on the territory of that Member State;TA3_Industrial strategy for a clean and circular economy;Increasing Recycling Rate;This target is assigned to the sub-theme "Increasing Recycling Rate" because it aims to increase the use of recycled plastic in PET bottles.
TA3.42;From 15 August 2018, the recovery targets for the WEEE falling within the following categories of Annex III shall be: - 85% for Category 1 (temperature exchange equipment) or Category 4 (large equipment with any external dimension more than 50 cm), - 80% for Category 2 (e.g., screens and monitors), - 75% for Category 5 (small equipment with no external dimension more than 50 cm) or 6 (Small IT and telecommunication equipment with no external dimension more than 50 cm);TA3_Industrial strategy for a clean and circular economy;Improving Recycling;This target is assigned to the sub-theme "Improving Recycling" because it sets targets for recovery of WEEE.
TA3.43;From 15 August 2018, the preparation for re-use targets for the WEEE falling within the following categories of Annex III shall be: - 80% for Category 1 or Category 4, - 70% for Category 2, - 55% for Category 5 or Category 6;TA3_Industrial strategy for a clean and circular economy;Improving Recycling;This target is assigned to the sub-theme "Improving Recycling" because it sets targets for preparation for re-use of WEEE.
TA3.44;From 15 August 2018, the recycling targets for the WEEE falling within the following categories of Annex III shall be: - 0% for Category 1 or Category 4, - 70% for Category 2, - 55% for Category 5 or Category 6;TA3_Industrial strategy for a clean and circular economy;Improving Recycling;This target is assigned to the sub-theme "Improving Recycling" because it sets targets for recycling of WEEE.
TA4.8;Member States with maritime ports should endeavour to ensure that from 2030 the share of renewable fuels of non-biological origin in the total amount of energy supplied to the maritime transport sector is at least 1,2 %.;TA4_Sustainable and smart mobility;Increasing Renewable Energy;This target is assigned to the sub-theme "Increasing Renewable Energy" because it aims to increase the share of renewable fuels of non-biological origin in the maritime transport sector.
TA4.11;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years;TA4_Sustainable and smart mobility;Improving Transport Efficiency;This target is assigned to the sub-theme "Improving Transport Efficiency" because it aims to reduce the average door-to-door cost of combined transport operations.
TA4.21;In a third phase, from 2030 onwards and towards 2050, renewable hydrogen technologies should reach maturity and be deployed at large scale to reach all hard-to-decarbonise sectors where other alternatives might not be feasible or have higher costs.;TA4_Sustainable and smart mobility;Promoting Hydrogen Technologies;This target is assigned to the sub-theme "Promoting Hydrogen Technologies" because it aims to deploy renewable hydrogen technologies at large scale.
TA4.27;By 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 60 km between them [...] (with intermediate 2025 and 2027 targets).;TA4_Sustainable and smart mobility;Improving Electric Vehicle Infrastructure;This target is assigned to the sub-theme "Improving Electric Vehicle Infrastructure" because it aims to deploy publicly accessible recharging pools for heavy-duty electric vehicles.
TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW.;TA4_Sustainable and smart mobility;Improving Electric Vehicle Infrastructure;This target is assigned to the sub-theme "Improving Electric Vehicle Infrastructure" because it aims to deploy publicly accessible recharging points for heavy-duty electric vehicles.
TA4.31;Member States shall ensure that by 31 December 2030 publicly accessible hydrogen refuelling stations designed for a minimum cumulative capacity of 1 tonne per day and equipped with at least a 700 bar dispenser are deployed with a maximum distance of 200 km between them along the TEN-T core network;TA4_Sustainable and smart mobility;Improving Hydrogen Infrastructure;This target is assigned to the sub-theme "Improving Hydrogen Infrastructure" because it aims to deploy publicly accessible hydrogen refuelling stations.
TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030.;TA4_Sustainable and smart mobility;Improving Electric Vehicle Infrastructure;This target is assigned to the sub-theme "Improving Electric Vehicle Infrastructure" because it aims to deploy shore-side electricity supply installations for inland waterway vessels.
TA4.34;Member States shall ensure that a minimum shore-side electricity supply for seagoing container ships and seagoing passenger ships is provided in TEN-T maritime ports.;TA4_Sustainable and smart mobility;Improving Electric Vehicle Infrastructure;This target is assigned to the sub-theme "Improving Electric Vehicle Infrastructure" because it aims to provide shore-side electricity supply for seagoing container ships and passenger ships.
TA4.45;There will be at least 30 million zero-emission cars and 80.000 zero-emission lorries in operation;TA4_Sustainable and smart mobility;Promoting Zero-Emission Vehicles;This target is assigned to the sub-theme "Promoting Zero-Emission Vehicles" because it aims to increase the number of zero-emission cars and lorries in operation.
TA5.6;Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Promoting Sustainable Fishing;This target is assigned to the sub-theme "Promoting Sustainable Fishing" because it aims to increase sustainable fishing and aquaculture.
TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Reducing Food Waste;This target is assigned to the sub-theme "Reducing Food Waste" because it aims to reduce food waste and prevent food loss.
TA5.15;Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Environmental Sustainability;This target is assigned to the sub-theme "Improving Environmental Sustainability" because it aims to reduce the environmental and climate footprint of the EU food system.
TA5.17;Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Farmer Income;This target is assigned to the sub-theme "Improving Farmer Income" because it aims to help farmers and fishers strengthen their position in the supply chain.
TA5.22;Create shorter supply chains will support reducing dependence on long-haul transportation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Transport Efficiency;This target is assigned to the sub-theme "Improving Transport Efficiency" because it aims to create shorter supply chains to reduce dependence on long-haul transportation.
TA5.29;Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Food Availability;This target is assigned to the sub-theme "Improving Food Availability" because it aims to improve the availability of sustainable food.
TA5.30;Ensure affordability and access to sufficient, nutritious and sustainable food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Food Affordability;This target is assigned to the sub-theme "Improving Food Affordability" because it aims to ensure affordability and access to sufficient, nutritious, and sustainable food.
TA5.34;Reverse prevalence of overweight and diet-related diseases;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Public Health;This target is assigned to the sub-theme "Improving Public Health" because it aims to reverse the prevalence of overweight and diet-related diseases.
TA6.5;Effectively manage all protected areas, defining clear conservation objectives and measures, and monitoring them appropriately;TA6_Preserving and protecting biodiversity;Improving Conservation Management;This target is assigned to the sub-theme "Improving Conservation Management" because it aims to effectively manage all protected areas.
TA6.9;The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;TA6_Preserving and protecting biodiversity;Reducing Chemical Pesticides;This target is assigned to the sub-theme "Reducing Chemical Pesticides" because it aims to reduce the risk and use of chemical pesticides.
TA6.14;There is a 50% reduction in the number of Red List species threatened by invasive alien species;TA6_Preserving and protecting biodiversity;Protecting Biodiversity;This target is assigned to the sub-theme "Protecting Biodiversity" because it aims to reduce the number of Red List species threatened by invasive alien species.
