TA1.2;2040 target under discussion;TA1_Climate ambition;Setting Emission Targets;This target is assigned to the sub-theme "Setting Emission Targets" because it discusses a specific target for reducing emissions by 2040.; 
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;TA1_Climate ambition;Setting Emission Targets;This target is assigned to the sub-theme "Setting Emission Targets" because it outlines a specific plan for reducing emissions through the emissions trading system.; 
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;TA1_Climate ambition;Reducing Methane Emissions;This target is assigned to the sub-theme "Reducing Methane Emissions" because it specifically focuses on decreasing methane emissions from energy production and consumption.; 
TA2.13;Each Member State shall set an obligation on fuel suppliers to ensure that: (a) the amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or i) greenhouse gas intensity reduction of at least 14,5 % by 2030, compared to the baseline set out in Article 27(1), point (b), in accordance with an indicative trajectory set by the Member State;TA2_Clean, affordable and secure energy;Promoting Renewable Energy;This target is assigned to the sub-theme "Promoting Renewable Energy" because it aims to increase the share of renewable energy in the transport sector.; 
TA2.15;By 2022 achieve 18% of the total increase in the share of energy from renewable sources between that Member State's binding 2020 national target, and its contribution to the 2030 target of share of energy from renewable sources in gross final consumption of energy. Achieve 43% by 2025, 65% by 2027;TA2_Clean, affordable and secure energy;Promoting Renewable Energy;This target is assigned to the sub-theme "Promoting Renewable Energy" because it sets specific milestones for increasing the share of renewable energy sources.; 
TA2.18;Member States shall determine an indicative national share of renewable energy produced on-site or nearby as well as renewable energy taken from the grid in final energy consumption in their building sector in 2030 that is consistent with an indicative target of at least a 49 % share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030;TA2_Clean, affordable and secure energy;Promoting Renewable Energy;This target is assigned to the sub-theme "Promoting Renewable Energy" because it focuses on increasing the share of renewable energy in the building sector.; 
TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11,7 % in 2030 compared to the projections of the 2020 EU Reference Scenario so that the Union’s final energy consumption amounts to no more than 763 Mtoe;TA2_Clean, affordable and secure energy;Improving Energy Efficiency;This target is assigned to the sub-theme "Improving Energy Efficiency" because it aims to reduce overall energy consumption.; 
TA2.29;For the non-residential building stock, the revised rules require to gradually improve it via minimum energy performance standards. This will lead to renovating the 16% worst-performing buildings by 2030 and the 26% worst-performing buildings by 2033.;TA2_Clean, affordable and secure energy;Improving Energy Efficiency;This target is assigned to the sub-theme "Improving Energy Efficiency" because it focuses on renovating buildings to improve their energy performance.; 
TA2.40;Around 30% of EU primary steel production is expected to be decarbonized on the basis of renewable hydrogen;TA2_Clean, affordable and secure energy;Decarbonizing Industry;This target is assigned to the sub-theme "Decarbonizing Industry" because it discusses the use of renewable hydrogen in decarbonizing steel production.; 
TA3.9;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's processing capacity, including for all intermediate processing steps, is able to produce at least 40% of the Union's annual consumption of strategic raw materials;TA3_Industrial strategy for a clean and circular economy;Securing Raw Materials;This target is assigned to the sub-theme "Securing Raw Materials" because it focuses on ensuring a sustainable supply of critical raw materials.; 
TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;TA3_Industrial strategy for a clean and circular economy;Promoting Recycling;This target is assigned to the sub-theme "Promoting Recycling" because it aims to increase recycling capacity for strategic raw materials.; 
TA3.15;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall ensure that all waste portable batteries, Light Means of Transport (LMT) and SLI batteries, regardless of their nature, chemical composition, condition, brand or origin, are collected separately in the territory of a Member State where they make these batteries available on the market for the first time.;TA3_Industrial strategy for a clean and circular economy;Promoting Recycling;This target is assigned to the sub-theme "Promoting Recycling" because it focuses on the collection and recycling of batteries.; 
TA3.16;Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: 45 % by 31 December 2023, 63 % by 31 December 2027, 73 % by 31 December 2030.;TA3_Industrial strategy for a clean and circular economy;Promoting Recycling;This target is assigned to the sub-theme "Promoting Recycling" because it sets specific targets for collecting waste portable batteries.; 
TA3.18;Recycled content in industrial batteries, electric vehicle batteries, LMT batteries and SLI batteries: Cobalt:  16 % by 2031 (26% by 2036), Lead: 85% (85%), Nickel: 6% (12%), Lithium 6% (15%);TA3_Industrial strategy for a clean and circular economy;Promoting Recycling;This target is assigned to the sub-theme "Promoting Recycling" because it focuses on increasing the recycled content in various types of batteries.; 
TA3.22;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 -90% for cobalt, copper, lead, nickel; No later than 31 December 2031: -95% for cobalt, copper, lead, and nickel.;TA3_Industrial strategy for a clean and circular economy;Promoting Recycling;This target is assigned to the sub-theme "Promoting Recycling" because it sets targets for the recovery of materials from recycling.; 
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30 % in comparison to the amount generated in 2020;TA3_Industrial strategy for a clean and circular economy;Reducing Food Waste;This target is assigned to the sub-theme "Reducing Food Waste" because it aims to decrease food waste generation across different sectors.; 
TA3.27;Making all packaging recyclable;TA3_Industrial strategy for a clean and circular economy;Promoting Recycling;This target is assigned to the sub-theme "Promoting Recycling" because it focuses on making all packaging recyclable.; 
TA3.33;Recycling of wood in packaging: 30%;TA3_Industrial strategy for a clean and circular economy;Promoting Recycling;This target is assigned to the sub-theme "Promoting Recycling" because it sets a specific target for recycling wood in packaging.; 
TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;TA3_Industrial strategy for a clean and circular economy;Promoting Recycling;This target is assigned to the sub-theme "Promoting Recycling" because it focuses on increasing the collection and recycling of single-use plastic beverage bottles.; 
TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall not exceed these limits: 2 % from 1 January 2025, 6 % from 1 January 2030, 14,5 % from 1 January 2035, 31 % from 1 January 2040, 62 % from 1 January 2045, 80 % from 1 January 2050.;TA4_Sustainable and smart mobility;Reducing Emissions from Transport;This target is assigned to the sub-theme "Reducing Emissions from Transport" because it sets specific limits on GHG intensity for ships.; 
TA4.5;Starting from 2025, at least 2% of aviation fuels will be green, with this share increasing every five years: 6% in 2030, 20% in 2035, 34% in 2040, 42% in 2045 and 70% in 2050.;TA4_Sustainable and smart mobility;Promoting Sustainable Fuels;This target is assigned to the sub-theme "Promoting Sustainable Fuels" because it aims to increase the use of green fuels in aviation.; 
TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1 % in 2025 and 3,5 % in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030;TA4_Sustainable and smart mobility;Promoting Sustainable Fuels;This target is assigned to the sub-theme "Promoting Sustainable Fuels" because it sets targets for the use of advanced biofuels and renewable fuels of non-biological origin.; 
TA4.9;Cut the emissions of transport sector by 90%;TA4_Sustainable and smart mobility;Reducing Emissions from Transport;This target is assigned to the sub-theme "Reducing Emissions from Transport" because it aims to significantly cut emissions from the transport sector.; 
TA4.13;For new urban buses the share of zeroemissions vehicles shall be 100% as from the reporting period of the year 2030;TA4_Sustainable and smart mobility;Promoting Electric Vehicles;This target is assigned to the sub-theme "Promoting Electric Vehicles" because it sets a target for all new urban buses to be zero-emission vehicles by 2030.; 
TA4.36;Transport by inland waterways and short sea shipping will increase by 25% compared to 2015, by 2030.;TA4_Sustainable and smart mobility;Promoting Sustainable Transport;This target is assigned to the sub-theme "Promoting Sustainable Transport" because it aims to increase the use of inland waterways and short sea shipping.; 
TA4.43;Scheduled collective travel of under 500 km should be carbon neutral within the EU;TA4_Sustainable and smart mobility;Reducing Emissions from Transport;This target is assigned to the sub-theme "Reducing Emissions from Transport" because it focuses on making collective travel carbon neutral.; 
TA4.44;Nearly all cars, vans, buses as well as new heavy-duty vehicles will be zero-emission;TA4_Sustainable and smart mobility;Promoting Electric Vehicles;This target is assigned to the sub-theme "Promoting Electric Vehicles" because it aims for nearly all new vehicles to be zero-emission.; 
TA4.47;Euro 7 pollutant limits;TA4_Sustainable and smart mobility;Reducing Emissions from Transport;This target is assigned to the sub-theme "Reducing Emissions from Transport" because it focuses on setting pollutant limits for vehicles.; 
TA4.53;The death toll for all modes of transport in the EU will be close to zero;TA4_Sustainable and smart mobility;Improving Transport Safety;This target is assigned to the sub-theme "Improving Transport Safety" because it aims to significantly reduce the death toll from transport accidents.; 
TA4.55;Zero-emission in urban logistics;TA4_Sustainable and smart mobility;Promoting Sustainable Transport;This target is assigned to the sub-theme "Promoting Sustainable Transport" because it focuses on making urban logistics zero-emission.; 
TA4.56;Increase the uptake of short-sea shipping instead of using more polluting modes;TA4_Sustainable and smart mobility;Promoting Sustainable Transport;This target is assigned to the sub-theme "Promoting Sustainable Transport" because it aims to increase the use of short-sea shipping.; 
TA4.57;Renovate the EU’s maritime fleet (e.g. passenger ships and supply vessels for offshore installations) to improve their energy efficiency;TA4_Sustainable and smart mobility;Improving Energy Efficiency in Transport;This target is assigned to the sub-theme "Improving Energy Efficiency in Transport" because it focuses on renovating the maritime fleet for better energy efficiency.; 
TA4.58;Pursue the objective of zero-emission ports;TA4_Sustainable and smart mobility;Promoting Sustainable Transport;This target is assigned to the sub-theme "Promoting Sustainable Transport" because it aims to make ports zero-emission.; 
TA4.9;Cut the emissions of transport sector by 90%;TA4_Sustainable and smart mobility;Reducing Emissions from Transport;This target is assigned to the sub-theme "Reducing Emissions from Transport" because it aims to significantly cut emissions from the transport sector.; 
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Reducing Antimicrobial Use;This target is assigned to the sub-theme "Reducing Antimicrobial Use" because it focuses on decreasing the sales of antimicrobials in farming and aquaculture.; 
TA5.4;Reduce by 50% the use of more hazardous pesticides;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Reducing Pesticide Use;This target is assigned to the sub-theme "Reducing Pesticide Use" because it aims to reduce the use of more hazardous pesticides.; 
TA5.7;Tackle climate change: climate change adaptation and mitigation. Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate neutral Union in 2050.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Reducing Emissions from Agriculture;This target is assigned to the sub-theme "Reducing Emissions from Agriculture" because it focuses on reducing GHG emissions from agriculture and related sectors.; 
