;target_code;target_content;thematic_area;sub_theme;justification;Unnamed: 5;Unnamed: 6;Unnamed: 7
0;TA1.9; EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005 (increasing the linear emissions reduction factor from 2.2% per year up to 4.4%), by 2030; TA1_Climate ambition; GHG Reduction; The target is assigned to the GHG Reduction sub-theme because it specifically mentions the reduction of greenhouse gas emissions by 62% compared to 2005, which is a key aspect of mitigating climate change.;;;
1;TA2.7; Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan.; TA2_Clean, affordable and secure energy; Renewable Energy - Solar; This target is assigned to the Renewable Energy - Solar sub-theme because it specifically mentions the installation of photovoltaic (PV) systems to increase the share of renewable energy in the EU's energy mix.;;;
2;TA3.1; Halve the amount of residual (non-recycled) municipal waste by 2030; TA3_Industrial strategy for a clean and circular economy; Waste Reduction - Municipal Waste; This target is assigned to the Waste Reduction - Municipal Waste sub-theme because it aims to reduce the amount of non-recycled municipal waste by half, which is a key aspect of waste management and circular economy.;;;
3;TA3.16; Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: - 45% by 31 December 2023, - 63% by 31 December 2027, - 73% by 31 December 2030.; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Critical Raw Materials - Batteries Recycling; This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it specifically mentions the collection and recycling of portable batteries, which is a critical aspect of circular economy and resource efficiency.;;;
4;TA3.19; Any natural or legal person that places on the market products incorporating portable batteries shall ensure that those batteries are readily removable and replaceable by the end-user at any time during the lifetime of the product.; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Critical Raw Materials - Batteries Recycling; This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it aims to ensure that portable batteries are designed for easy removal and replacement, which is a key aspect of circular economy and resource efficiency.;;;
5;TA3.32; Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025, and of 55% by weight of plastic in packaging waste generated by 31 December 2030.; TA3_Industrial strategy for a clean and circular economy; Waste Reduction - Plastic & Packaging; This target is assigned to the Waste Reduction - Plastic & Packaging sub-theme because it aims to increase the recycling rate of plastic packaging waste, which is a key aspect of waste reduction and circular economy.;;;
6;TA4.3; The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025, 6% from 1 January 2030, 14.5% from 1 January 2035, 31% from 1 January 2040, 62% from 1 January 2045, 80% from 1 January 2050.; TA4_Sustainable and smart mobility; Net-Zero Technology - Maritime Transport; This target is assigned to the Net-Zero Technology - Maritime Transport sub-theme because it aims to reduce the greenhouse gas intensity of energy used in maritime transport, which is a key aspect of decarbonizing the transport sector.;;;
7;TA4.8; Member States with maritime ports shall endeavour to ensure that as of 2030 the share of renewable fuels of non-biological origin (RFNBOs) in the total amount of energy supplied to the maritime transport sector is at least 1.2%.; TA4_Sustainable and smart mobility; Low-carbon fuels; This target is assigned to the Low-carbon fuels sub-theme because it aims to increase the share of renewable fuels of non-biological origin in the maritime transport sector, which is a key aspect of decarbonizing the transport sector.;;;
8;TA5.11; Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Biodiversity conservation; This target is assigned to the Biodiversity conservation sub-theme because it aims to conserve and restore natural resources, preserve biodiversity, and reduce biodiversity loss, which are key aspects of environmental protection and sustainable development.;;;
9;TA5.35; Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Food quality; This target is assigned to the Food quality sub-theme because it aims to strengthen the resilience of the EU food system, build up resilience to climate change, and increase the sustainability of food producers, which are key aspects of food quality and security.;;;
10;TA6.30; Marine ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of sea areas in need of restoration and, by 2050, all ecosystems in need of restoration.; TA6_Preserving and protecting biodiversity; Marine Ecosystem Restoration; This target is assigned to the Marine Ecosystem Restoration sub-theme because it aims to restore marine ecosystems, which is a key aspect of preserving and protecting biodiversity.;;;
11;TA6.36; (urban ecosystems) By 2030, Member States shall ensure that there is no net loss in the total national area of urban green space, and of urban tree canopy cover in urban ecosystem areas.; TA6_Preserving and protecting biodiversity; Biodiversity Protection & Conservation - Urban Nature; This target is assigned to the Biodiversity Protection & Conservation - Urban Nature sub-theme because it aims to protect and restore urban green spaces and tree canopy cover, which are key aspects of urban biodiversity and ecosystem services.;;;
12;TA7.4; The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.; TA7_Towards a zero-pollution ambition for a toxic free environment; Improve Air Quality; This target is assigned to the Improve Air Quality sub-theme because it aims to reduce emissions from industrial installations and intensive farming, which is a key aspect of improving air quality and reducing pollution.;;;
13;TA7.6; Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030; TA7_Towards a zero-pollution ambition for a toxic free environment; Improve Soils Health; This target is assigned to the Improve Soils Health sub-theme because it aims to reduce the use of chemical pesticides, which is a key aspect of improving soil quality and health.;;;
14;TA1.7; Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030; TA1_Climate ambition; Methane; This target is assigned to the Methane sub-theme because it specifically focuses on reducing methane emissions, which is a potent greenhouse gas. The target is also related to climate ambition, as reducing methane emissions is crucial for mitigating climate change.;;;
15;;;;;;;;
16;TA1.13; No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all the land accounting categories.; TA1_Climate ambition; GHG Reduction; This target is assigned to the GHG Reduction sub-theme because it aims to balance greenhouse gas emissions and removals, which is essential for reducing the overall greenhouse gas emissions.;;;
17;;;;;;;;
18;TA1.15; Reduce buildings’ greenhouse gas emissions by 60%, by 2030 (compared to 2015), and reach climate neutrality by 2050; TA1_Climate ambition; GHG Reduction - Buildings; This target is assigned to the GHG Reduction - Buildings sub-theme because it specifically focuses on reducing greenhouse gas emissions from buildings, which is a critical sector for achieving climate neutrality.;;;
19;;;;;;;;
20;TA2.15; By 2022, achieve 18% of the total increase in the share of energy from renewable sources between that Member State’s binding 2020 national target, and its contribution to the 2030 target of the share of energy from renewable sources in gross final consumption of energy. Achieve 43% by 2025, 65% by 2027.; TA2_Clean, affordable and secure energy; Renewable Energy; This target is assigned to the Renewable Energy sub-theme because it aims to increase the share of energy from renewable sources, which is essential for achieving a clean and secure energy system.;;;
21;;;;;;;;
22;TA3.17; Producers of LMT batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: - 51% by 31 December 2028; - 61% by 31 December 2031.; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Critical Raw Materials - Batteries Recycling; This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it focuses on the collection and recycling of lithium-ion batteries, which is critical for achieving a circular economy.;;
23;;;;;;;;
24;TA3.24; Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020; TA3_Industrial strategy for a clean and circular economy; Waste Reduction - Food Waste; This target is assigned to the Waste Reduction - Food Waste sub-theme because it aims to reduce food waste in processing and manufacturing, which is essential for achieving a circular economy.;;;
25;;;;;;;;
26;TA3.28; The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component; (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles; (iii) 30% for single use plastic beverage bottles; (iv) 35% for other plastic packaging; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Plastic & Packaging; This target is assigned to the Circularity/Recycling - Plastic & Packaging sub-theme because it focuses on increasing the use of recycled content in plastic packaging, which is essential for achieving a circular economy.
27;;;;;;;;
28;TA3.29; Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter.; TA3_Industrial strategy for a clean and circular economy; Waste Reduction - Plastic & Packaging; This target is assigned to the Waste Reduction - Plastic & Packaging sub-theme because it aims to reduce the consumption of lightweight plastic carrier bags, which is essential for reducing plastic waste.;;;
29;;;;;;;;
30;TA3.31; Member States shall take the necessary measures to attain the recycling targets of 65% by weight of all packaging waste generated by 31 December 2025, and of 70% by weight of all packaging waste generated by 31 December 2030.; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Municipal Waste; This target is assigned to the Circularity/Recycling - Municipal Waste sub-theme because it focuses on increasing the recycling rate of packaging waste, which is essential for achieving a circular economy.;;;
31;;;;;;;;
32;TA3.36; Member States shall take the necessary measures to attain a recycling target of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025 and of 75% by 31 December 2030; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Municipal Waste; This target is assigned to the Circularity/Recycling - Municipal Waste sub-theme because it focuses on increasing the recycling rate of glass packaging waste, which is essential for achieving a circular economy.;;;
33;;;;;;;;
