target_code;target_content;thematic_area;sub_theme;justification;
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme as it directly aims to reduce greenhouse gas emissions. The target is specific to the reduction of net GHG emissions by 55% compared to 1990 levels by 2030.;
;;;;;
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2045;TA1_Climate ambition;GHG Reduction - Methane;This target is assigned to the GHG Reduction - Methane sub-theme because reaching energy neutrality in the wastewater treatment sector would likely involve reducing methane emissions. Energy neutrality implies minimizing energy consumption and potentially utilizing renewable energy sources.;
;;;;;
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;TA1_Climate ambition;GHG Removal;This target is assigned to the GHG Removal sub-theme as it focuses on achieving net greenhouse gas removal through the LULUCF sector. The target specifies an amount of CO2 equivalent per year to be removed.;
;;;;;
TA2.14;Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025 and by at least 1.1 percentage points as an annual average calculated for the period 2026 to 2030;TA2_Clean, affordable and secure energy;Renewable Energy - Heating & Cooling;This target is assigned to the Renewable Energy - Heating & Cooling sub-theme because it specifically addresses the increase in the share of renewable energy in the heating and cooling sector. The target sets annual average increases for two periods.;
;;;;;
TA3.38;Each vehicle belonging to a vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of this Regulation] under Regulation (EU) 2018/858 shall be constructed so that it is: (a) reusable/recyclable to a minimum of 85% by mass; (b) reusable/recoverable to a minimum of 95 % by mass;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Vehicle Circularity;This target is assigned to the Circularity/Recycling - Vehicle Circularity sub-theme as it focuses on the recyclability and recoverability of vehicles. The target sets specific percentages for reusability and recoverability.
;;;;;
TA3.52;At least 20% of the carbon used in the chemical and plastic products should be from sustainable non-fossil sources by 2030;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it involves the use of sustainable non-fossil sources in chemical and plastic products, which could include recycling of critical raw materials like those used in batteries.;
;;;;;
TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles [...], off-road vehicles and off-road special purpose vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;This target is assigned to the Net-Zero Technology - Road Vehicles sub-theme as it directly addresses the reduction of CO2 emissions from new heavy-duty motor vehicles and other vehicles. The target sets specific percentages for reduction.;
;;;;;
TA4.27;Member States shall ensure that, by 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 60 km between them;TA4_Sustainable and smart mobility;Electric Vehicle Infrastructure;This target is assigned to the Electric Vehicle Infrastructure sub-theme because it focuses on the deployment of publicly accessible recharging pools for heavy-duty electric vehicles along the TEN-T core road network.;
;;;;;
TA4.31;Member States shall ensure that, by 31 December 2030, publicly accessible hydrogen refuelling stations with a total capacity of at least 1 tonne per day, and equipped with at least a 700 bar dispenser, are deployed at least every 200 km along the TEN-T (Trans-European Transport Network) core network;TA4_Sustainable and smart mobility;Renewable Hydrogen;This target is assigned to the Renewable Hydrogen sub-theme as it involves the deployment of hydrogen refuelling stations along the TEN-T core network. The target specifies the capacity and equipment requirements for these stations.;
;;;;;
TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050;TA4_Sustainable and smart mobility;Low-carbon fuels;This target is assigned to the Low-carbon fuels sub-theme because it addresses the use of Sustainable Aviation Fuel (SAF) in aviation. The target sets specific percentages of SAF to be used over time.;
;;;;;
TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;This target is assigned to the Food quality - Healthy Food sub-theme as it focuses on providing consumers with information to make healthy and sustainable food choices. The target involves food messaging and labelling.;
;;;;;
TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Forests;This target is assigned to the Biodiversity Protection & Conservation - Forests sub-theme because it specifically addresses the protection of primary and old-growth forests. The target aims for strict protection of these forests.;
;;;;;
TA6.41;Marine ecosystems. Member States shall put in place the restoration measures [...] to improve [...] areas of habitat types listed in Annex II which are not in good condition;TA6_Preserving and protecting biodiversity;Marine Ecosystem Restoration;This target is assigned to the Marine Ecosystem Restoration sub-theme as it involves the restoration of marine ecosystems, specifically areas of habitat types listed in Annex II that are not in good condition.;
;;;;;
TA6.62;The Water Reuse Regulation aim to encourage and facilitate water reuse in the EU by harmonised minimum water quality requirements for the safe reuse of treated urban wastewaters in agricultural irrigation;TA6_Preserving and protecting biodiversity;Improve Water Quality;This target is assigned to the Improve Water Quality sub-theme because it focuses on water reuse and setting minimum water quality requirements for safe reuse in agricultural irrigation.;
;;;;;
TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;TA6_Preserving and protecting biodiversity;Pesticides Reduction;This target is assigned to the Pesticides Reduction sub-theme as it directly addresses the reduction of chemical pesticides and more hazardous pesticides. The target sets specific percentages for reduction.;
;;;;;
TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD to improve and maintain access to sanitation for all, in particular for vulnerable and marginalised groups, while aligning with the ZPAP and EGD climate and energy objectives;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;This target is assigned to the Improve Water Quality sub-theme because it involves improving access to sanitation and wastewater treatment, aligning with pollution and climate objectives.;
;;;;;
TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030 (compared to 2017);TA7_Towards a zero-pollution ambition for a toxic free environment;Noise Reduction;This target is assigned to the Noise Reduction sub-theme as it specifically addresses reducing the share of people disturbed by transport noise. The target sets a percentage for reduction by 2030.;
;;;;;
