target_code;thematic_area;sub_theme;;;;;;;;target_content;justification;
TA1.10;TA1_Climate ambition;GHG;;;;;;;;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005;This target is assigned to Greenhouse Gas Emissions as it directly addresses the reduction of emissions in various sectors.;
TA1.10;TA1_Climate ambition;Emission Reduction;;;;;;;;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005;This target is also assigned to Emission Reduction as it aims to reduce emissions by a specific percentage.;
TA1.11;TA1_Climate ambition;Emission Reduction;;;;;;;;ESR. Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);This target is assigned to Emission Reduction as it aims to increase national targets for reducing emissions.;
TA1.11;TA1_Climate ambition;GHG;;;;;;;;ESR. Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);This target is also assigned to Greenhouse Gas Emissions as it addresses the reduction of emissions in various sectors.;
TA1.1;TA1_Climate ambition;Greenhouse Gas Emissions Reduction;;;;;;;;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;This target is assigned to Greenhouse Gas Emissions Reduction as it directly aims to reduce net GHG emissions.;
TA1.2;TA1_Climate ambition;Climate Neutrality;;;;;;;;Achieve climate neutrality by 2050;This target is assigned to Climate Neutrality as it aims to achieve a balance between GHG emissions and removals.;
TA1.3;TA1_Climate ambition;Energy Efficiency;;;;;;;;Reach energy neutrality in the wastewater treatment sector by 2045;This target is assigned to Energy Efficiency as it aims to reduce energy consumption in the wastewater treatment sector.;
TA1.7;TA1_Climate ambition;Reducing GHG;;;;;;;;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;"This target is assigned to the sub-theme ""Reducing Greenhouse Gas Emissions"" because it specifically aims to decrease methane emissions, a potent greenhouse gas.";The target is also related to climate ambition, as reducing methane emissions contributes to the overall goal of mitigating climate change.
TA1.7;TA1_Climate ambition;Improving Energy Efficiency;;;;;;;;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;"This target is also assigned to the sub-theme ""Improving Energy Efficiency"" because reducing methane emissions can be achieved through more efficient use of energy, especially in the energy sector.";Methane emissions are often a result of inefficient energy production and use, so improving energy efficiency can help reduce these emissions.
TA1.9;TA1_Climate ambition;Carbon Pricing;;;;;;;;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005 (increasing the linear emissions reduction factor from 2.2% per year up to 4.4%), by 2030;"This target is assigned to the sub-theme ""Carbon Pricing"" because it involves the EU ETS, which is a carbon pricing mechanism.";The target aims to increase the ambition of the EU ETS by increasing the linear emissions reduction factor, which will lead to a greater reduction in greenhouse gas emissions.
TA1.9;TA1_Climate ambition;Reducing GHG;;;;;;;;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005 (increasing the linear emissions reduction factor from 2.2% per year up to 4.4%), by 2030;"This target is also assigned to the sub-theme ""Reducing Greenhouse Gas Emissions"" because it aims to reduce emissions from sectors covered by the EU ETS.";The increased ambition of the EU ETS will lead to a greater reduction in greenhouse gas emissions, contributing to the overall goal of mitigating climate change.
TA1.1;TA1_Climate ambition;GHG;;;;;;;;Reduce greenhouse gas emissions by at least 55% by 2030;"This target is assigned to the sub-theme ""Greenhouse Gas Emissions Reduction"" because it directly aims to reduce emissions.";
TA1.2;TA1_Climate ambition;Climate Neutrality;;;;;;;;Achieve climate neutrality by 2050;"This target is assigned to the sub-theme ""Climate Neutrality"" because it sets a long-term goal for the EU to become climate neutral.";
TA2.3;TA2_Clean, affordable and secure energy;Renewable Energy;;;;;;;;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60% by 2035.;This target is assigned to Renewable Energy as it promotes the use of renewable fuels.;
TA2.3;TA2_Clean, affordable and secure energy;Hydrogen Production;;;;;;;;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60% by 2035.;This target is also assigned to Hydrogen Production as it addresses the use of hydrogen in industry.;
TA2.6;TA2_Clean, affordable and secure energy;Solar Energy;;;;;;;;Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%);This target is assigned to Solar Energy as it promotes the use of solar heat.;
TA2.6;TA2_Clean, affordable and secure energy;Geothermal Energy;;;;;;;;Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%);This target is also assigned to Geothermal Energy as it addresses the use of geothermal energy.;
TA2.7;TA2_Clean, affordable and secure energy;Solar Energy;;;;;;;;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan.;This target is assigned to Solar Energy as it promotes the installation of PV.;
