target_code;target_content;thematic_area;sub_theme;sub_theme_justification
TA3.4;By 2030 textile products placed on the EU market are long-lived and recyclable, to a great extent made of recycled fibres, free of hazardous substances and produced in respect of social rights and the environment;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Textile Waste;This target is assigned to Circularity/Recycling - Textile Waste as it specifically mentions the recycling and recyclability of textile products.
TA1.1;Climate Neutrality (2040 target under discussion);TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme as it directly mentions climate neutrality, which is a key aspect of reducing greenhouse gas emissions.
TA1.1;Climate Neutrality (2040 target under discussion);TA1_Climate ambition;Climate Resilience;This target is also assigned to the Climate Resilience sub-theme as achieving climate neutrality is essential for building a climate-resilient society.
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme as it specifically mentions emission reductions in various sectors.
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;TA1_Climate ambition;GHG Reduction - Buildings;This target is also assigned to the GHG Reduction - Buildings sub-theme as it mentions emission reductions in the buildings sector.
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;TA1_Climate ambition;GHG Reduction - Transports;This target is also assigned to the GHG Reduction - Transports sub-theme as it mentions emission reductions in the road transport sector.
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme as it mentions an EU-wide reduction in greenhouse gas emissions.
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);TA1_Climate ambition;GHG Reduction - Buildings;This target is also assigned to the GHG Reduction - Buildings sub-theme as it mentions emission reductions in the buildings sector.
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);TA1_Climate ambition;GHG Reduction - Transports;This target is also assigned to the GHG Reduction - Transports sub-theme as it mentions emission reductions in the transport sector.
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;TA1_Climate ambition;GHG Removal;This target is assigned to the GHG Removal sub-theme as it specifically mentions net greenhouse gas removal.
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions  from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme as it mentions limiting greenhouse gas emissions.
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme as it mentions limiting greenhouse gas emissions.
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;TA1_Climate ambition;GHG Reduction - Buildings;This target is assigned to the GHG Reduction - Buildings sub-theme as it specifically mentions reducing greenhouse gas emissions from buildings.
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;TA1_Climate ambition;Methane;This target is assigned to the Methane sub-theme as it specifically mentions reducing methane emissions.
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;TA1_Climate ambition;GHG Reduction;This target is also assigned to the GHG Reduction sub-theme as it mentions reducing greenhouse gas emissions.
TA2.1;Renewable hydrogen will be key to replace natural gas, coal and oil in hard-to-decarbonise industries and transport. REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;TA2_Clean, affordable and secure energy;Renewable Energy - Hydrogen;This target is assigned to the Renewable Energy - Hydrogen sub-theme as it specifically mentions renewable hydrogen production and imports.
TA2.1;Renewable hydrogen will be key to replace natural gas, coal and oil in hard-to-decarbonise industries and transport. REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is also assigned to the Energy Efficiency sub-theme as it mentions replacing fossil fuels with renewable energy.
TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5 % of newly installed renewable energy capacity by 2030;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to the Renewable Energy sub-theme as it mentions increasing the share of renewable energy.
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects,  by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to the Renewable Energy sub-theme as it mentions cooperation on joint projects for renewable energy production.
TA2.12;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1,6 percentage points as an annual average calculated for the periods 2021 to 2025 and 2026 to 2030.;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to the Renewable Energy sub-theme as it mentions increasing the share of renewable energy in the industry sector.
TA2.13;Each Member State shall set an obligation on fuel suppliers to ensure that: (a) the amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or i) greenhouse gas intensity reduction of at least 14,5 % by 2030, compared to the baseline set out in Article 27(1), point (b), in accordance with an indicative trajectory set by the Member State,;TA2_Clean, affordable and secure energy;Renewable Energy - Transports;This target is assigned to the Renewable Energy - Transports sub-theme as it specifically mentions increasing the share of renewable energy in the transport sector.
TA2.14;Member States shall endeavour to increase the share of energy from renewable sources and from waste heat and cold in district heating and cooling by an indicative 2,2 percentage points as an annual average calculated for the period 2021 to 2030, starting from the share of energy from renewable sources and from waste heat and cold in district heating and cooling in 2020;TA2_Clean, affordable and secure energy;Renewable Energy - Heating & Cooling;This target is assigned to the Renewable Energy - Heating & Cooling sub-theme as it mentions increasing the share of renewable energy in district heating and cooling.
