target_code;target_content;thematic_area;sub_theme;justification
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme because it directly aims to reduce greenhouse gas emissions. The target's focus on reducing emissions by a specific percentage makes it a clear fit for this sub-theme.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA1_Climate ambition;Climate Resilience;This target is also assigned to the Climate Resilience sub-theme because reducing GHG emissions is a key aspect of building climate resilience.
TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;TA1_Climate ambition;Methane;This target is assigned to the Methane sub-theme because it specifically focuses on reducing methane emissions.
TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;TA1_Climate ambition;GHG Reduction;This target is also assigned to the GHG Reduction sub-theme because methane is a potent greenhouse gas, and reducing its emissions contributes to overall GHG reduction.
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2045.;TA1_Climate ambition;Energy Efficiency;This target is assigned to the Energy Efficiency sub-theme because achieving energy neutrality in the wastewater treatment sector implies reducing energy consumption and increasing energy efficiency.
TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme because it aims to reduce emissions from sectors covered by the EU ETS.
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA1_Climate ambition;GHG Reduction - Buildings;This target is assigned to the GHG Reduction - Buildings sub-theme because it specifically mentions reducing emissions from the buildings sector.
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA1_Climate ambition;GHG Reduction - Transports;This target is also assigned to the GHG Reduction - Transports sub-theme because it mentions reducing emissions from the road transport sector.
TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme because it aims to reduce emissions across various sectors.
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;TA1_Climate ambition;GHG Removal;This target is assigned to the GHG Removal sub-theme because it focuses on achieving net greenhouse gas removals through land use, land use change, and forestry.
TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals;TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme because it aims to balance emissions with removals, effectively reducing net emissions.
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;TA1_Climate ambition;GHG Reduction - Buildings;This target is assigned to the GHG Reduction - Buildings sub-theme because it specifically focuses on reducing greenhouse gas emissions from buildings.
TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;TA2_Clean, affordable and secure energy;Renewable Energy - Hydrogen Production;This target is assigned to the Renewable Energy - Hydrogen sub-theme because it specifically mentions renewable hydrogen production and imports.
TA2.2;Set up at least one renewables-based energy community in every municipality with a population higher than 10.000 by 2025;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to the Renewable Energy sub-theme because it promotes the setup of renewables-based energy communities.
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030;TA2_Clean, affordable and secure energy;Renewable Energy - Hydrogen Production;This target is assigned to the Renewable Energy - Hydrogen sub-theme because it focuses on the use of renewable fuels of non-biological origin for hydrogen production.
TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;This target is assigned to the Energy Efficiency - Buildings sub-theme because it aims to increase the deployment of heat pumps, which are energy-efficient solutions for heating.
TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030;TA2_Clean, affordable and secure energy;Renewable Energy - Solar;This target is assigned to the Renewable Energy - Solar sub-theme because it specifically focuses on increasing solar photovoltaic capacity.
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple;TA2_Clean, affordable and secure energy;Renewable Energy - Heating & Cooling;This target is assigned to the Renewable Energy - Heating & Cooling sub-theme because it mentions increasing the use of solar heat and geothermal energy for heating and cooling.
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables;TA2_Clean, affordable and secure energy;Renewable Energy - Solar;This target is assigned to the Renewable Energy - Solar sub-theme because it specifically mentions installing PV capacity to increase the share of renewable energy.
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to the Renewable Energy sub-theme because it aims to increase the overall share of energy from renewable sources.
TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5% of newly installed renewable energy capacity by 2030;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to the Renewable Energy sub-theme because it promotes the development and installation of innovative renewable energy technologies.
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to the Renewable Energy sub-theme because it aims to foster cooperation among member states for the production of renewable energy.
