;source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;justification;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Food quality;+;The reduction of GHG emissions in the agriculture sector can lead to improved food quality by reducing the use of synthetic fertilizers and pesticides, which can contaminate food products. This can also promote more sustainable agricultural practices, resulting in healthier and more nutritious food.;Waste Reduction - Municipal Waste;TA3.1,TA3.30;Improve Air Quality;Reducing municipal waste can lead to a decrease in air pollution, as waste management practices such as landfilling and incineration release harmful pollutants into the air. Improved waste reduction strategies can mitigate these effects, contributing to better air quality.;Circularity/Recycling;The implementation of GHG reduction targets can lead to increased demand for recycled materials, promoting circularity and recycling. This is because GHG reduction targets often involve the use of renewable energy sources, which can be complemented by recycling and circular economy practices.;Waste Reduction;Terrestrial Ecosystems Restoration;Reducing waste can lead to a decrease in the amount of waste sent to landfills, which in turn can help restore terrestrial ecosystems by reducing pollution and preserving natural habitats. This can also contribute to the restoration of rivers and forests, as well as the protection of biodiversity.;Renewable Energy;TA2.1,TA2.10,TA2.11,TA2.13,TA2.15,TA2.16,TA2.2,TA2.23,TA2.37,TA2.39,TA2.5,TA2.7,TA2.9;Net-Zero Technology - Road Vehicles;The implementation of renewable energy targets can positively influence the development of net-zero technology for road vehicles by increasing the availability of renewable energy sources for electric vehicles.;TA6.11,TA6.13,TA6.14,TA6.33;Urban Mobility;The restoration of terrestrial ecosystems can lead to increased carbon sequestration, which in turn can support the development of urban mobility solutions that rely on low-carbon technologies. Additionally, restored ecosystems can provide ecosystem services that benefit urban areas, such as air and water filtration, which can improve the overall quality of life for urban residents.;TA6.11,TA6.14,TA6.33,TA6.40;Restoring terrestrial ecosystems can lead to increased waste reduction in municipal areas, as restored ecosystems can help filter and process waste more efficiently. This can also lead to a reduction in waste sent to landfills, aligning with the goals of waste reduction in municipal waste.;The restoration of terrestrial ecosystems can lead to increased carbon sequestration, which can positively impact the development and use of renewable energy sources by reducing greenhouse gas emissions and mitigating climate change. This synergy can enhance the effectiveness of renewable energy technologies.
0;Waste Reduction;TA3.1,TA3.30;Transport Logistics;-;The reduction of waste, particularly in the transport sector, can lead to a decrease in the demand for transportation services, potentially negatively impacting the transport logistics sub-theme.;;;;;;;;;;;;;;;;;;;;;;;;
1;Waste Reduction - Municipal Waste;TA3.1,TA3.30;Urban Mobility;-;Effective waste reduction in municipal areas can lead to a decrease in the need for waste transportation, potentially reducing the demand for urban mobility services.;;;;;;;;;;;;;;;;;;;;;;;;
2;Circularity/Recycling;TA3.12,TA3.13,TA3.15,TA3.16,TA3.17,TA3.18,TA3.19,TA3.20,TA3.21,TA3.22,TA3.23;Net-Zero Technology - Road Vehicles;+;The development of circular economy practices and recycling technologies can lead to the creation of new materials and resources that can be used in the production of net-zero technology road vehicles.;;;;;;;;;;;;;;;;;;;;;;;;
3;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.13,TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Net-Zero Technology - Road Vehicles;+;The recycling of critical raw materials from batteries can provide a sustainable source of materials for the production of net-zero technology road vehicles.;;;;;;;;;;;;;;;;;;;;;;;;
4;Critical Raw Materials - Extraction & Import;TA3.11,TA3.8,TA3.9;Hydrogen Distribution;-;The extraction and import of critical raw materials can have negative environmental and social impacts, potentially conflicting with the goals of hydrogen distribution, which aims to promote sustainable and environmentally-friendly transportation.;;;;;;;;;;;;;;;;;;;;;;;;
5;Net-Zero Technology - Manufacturing;TA3.12;Other Low-Carbon Fuels;-;The development of net-zero technology manufacturing can lead to a decrease in the demand for other low-carbon fuels, potentially negatively impacting the other low-carbon fuels sub-theme.;;;;;;;;;;;;;;;;;;;;;;;;
6;Waste Reduction - Plastic & Packaging;TA3.27,TA3.28,TA3.29;Biofuels;-;The reduction of plastic and packaging waste can lead to a decrease in the demand for biofuels, which are often used to produce plastics and packaging materials.;;;;;;;;;;;;;;;;;;;;;;;;
7;Circularity/Recycling - Plastic & Packaging;TA3.29,TA3.32,TA3.48,TA3.51,TA3.52;Urban Mobility;+;The development of circular economy practices and recycling technologies for plastic and packaging can lead to the creation of new materials and resources that can be used in urban mobility services, promoting sustainable transportation.;;;;;;;;;;;;;;;;;;;;;;;;
8;Food quality;TA5.12,TA5.15,TA5.6,TA5.9;Biodiversity Protection & Conservation;+;The implementation of targets related to food quality, such as reducing the environmental impact of food production, can positively influence biodiversity protection and conservation by promoting sustainable agricultural practices and reducing pollution. This can lead to a healthier environment and preserved ecosystems.;;;;;;;;;;;;;;;;;;;;;;;;
9;Food quality - Animal Welfare;TA5.2,TA5.25;Biodiversity Protection & Conservation - Fisheries;+;Improving animal welfare in the food sector can have a positive impact on biodiversity protection and conservation in fisheries, as it promotes more sustainable and responsible fishing practices, reducing the risk of overfishing and protecting marine ecosystems.;;;;;;;;;;;;;;;;;;;;;;;;
10;Food affordability;TA5.19,TA5.29,TA5.30,TA5.32;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;-;The pursuit of affordable food can lead to increased pressure on agricultural ecosystems, potentially resulting in deforestation, soil degradation, and loss of biodiversity, which can negatively impact terrestrial ecosystems restoration efforts in agricultural ecosystems.;;;;;;;;;;;;;;;;;;;;;;;;
11;Pesticides Reduction;TA5.4,TA5.5;Biodiversity Protection & Conservation;+;Reducing pesticide use can have a positive impact on biodiversity protection and conservation, as it decreases the harmful effects of pesticides on ecosystems, allowing for the recovery of affected species and the preservation of ecosystem services.;;;;;;;;;;;;;;;;;;;;;;;;
12;Competitive Agriculture;TA5.17,TA5.18,TA5.20,TA5.35;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;Promoting competitive agriculture can lead to more sustainable and efficient farming practices, which can positively influence terrestrial ecosystems restoration in agricultural ecosystems by reducing the environmental impact of agriculture and promoting ecosystem services.;;;;;;;;;;;;;;;;;;;;;;;;
13;Food quality - Healthy Food;TA5.27,TA5.31,TA5.33,TA5.34;Biodiversity Protection & Conservation - Urban Nature;+;The promotion of healthy food can lead to increased demand for sustainable and locally sourced products, which can positively impact urban nature and biodiversity conservation by promoting green spaces, urban agriculture, and reducing the environmental impact of food systems.;;;;;;;;;;;;;;;;;;;;;;;;
14;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Biofuels;+;The implementation of GHG reduction targets in the energy sector can lead to an increased demand for biofuels, which can help reduce greenhouse gas emissions in the transportation sector. This can create a positive synergy between the two sub-themes.;;;;;;;;;;;;;;;;;;;;;;;;
15;GHG Reduction - Transports;TA1.10,TA4.15,TA4.3,TA4.9,TA4.32;Transport Logistics;-;The reduction of GHG emissions in the transportation sector can lead to a decrease in the demand for traditional transportation fuels, which can negatively impact the transport logistics sub-theme. This can create a trade-off between the two sub-themes.;;;;;;;;;;;;;;;;;;;;;;;;
16;GHG Removal;TA1.12;Hydrogen Distribution;+;The implementation of GHG removal targets can lead to an increased demand for hydrogen, which can be distributed through the hydrogen distribution sub-theme. This can create a positive synergy between the two sub-themes.;;;;;;;;;;;;;;;;;;;;;;;;
17;GHG Reduction - Buildings;TA1.10,TA1.15;Urban Mobility;-;The reduction of GHG emissions in the building sector can lead to a decrease in the demand for traditional energy sources, which can negatively impact the urban mobility sub-theme. This can create a trade-off between the two sub-themes.;;;;;;;;;;;;;;;;;;;;;;;;
18;Climate Resilience;TA1.3,TA1.6;Net-Zero Technology - Road Vehicles;+;The implementation of climate resilience targets can lead to an increased demand for net-zero technology in the road vehicle sector, which can help reduce greenhouse gas emissions. This can create a positive synergy between the two sub-themes.;;;;;;;;;;;;;;;;;;;;;;;;
19;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Other Low-Carbon Fuels;+;The implementation of GHG reduction targets in the energy sector can lead to an increased demand for other low-carbon fuels, which can help reduce greenhouse gas emissions. This can create a positive synergy between the two sub-themes.;;;;;;;;;;;;;;;;;;;;;;;;
20;;;;;;GHG Reduction - Buildings;TA1.10,TA1.15;Food affordability;-;The implementation of energy-efficient measures in buildings can lead to increased costs for low-income households, potentially affecting their ability to afford food. This can exacerbate existing social and economic inequalities, making it more challenging for vulnerable populations to access nutritious food.;;;;;;;;;;;;;;;;;;;
21;;;;;;GHG Reduction - Transports;TA1.10,TA4.15,TA4.3,TA4.9,TA4.32,TA4.33,TA4.34;Food affordability;-;The transition to low-carbon transportation can lead to increased costs for food transportation, potentially affecting food prices and affordability. This can have a disproportionate impact on low-income households, which may already struggle to access affordable and nutritious food.;;;;;;;;;;;;;;;;;;;
22;;;;;;GHG Removal;TA1.12;Competitive Agriculture;+;The implementation of GHG removal technologies, such as carbon capture and storage, can support the development of competitive and sustainable agriculture. By reducing the carbon footprint of agricultural activities, farmers and agricultural businesses can improve their competitiveness in the market and contribute to a more sustainable food system.;;;;;;;;;;;;;;;;;;;
