ta_pairs_nbr;ta_pairs_pairs;model;seed;temperature;system_fingerprint;prompt_tokens;completion_tokens
13;['TA3', 'TA2'];llama-3.3-70b-instruct;;0.1;;77535;720
14;['TA3', 'TA4'];llama-3.3-70b-instruct;;0.1;;77227;554
15;['TA3', 'TA5'];llama-3.3-70b-instruct;;0.1;;78612;736
16;['TA3', 'TA6'];llama-3.3-70b-instruct;;0.1;;78006;665
17;['TA3', 'TA7'];llama-3.3-70b-instruct;;0.1;;76444;649
18;['TA4', 'TA1'];llama-3.3-70b-instruct;;0.1;;76602;859
19;['TA4', 'TA2'];llama-3.3-70b-instruct;;0.1;;77357;381
20;['TA4', 'TA3'];llama-3.3-70b-instruct;;0.1;;77227;451
21;['TA4', 'TA5'];llama-3.3-70b-instruct;;0.1;;78434;492
22;['TA4', 'TA6'];llama-3.3-70b-instruct;;0.1;;77828;594
23;['TA4', 'TA7'];llama-3.3-70b-instruct;;0.1;;76266;575
24;['TA5', 'TA1'];llama-3.3-70b-instruct;;0.1;;77987;561
25;['TA5', 'TA2'];llama-3.3-70b-instruct;;0.1;;78742;548
26;['TA5', 'TA3'];llama-3.3-70b-instruct;;0.1;;78612;563
27;['TA5', 'TA4'];llama-3.3-70b-instruct;;0.1;;78434;405
28;['TA5', 'TA6'];llama-3.3-70b-instruct;;0.1;;79213;463
29;['TA5', 'TA7'];llama-3.3-70b-instruct;;0.1;;77651;452
31;['TA6', 'TA2'];llama-3.3-70b-instruct;;0.1;;78136;576
32;['TA6', 'TA3'];llama-3.3-70b-instruct;;0.1;;78006;642
33;['TA6', 'TA4'];llama-3.3-70b-instruct;;0.1;;77828;656
34;['TA6', 'TA5'];llama-3.3-70b-instruct;;0.1;;79213;613
35;['TA6', 'TA7'];llama-3.3-70b-instruct;;0.1;;77045;823
36;['TA7', 'TA1'];llama-3.3-70b-instruct;;0.1;;75819;513
37;['TA7', 'TA2'];llama-3.3-70b-instruct;;0.1;;76574;700
38;['TA7', 'TA3'];llama-3.3-70b-instruct;;0.1;;76444;817
39;['TA7', 'TA4'];llama-3.3-70b-instruct;;0.1;;76266;883
40;['TA7', 'TA5'];llama-3.3-70b-instruct;;0.1;;77651;723
41;['TA7', 'TA6'];llama-3.3-70b-instruct;;0.1;;77045;668
