;source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
0;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Waste Reduction - Municipal Waste;2;The reduction of GHG emissions can reinforce waste reduction efforts by promoting sustainable practices and reducing the environmental impact of waste management.;The connection between GHG reduction and waste reduction is evident in the EU's circular economy strategy, which aims to reduce waste and promote sustainable consumption.
1;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Circularity/Recycling;2;GHG reduction targets can aid the development of circular economy practices, such as recycling and reuse, by creating a market demand for sustainable products and services.;This connection is supported by the EU's Circular Economy Action Plan, which highlights the importance of reducing GHG emissions in the production and consumption of goods.
2;GHG Reduction - Buildings;TA1.15;Waste Reduction - Municipal Waste;1;The reduction of GHG emissions in buildings can enable waste reduction efforts by promoting the use of sustainable materials and reducing energy consumption.;This connection is evident in the EU's Renovation Wave strategy, which aims to reduce energy consumption and GHG emissions in buildings while promoting sustainable materials and waste reduction.
3;GHG Reduction - Transports;TA1.10,TA1.14;Waste Reduction - Plastic & Packaging;1;The reduction of GHG emissions in transportation can enable the development of sustainable packaging solutions by promoting the use of alternative fuels and reducing energy consumption.;This connection is supported by the EU's Sustainable and Smart Mobility Strategy, which highlights the importance of reducing GHG emissions and promoting sustainable transportation options.
4;GHG Removal;TA1.12;Critical Raw Materials - Extraction & Import;2;The development of GHG removal technologies can reinforce the sustainable extraction and import of critical raw materials by reducing the environmental impact of these activities.;This connection is evident in the EU's Critical Raw Materials Strategy, which aims to promote the sustainable extraction and import of critical raw materials while reducing the environmental impact of these activities.
5;Climate Resilience;TA1.1,TA1.4;Net-Zero Technology - Manufacturing;-1;The development of climate resilience strategies can constrain the development of net-zero technologies by prioritizing short-term climate adaptation measures over long-term technological innovation.;This connection is supported by the EU's Climate Adaptation Strategy, which highlights the importance of prioritizing short-term climate adaptation measures while promoting long-term technological innovation.
6;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Circularity/Recycling - Municipal Waste;2;The reduction of GHG emissions can aid the development of circular economy practices in municipal waste management, such as recycling and composting, by creating a market demand for sustainable products and services.;This connection is supported by the EU's Circular Economy Action Plan, which highlights the importance of reducing GHG emissions in the production and consumption of goods.
7;GHG Reduction - Buildings;TA1.15;Circularity/Recycling - Textile Waste;1;The reduction of GHG emissions in buildings can enable the development of sustainable textile waste management practices, such as recycling and reuse, by promoting the use of sustainable materials and reducing energy consumption.;This connection is evident in the EU's Renovation Wave strategy, which aims to reduce energy consumption and GHG emissions in buildings while promoting sustainable materials and waste reduction.
8;GHG Reduction - Transports;TA1.10,TA1.14;Circularity/Recycling - Plastic & Packaging;1;The reduction of GHG emissions in transportation can enable the development of sustainable packaging solutions, such as biodegradable plastics, by promoting the use of alternative fuels and reducing energy consumption.;This connection is supported by the EU's Sustainable and Smart Mobility Strategy, which highlights the importance of reducing GHG emissions and promoting sustainable transportation options.
9;GHG Removal;TA1.12;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;2;The development of GHG removal technologies can reinforce the recycling of critical raw materials, such as lithium and cobalt, by reducing the environmental impact of these activities.;This connection is evident in the EU's Critical Raw Materials Strategy, which aims to promote the sustainable extraction and import of critical raw materials while reducing the environmental impact of these activities.
