source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Transport Logistics;+2;The reduction of greenhouse gas emissions can aid the achievement of targets related to transport logistics, such as reducing emissions from transportation and promoting sustainable transportation methods.
Pesticides Reduction;TA5.2,TA5.4,TA5.5;Food quality;+2;Reducing pesticide use can improve food quality by decreasing the amount of harmful chemicals in food products, which in turn can have positive effects on human health and the environment.
Competitive Agriculture;TA5.12,TA5.14,TA5.20,TA5.21,TA5.23;Food affordability;+1;Promoting competitive agriculture can enable the production of high-quality food at lower costs, making it more affordable for consumers and contributing to food security.
Food affordability;TA5.19,TA5.30,TA5.32,TA5.35;Food quality - Healthy Food;+1;Ensuring food affordability can have a positive impact on food quality, as consumers are more likely to choose healthier and more sustainable food options when they are affordable.
Pesticides Reduction;TA5.2,TA5.4,TA5.5;Food quality - Animal Welfare;+2;Reducing pesticide use can also improve animal welfare by decreasing the exposure of animals to harmful chemicals and promoting more sustainable farming practices.
Competitive Agriculture;TA5.12,TA5.14,TA5.20,TA5.21,TA5.23;Rail;+1;Promoting competitive agriculture can lead to increased demand for rail transportation, as it is a more efficient and environmentally friendly way to transport goods, which can in turn support the development of rail infrastructure.
Food quality;TA5.30,TA5.32;Net-Zero Technology - Road Vehicles;+1;Improving food quality can be enabled by the development of net-zero technology in road vehicles, which can reduce transportation emissions and promote more sustainable food systems.
Food quality - Healthy Food;TA5.26,TA5.27,TA5.28,TA5.29;Urban Mobility;+1;Promoting healthy food options can be supported by urban mobility initiatives, such as bike-sharing systems and pedestrian-friendly infrastructure, which can increase access to healthy food and reduce transportation emissions.
Pesticides Reduction;TA5.2,TA5.4,TA5.5;Biofuels;+2;Reducing pesticide use can promote the development of biofuels, as it can lead to increased demand for sustainable and environmentally friendly energy sources.
Competitive Agriculture;TA5.12,TA5.14,TA5.20,TA5.21,TA5.23;Hydrogen Distribution;+1;Promoting competitive agriculture can lead to increased demand for hydrogen distribution, as it is a clean and efficient way to power agricultural equipment and transportation.
Food affordability;TA5.19,TA5.30,TA5.32,TA5.35;Other Low-Carbon Fuels;+1;Ensuring food affordability can promote the development of other low-carbon fuels, such as biogas and renewable natural gas, which can be used to power agricultural equipment and transportation.
