ta_pairs_nbr;ta_pairs_pairs;model;seed;temperature;system_fingerprint;prompt_tokens;completion_tokens
0;['TA1', 'TA2'];llama-3.3-70b-instruct;;0.1;;76686;602
1;['TA1', 'TA3'];llama-3.3-70b-instruct;;0.1;;76843;467
2;['TA1', 'TA4'];llama-3.3-70b-instruct;;0.1;;77873;511
3;['TA1', 'TA5'];llama-3.3-70b-instruct;;0.1;;78654;512
4;['TA1', 'TA6'];llama-3.3-70b-instruct;;0.1;;77261;608
5;['TA1', 'TA7'];llama-3.3-70b-instruct;;0.1;;76213;569
6;['TA2', 'TA1'];llama-3.3-70b-instruct;;0.1;;76686;713
7;['TA2', 'TA3'];llama-3.3-70b-instruct;;0.1;;77862;602
8;['TA2', 'TA4'];llama-3.3-70b-instruct;;0.1;;78892;773
9;['TA2', 'TA5'];llama-3.3-70b-instruct;;0.1;;79673;847
10;['TA2', 'TA6'];llama-3.3-70b-instruct;;0.1;;78280;606
15;['TA3', 'TA5'];llama-3.3-70b-instruct;;0.1;;79830;734
16;['TA3', 'TA6'];llama-3.3-70b-instruct;;0.1;;78437;701
17;['TA3', 'TA7'];llama-3.3-70b-instruct;;0.1;;77389;821
18;['TA4', 'TA1'];llama-3.3-70b-instruct;;0.1;;77873;497
19;['TA4', 'TA2'];llama-3.3-70b-instruct;;0.1;;78892;712
20;['TA4', 'TA3'];llama-3.3-70b-instruct;;0.1;;79049;599
21;['TA4', 'TA5'];llama-3.3-70b-instruct;;0.1;;80860;442
22;['TA4', 'TA6'];llama-3.3-70b-instruct;;0.1;;79467;659
23;['TA4', 'TA7'];llama-3.3-70b-instruct;;0.1;;78419;1033
24;['TA5', 'TA1'];llama-3.3-70b-instruct;;0.1;;78654;519
25;['TA5', 'TA2'];llama-3.3-70b-instruct;;0.1;;79673;557
26;['TA5', 'TA3'];llama-3.3-70b-instruct;;0.1;;79830;692
27;['TA5', 'TA4'];llama-3.3-70b-instruct;;0.1;;80860;423
28;['TA5', 'TA6'];llama-3.3-70b-instruct;;0.1;;80248;705
29;['TA5', 'TA7'];llama-3.3-70b-instruct;;0.1;;79200;633
30;['TA6', 'TA1'];llama-3.3-70b-instruct;;0.1;;77261;642
31;['TA6', 'TA2'];llama-3.3-70b-instruct;;0.1;;78280;693
32;['TA6', 'TA3'];llama-3.3-70b-instruct;;0.1;;78437;993
33;['TA6', 'TA4'];llama-3.3-70b-instruct;;0.1;;79467;615
34;['TA6', 'TA5'];llama-3.3-70b-instruct;;0.1;;80248;706
35;['TA6', 'TA7'];llama-3.3-70b-instruct;;0.1;;77807;741
36;['TA7', 'TA1'];llama-3.3-70b-instruct;;0.1;;76213;780
37;['TA7', 'TA2'];llama-3.3-70b-instruct;;0.1;;77232;460
38;['TA7', 'TA3'];llama-3.3-70b-instruct;;0.1;;77389;712
39;['TA7', 'TA4'];llama-3.3-70b-instruct;;0.1;;78419;501
40;['TA7', 'TA5'];llama-3.3-70b-instruct;;0.1;;79200;706
41;['TA7', 'TA6'];llama-3.3-70b-instruct;;0.1;;77807;752
