source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;justification
Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;Food quality - Healthy Food;+;Improving air quality can have a positive impact on food quality, as air pollution can affect crop yields and food safety. Reducing air pollution can lead to healthier food options and improved nutrition.
Improve Water Quality;TA5.8,TA7.1,TA7.14,TA7.15,TA7.2;Food quality;+;Ensuring good water quality is essential for food production, as it affects the safety and quality of the food. Improving water quality can lead to better food quality and reduced risks of water-borne diseases.
Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10;Competitive Agriculture;+;Healthy soils are crucial for sustainable agriculture, and improving soil health can lead to increased crop yields and better nutrient management. This can contribute to a more competitive agriculture sector.
Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10;Food quality - Healthy Food;+;Soil health is closely linked to food quality, as soils with poor health can lead to reduced crop yields and lower nutritional value. Improving soil health can result in healthier and more nutritious food options.
Noise Reduction;TA7.17;-;Food affordability;+;Reducing noise pollution can have a positive impact on food affordability, as it can lead to improved mental health and well-being, which can in turn affect food choices and purchasing decisions.
Social Security - Sanitation;TA7.1,TA7.3;Food quality - Animal Welfare;+;Improving sanitation and hygiene practices can have a positive impact on animal welfare, as it reduces the risk of disease transmission and promotes better living conditions for animals.
Pesticides Reduction;TA5.2,TA5.4,TA5.5,TA6.9,TA7.21;Food quality - Healthy Food;+;Reducing pesticide use can lead to healthier food options, as pesticides can contaminate food and pose health risks to consumers. This can contribute to improved food quality and safety.
Competitive Agriculture;TA5.12,TA5.14,TA5.20,TA5.21;Improve Soils Health;+;Competitive agriculture can contribute to improved soil health, as sustainable agricultural practices can lead to better soil management and reduced erosion. This can result in improved soil fertility and structure.
Food affordability;TA5.19,TA5.30,TA5.32,TA5.35;Improve Water Quality;+;Ensuring access to affordable food can be linked to water quality, as water scarcity can affect food production and prices. Improving water quality can lead to more stable and affordable food systems.
Food quality - Healthy Food;TA5.26,TA5.27,TA5.28,TA5.29;Improve Air Quality;+;Healthy food options can be affected by air quality, as air pollution can impact crop yields and food safety. Improving air quality can lead to healthier food choices and reduced risks of air pollution-related health issues.
