ta_pairs_nbr;ta_pairs_pairs;model;seed;temperature;system_fingerprint;prompt_tokens;completion_tokens
8;['TA2', 'TA4'];llama-3.3-70b-instruct;;0.1;;79275;665
9;['TA2', 'TA5'];llama-3.3-70b-instruct;;0.1;;80046;647
10;['TA2', 'TA6'];llama-3.3-70b-instruct;;0.1;;78646;819
11;['TA2', 'TA7'];llama-3.3-70b-instruct;;0.1;;77604;1163
12;['TA3', 'TA1'];llama-3.3-70b-instruct;;0.1;;77212;618
13;['TA3', 'TA2'];llama-3.3-70b-instruct;;0.1;;78228;683
14;['TA3', 'TA4'];llama-3.3-70b-instruct;;0.1;;79437;576
15;['TA3', 'TA5'];llama-3.3-70b-instruct;;0.1;;80208;532
16;['TA3', 'TA6'];llama-3.3-70b-instruct;;0.1;;78808;487
17;['TA3', 'TA7'];llama-3.3-70b-instruct;;0.1;;77766;892
18;['TA4', 'TA1'];llama-3.3-70b-instruct;;0.1;;78259;735
19;['TA4', 'TA2'];llama-3.3-70b-instruct;;0.1;;79275;713
20;['TA4', 'TA3'];llama-3.3-70b-instruct;;0.1;;79437;809
21;['TA4', 'TA5'];llama-3.3-70b-instruct;;0.1;;81255;821
22;['TA4', 'TA6'];llama-3.3-70b-instruct;;0.1;;79855;903
23;['TA4', 'TA7'];llama-3.3-70b-instruct;;0.1;;78813;3449
24;['TA5', 'TA1'];llama-3.3-70b-instruct;;0.1;;79030;502
25;['TA5', 'TA2'];llama-3.3-70b-instruct;;0.1;;80046;520
26;['TA5', 'TA3'];llama-3.3-70b-instruct;;0.1;;80208;536
27;['TA5', 'TA4'];llama-3.3-70b-instruct;;0.1;;81255;496
28;['TA5', 'TA6'];llama-3.3-70b-instruct;;0.1;;80626;453
29;['TA5', 'TA7'];llama-3.3-70b-instruct;;0.1;;79584;547
30;['TA6', 'TA1'];llama-3.3-70b-instruct;;0.1;;77630;667
31;['TA6', 'TA2'];llama-3.3-70b-instruct;;0.1;;78646;732
32;['TA6', 'TA3'];llama-3.3-70b-instruct;;0.1;;78808;784
33;['TA6', 'TA4'];llama-3.3-70b-instruct;;0.1;;79855;800
34;['TA6', 'TA5'];llama-3.3-70b-instruct;;0.1;;80626;845
35;['TA6', 'TA7'];llama-3.3-70b-instruct;;0.1;;78184;1013
36;['TA7', 'TA1'];llama-3.3-70b-instruct;;0.1;;76588;544
37;['TA7', 'TA2'];llama-3.3-70b-instruct;;0.1;;77604;847
38;['TA7', 'TA3'];llama-3.3-70b-instruct;;0.1;;77766;912
39;['TA7', 'TA4'];llama-3.3-70b-instruct;;0.1;;78813;786
40;['TA7', 'TA5'];llama-3.3-70b-instruct;;0.1;;79584;983
41;['TA7', 'TA6'];llama-3.3-70b-instruct;;0.1;;78184;759
