ta_pairs_nbr;ta_pairs_pairs;model;seed;temperature;system_fingerprint;prompt_tokens;completion_tokens
0;['TA1', 'TA2'];llama-3.3-70b-instruct;;0.1;;77162;590
1;['TA1', 'TA3'];llama-3.3-70b-instruct;;0.1;;77287;633
2;['TA1', 'TA4'];llama-3.3-70b-instruct;;0.1;;78371;628
3;['TA1', 'TA5'];llama-3.3-70b-instruct;;0.1;;79211;380
4;['TA1', 'TA6'];llama-3.3-70b-instruct;;0.1;;77705;630
5;['TA1', 'TA7'];llama-3.3-70b-instruct;;0.1;;77632;572
6;['TA2', 'TA1'];llama-3.3-70b-instruct;;0.1;;77162;657
7;['TA2', 'TA3'];llama-3.3-70b-instruct;;0.1;;78265;859
8;['TA2', 'TA4'];llama-3.3-70b-instruct;;0.1;;79349;670
9;['TA2', 'TA5'];llama-3.3-70b-instruct;;0.1;;80189;766
10;['TA2', 'TA6'];llama-3.3-70b-instruct;;0.1;;78683;1036
11;['TA2', 'TA7'];llama-3.3-70b-instruct;;0.1;;78610;1571
12;['TA3', 'TA1'];llama-3.3-70b-instruct;;0.1;;77287;612
13;['TA3', 'TA2'];llama-3.3-70b-instruct;;0.1;;78265;643
14;['TA3', 'TA4'];llama-3.3-70b-instruct;;0.1;;79474;586
15;['TA3', 'TA5'];llama-3.3-70b-instruct;;0.1;;80314;635
16;['TA3', 'TA6'];llama-3.3-70b-instruct;;0.1;;78808;540
17;['TA3', 'TA7'];llama-3.3-70b-instruct;;0.1;;78735;983
18;['TA4', 'TA1'];llama-3.3-70b-instruct;;0.1;;78371;1095
19;['TA4', 'TA2'];llama-3.3-70b-instruct;;0.1;;79349;1420
20;['TA4', 'TA3'];llama-3.3-70b-instruct;;0.1;;79474;802
21;['TA4', 'TA5'];llama-3.3-70b-instruct;;0.1;;81398;843
22;['TA4', 'TA6'];llama-3.3-70b-instruct;;0.1;;79892;830
23;['TA4', 'TA7'];llama-3.3-70b-instruct;;0.1;;79819;1922
24;['TA5', 'TA1'];llama-3.3-70b-instruct;;0.1;;79211;445
25;['TA5', 'TA2'];llama-3.3-70b-instruct;;0.1;;80189;783
26;['TA5', 'TA3'];llama-3.3-70b-instruct;;0.1;;80314;560
27;['TA5', 'TA4'];llama-3.3-70b-instruct;;0.1;;81398;821
28;['TA5', 'TA6'];llama-3.3-70b-instruct;;0.1;;80732;533
29;['TA5', 'TA7'];llama-3.3-70b-instruct;;0.1;;80659;556
30;['TA6', 'TA1'];llama-3.3-70b-instruct;;0.1;;77705;686
31;['TA6', 'TA2'];llama-3.3-70b-instruct;;0.1;;78683;701
32;['TA6', 'TA3'];llama-3.3-70b-instruct;;0.1;;78808;706
33;['TA6', 'TA4'];llama-3.3-70b-instruct;;0.1;;79892;829
34;['TA6', 'TA5'];llama-3.3-70b-instruct;;0.1;;80732;765
35;['TA6', 'TA7'];llama-3.3-70b-instruct;;0.1;;79153;1010
36;['TA7', 'TA1'];llama-3.3-70b-instruct;;0.1;;77632;672
37;['TA7', 'TA2'];llama-3.3-70b-instruct;;0.1;;78610;617
38;['TA7', 'TA3'];llama-3.3-70b-instruct;;0.1;;78735;571
39;['TA7', 'TA4'];llama-3.3-70b-instruct;;0.1;;79819;491
40;['TA7', 'TA5'];llama-3.3-70b-instruct;;0.1;;80659;728
41;['TA7', 'TA6'];llama-3.3-70b-instruct;;0.1;;79153;509
