source_subtheme;impact_subtheme;impact_type;impact_weight ;justification 
GHG Reduction;GHG Reduction - Buildings;+2;Reinforcing 
GHG Reduction ;GHG Reduction - Transports;+1 ;Enabling 
Waste Reduction ;Waste Reduction - Municipal Waste;-1 ;Constraining 
Waste Reduction ;Waste Reduction - Food Waste;-2 ;Counteracting 
Circularity/Recycling ;Circularity/Recycling - Municipal Waste;+3 ;Indivisible 
Circularity/Recycling ;Circularity/Recycling - Textile Waste;+1 ;Enabling 
Circularity/Recycling ;Circularity/Recycling - Plastic & Packaging;+2 ;Reinforcing 
Circularity/Recycling ;Circularity/Recycling - Vehicle Circularity;-3 ;Cancelling 
Critical Raw Materials ;Critical Raw Materials - Extraction & Import;+1 ;Enabling 
Net-Zero Technology ;Net-Zero Technology - Manufacturing;-2 ;Counteracting 
Climate Resilience ;GHG Reduction;-1 ;Constraining 
GHG Reduction ;GHG Reduction - Buildings;+3 ;Indivisible 
GHG Reduction ;GHG Reduction - Transports;+2 ;Reinforcing 
Waste Reduction ;Waste Reduction - Municipal Waste;-2 ;Counteracting 
Waste Reduction ;Waste Reduction - Food Waste;-1 ;Constraining 
Circularity/Recycling ;Circularity/Recycling - Municipal Waste;+1 ;Enabling 
Circularity/Recycling ;Circularity/Recycling - Textile Waste;+2 ;Reinforcing 
Circularity/Recycling ;Circularity/Recycling - Plastic & Packaging;+3 ;Indivisible 
Circularity/Recycling ;Circularity/Recycling - Vehicle Circularity;-3 ;Cancelling 
Critical Raw Materials ;Critical Raw Materials - Extraction & Import;+1 ;Enabling 
Net-Zero Technology ;Net-Zero Technology - Manufacturing;-2 ;Counteracting 
Climate Resilience ;GHG Reduction;-1 ;Constraining 
GHG Reduction ;GHG Reduction - Buildings;+3 ;Indivisible 
GHG Reduction ;GHG Reduction - Transports;+2 ;Reinforcing 
Waste Reduction ;Waste Reduction - Municipal Waste;-2 ;Counteracting 
Waste Reduction ;Waste Reduction - Food Waste;-1 ;Constraining 
Circularity/Recycling ;Circularity/Recycling - Municipal Waste;+1 ;Enabling 
Circularity/Recycling ;Circularity/Recycling - Textile Waste;+2 ;Reinforcing 
Circularity/Recycling ;Circularity/Recycling - Plastic & Packaging;+3 ;Indivisible 
Circularity/Recycling ;Circularity/Recycling - Vehicle Circularity;-3 ;Cancelling 
Critical Raw Materials ;Critical Raw Materials - Extraction & Import;+1 ;Enabling 
Net-Zero Technology ;Net-Zero Technology - Manufacturing;-2 ;Counteracting 
Climate Resilience ;GHG Reduction;-1 ;Constraining 
GHG Reduction ;GHG Reduction - Buildings;+3 ;Indivisible 
GHG Reduction ;GHG Reduction - Transports;+2 ;Reinforcing 
Waste Reduction ;Waste Reduction - Municipal Waste;-2 ;Counteracting 
Waste Reduction ;Waste Reduction - Food Waste;-1 ;Constraining 
Circularity/Recycling ;Circularity/Recycling - Municipal Waste;+1 ;Enabling 
Circularity/Recycling ;Circularity/Recycling - Textile Waste;+2 ;Reinforcing 
Circularity/Recycling ;Circularity/Recycling - Plastic & Packaging;+3 ;Indivisible 
Circularity/Recycling ;Circularity/Recycling - Vehicle Circularity;-3 ;Cancelling 
Critical Raw Materials ;Critical Raw Materials - Extraction & Import;+1 ;Enabling 
Net-Zero Technology ;Net-Zero Technology - Manufacturing;-2 ;Counteracting 
Climate Resilience ;GHG Reduction;-1 ;Constraining 
GHG Reduction ;GHG Reduction - Buildings;+3 ;Indivisible 
