"source_policydoc";"impact_policydoc";"impact_type";"impact_weight";"justification"
"Directive 2010/75/EU of the European Parliament and of the Council";"On the quality of water intended for human consumption";"+";"+2";"The implementation of the Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD, which can reinforce the implementation of the new CEAP, specifically the target of reducing waste generation."
"Directive 2010/75/EU of the European Parliament and of the Council";"On packaging and packaging waste";"+";"+2";"The UWWTD can also help reduce packaging waste by improving waste management and recycling, which is a key aspect of the CEAP."
"European Industrial Strategy for a globally competitive, green and digital industry";"On the quality of water intended for human consumption";"+";"+1";"The European Industrial Strategy can enable the development of innovative technologies for water treatment and recycling, which can support the implementation of the UWWTD and the reduction of waste generation."
"European Industrial Strategy for a globally competitive, green and digital industry";"On packaging and packaging waste";"+";"+1";"The European Industrial Strategy can also promote the development of sustainable packaging solutions and design for recyclability, which can support the CEAP's target of reducing packaging waste."
"Pathway to a Healthy Planet for All EU Action Plan";"On the quality of water intended for human consumption";"+";"+2";"The Pathway to a Healthy Planet for All EU Action Plan can support the implementation of the UWWTD by promoting a holistic approach to water management and reducing pollution from agricultural runoff and industrial activities."
"Pathway to a Healthy Planet for All EU Action Plan";"On packaging and packaging waste";"+";"+1";"The Pathway to a Healthy Planet for All EU Action Plan can also promote the reduction of packaging waste by encouraging sustainable consumption patterns and design for recyclability."
"European assessment framework for ‘safe and sustainable by design’ chemicals and materials";"On packaging and packaging waste";"+";"+1";"The European assessment framework can support the development of sustainable packaging solutions and design for recyclability, which can support the CEAP's target of reducing packaging waste."
"European assessment framework for ‘safe and sustainable by design’ chemicals and materials";"On the quality of water intended for human consumption";"+";"+1";"The European assessment framework can also promote the development of innovative technologies for water treatment and recycling, which can support the implementation of the UWWTD and the reduction of waste generation."
"Clean Industrial Deal";"On the quality of water intended for human consumption";"+";"+2";"The Clean Industrial Deal can support the implementation of the UWWTD by promoting the development of innovative technologies for water treatment and recycling, and by reducing pollution from industrial activities."
"Clean Industrial Deal";"On packaging and packaging waste";"+";"+1";"The Clean Industrial Deal can also promote the development of sustainable packaging solutions and design for recyclability, which can support the CEAP's target of reducing packaging waste."
"A European strategy for a Climate Neutral Circular Economy";"On packaging and packaging waste";"+";"+2";"A European strategy for a Climate Neutral Circular Economy can support the CEAP's target of reducing packaging waste by promoting sustainable consumption patterns, design for recyclability, and recycling technologies."
"A European strategy for a Climate Neutral Circular Economy";"On the quality of water intended for human consumption";"+";"+1";"A European strategy for a Climate Neutral Circular Economy can also promote the reduction of waste generation and the implementation of the UWWTD by encouraging sustainable water management practices and innovative technologies for water treatment and recycling."
"Farm to Fork Strategy";"On packaging and packaging waste";"+";"+1";"The Farm to Fork Strategy can support the CEAP's target of reducing packaging waste by promoting sustainable packaging solutions and design for recyclability, and by reducing food waste generation."
"Farm to Fork Strategy";"On the quality of water intended for human consumption";"+";"+1";"The Farm to Fork Strategy can also promote the implementation of the UWWTD and the reduction of waste generation by encouraging sustainable water management practices and innovative technologies for water treatment and recycling."
"Directive 2008/98/EC on waste";"On packaging and packaging waste";"+";"+2";"The Directive 2008/98/EC on waste can support the CEAP's target of reducing packaging waste by promoting recycling and reuse of packaging waste, and by setting recycling targets for packaging waste."
"Directive 2008/98/EC on waste";"On the quality of water intended for human consumption";"+";"+1";"The Directive 2008/98/EC on waste can also promote the implementation of the UWWTD and the reduction of waste generation by encouraging sustainable waste management practices and innovative technologies for waste treatment and recycling."
