;source_policydoc;impact_policydoc;impact_type;impact_weight;justification;European Climate Law;European Climate Law.1;+2;The European Climate Law sets a binding target of at least 55% greenhouse gas emissions reduction by 2030, which will likely reinforce the Energy from Renewable Sources target of at least 42.5% of the Union's energy consumption coming from renewable sources by 2030.;A Farm to Fork Strategy;Circular Economy Action Plan;+;2;The implementation of the Circular Economy Action Plan can reinforce the Farm to Fork Strategy by promoting sustainable food systems, reducing food waste, and increasing organic farming, which can aid in achieving the strategy's targets.;"source_policydoc;impact_policydoc;impact_type;impact_weight;justification
EU Biodiversity Strategy for 2030;Directive 2010/75/EU of the European Parliament and of the Council;+;2;The EU Biodiversity Strategy for 2030 aims to protect and restore ecosystems, which can reinforce the implementation of the Directive 2010/75/EU of the European Parliament and of the Council by ensuring that industrial activities do not harm biodiversity.
EU Biodiversity Strategy for 2030;On the quality of water intended for human consumption;+;1;The EU Biodiversity Strategy for 2030 can enable the achievement of the On the quality of water intended for human consumption by protecting aquatic ecosystems.
On Nature Restoration;Pathway to a Healthy Planet for All EU Action Plan;+;3;The On Nature Restoration policy document can significantly aid the Pathway to a Healthy Planet for All EU Action Plan by restoring ecosystems and enhancing biodiversity.
EU Biodiversity Strategy for 2030;European assessment framework for ‘safe and sustainable by design’ chemicals and materials;+;2;The EU Biodiversity Strategy for 2030 can reinforce the European assessment framework for ‘safe and sustainable by design’ chemicals and materials by promoting sustainable practices.
On Nature Restoration;On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;+;1;The On Nature Restoration policy document can enable the On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal by providing data on ecosystem restoration.
EU Biodiversity Strategy for 2030;on ambient air quality and cleaner air for Europe;+;2;The EU Biodiversity Strategy for 2030 can aid the on ambient air quality and cleaner air for Europe by reducing air pollution from industrial activities.
On Nature Restoration;Pathway to a Healthy Planet for All EU Action Plan;+;3;The On Nature Restoration policy document is crucial for the Pathway to a Healthy Planet for All EU Action Plan as it restores ecosystems and promotes biodiversity conservation.
EU Soil Strategy for 2030;On Nature Restoration;+;2;The EU Soil Strategy for 2030 can reinforce the On Nature Restoration by protecting soil health and promoting sustainable land use.
Regulation on plant reproductive material;EU Biodiversity Strategy for 2030;+;1;The Regulation on plant reproductive material can enable the EU Biodiversity Strategy for 2030 by ensuring the use of sustainable plant reproductive materials in agriculture.
Ensuring resilient and sustainable use of EU's natural resources;EU Biodiversity Strategy for 2030;+;3;The Ensuring resilient and sustainable use of EU's natural resources policy document can significantly aid the EU Biodiversity Strategy for 2030 by promoting sustainable resource use and reducing the EU’s ecological footprint.
On Nature Restoration;Regulation on forest reproductive material;+;2;The On Nature Restoration policy document can reinforce the Regulation on forest reproductive material by restoring forests and promoting sustainable forestry practices.
EU Biodiversity Strategy for 2030;On Nature Restoration;+;3;The EU Biodiversity Strategy for 2030 is inextricably linked with the On Nature Restoration, as both aim to protect and restore ecosystems.
On Nature Restoration;On Nature Restoration;+;3;The On Nature Restoration policy document is self-reinforcing, as restoring ecosystems can further enable nature restoration.
On Nature Restoration;EU Biodiversity Strategy for 2030;+;3;The On Nature Restoration policy document can significantly aid the EU Biodiversity Strategy for 2030 by restoring ecosystems and promoting biodiversity conservation.";EU Biodiversity Strategy for 2030;The implementation of the Farm to Fork Strategy's targets on reducing the use of pesticides and fertilizers can reinforce the EU Biodiversity Strategy for 2030's target of protecting and restoring ecosystems and biodiversity, as reducing pollution from agricultural activities can aid in preserving and restoring natural habitats.;Energy from Renewable Sources;On ensuring a level playing field for sustainable air transport;The implementation of the Energy from Renewable Sources target of at least 49% of energy from renewable sources in the building sector in 2030 can reinforce the On ensuring a level playing field for sustainable air transport target of at least 2% of aviation fuels from green by 2030, as increased renewable energy production can lead to lower emissions and support the transition to sustainable air transport.;" ""impact_policydoc""";" ""impact_type""";" ""impact_weight""";" ""justification""";The implementation of the renewable energy targets in the Energy from Renewable Sources policy document can reinforce the EU Biodiversity Strategy for 2030 by promoting sustainable land-use and reducing pollution from fossil fuels, thus creating a favourable environment for biodiversity conservation and restoration.;Concerning batteries and waste batteries;The implementation of the Circular Economy Action Plan can reinforce the targets of Concerning batteries and waste batteries by promoting the recycling and reuse of batteries and waste batteries, thus reducing waste and the demand for primary materials.;On packaging and packaging waste;Reinforcing;The Circular Economy Action Plan aims to reduce packaging waste, which is a key aspect of the 'On packaging and packaging waste' policy document, thereby reinforcing its goals.;The implementation of the Circular Economy Action Plan can reinforce the EU Biodiversity Strategy for 2030 by promoting sustainable consumption patterns, reducing waste, and encouraging the sharing, leasing, and collaborative consumption of products, which can lead to a decrease in the demand for primary materials and help achieve biodiversity conservation targets.;The implementation of the Circular Economy Action Plan can reinforce the Energy from Renewable Sources policy document by promoting sustainable production and consumption patterns, which can lead to increased demand for renewable energy sources.
0;A Farm to Fork Strategy;Energy from Renewable Sources;+;2;The implementation of the Farm to Fork Strategy's targets, such as reducing the use of pesticides and fertilizers, can aid the achievement of the Energy from Renewable Sources' targets, like increasing the share of renewable energy in the energy mix, as sustainable agriculture practices can lead to increased energy production from biomass.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;A Farm to Fork Strategy;On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;1;The Farm to Fork Strategy's focus on sustainable agriculture and reducing waste can create conditions that further the energy efficiency targets, such as reducing energy consumption in buildings, as energy-efficient buildings can be designed with sustainable materials and practices in mind.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;A Farm to Fork Strategy;On packaging and packaging waste;+;1;The Farm to Fork Strategy's emphasis on reducing food waste and promoting sustainable food systems can enable the achievement of the packaging and packaging waste reduction targets, as sustainable food packaging can be designed to minimize waste.;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;A Farm to Fork Strategy;On the Energy Performance of Buildings (recast);+;1;The Farm to Fork Strategy's promotion of sustainable agriculture and food systems can aid the implementation of energy-efficient buildings, as buildings can be designed with energy production from biomass in mind, reinforcing the energy performance of buildings.;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;A Farm to Fork Strategy;REPowerEU Plan;+;2;The Farm to Fork Strategy's targets, such as increasing the use of renewable energy in the energy mix, can reinforce the REPowerEU Plan's objectives, such as increasing renewable energy production, as sustainable agriculture practices can lead to increased renewable energy production from biomass.;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;A Farm to Fork Strategy;EU Solar Energy Strategy;+;2;The Farm to Fork Strategy's focus on sustainable agriculture and reducing waste can aid the achievement of the EU Solar Energy Strategy's targets, such as increasing solar energy production, as sustainable agriculture practices can lead to increased energy production from biomass, which can be used to produce solar energy.;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;A Farm to Fork Strategy;Powering a Climate neutrality economy;+;2;The implementation of the Farm to Fork Strategy's targets can aid the achievement of a climate-neutral economy, as sustainable agriculture practices can lead to increased renewable energy production, reducing greenhouse gas emissions and reliance on fossil fuels.;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;A Farm to Fork Strategy;Delivering on the EU offshore renewable energy ambitions;+;1;The Farm to Fork Strategy's promotion of sustainable food systems and reducing waste can create conditions that further the offshore renewable energy targets, as offshore wind farms can be designed to minimize environmental impact and promote sustainable development.;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Energy from Renewable Sources;A Farm to Fork Strategy;+;2;The Energy from Renewable Sources' targets, such as increasing the share of renewable energy in the energy mix, can aid the achievement of the Farm to Fork Strategy's objectives, such as reducing greenhouse gas emissions from agriculture, as renewable energy can power agricultural processes and reduce emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;On energy efficiency and amending Regulation (EU) 2023/955 (recast);A Farm to Fork Strategy;+;1;The On energy efficiency and amending Regulation (EU) 2023/955 (recast)'s targets, such as reducing energy consumption in buildings, can be facilitated by the Farm to Fork Strategy's focus on sustainable agriculture and reducing waste, as energy-efficient buildings can be designed with sustainable materials and practices in mind.;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;On packaging and packaging waste;A Farm to Fork Strategy;+;1;The On packaging and packaging waste's targets, such as reducing packaging waste, can be enabled by the Farm to Fork Strategy's emphasis on reducing food waste and promoting sustainable food systems, as sustainable food packaging can be designed to minimize waste.;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;On the Energy Performance of Buildings (recast);A Farm to Fork Strategy;+;1;The On the Energy Performance of Buildings (recast)'s targets, such as reducing energy consumption in buildings, can be reinforced by the Farm to Fork Strategy's promotion of sustainable agriculture and food systems, as buildings can be designed with energy production from biomass in mind.;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;REPowerEU Plan;A Farm to Fork Strategy;+;2;The REPowerEU Plan's objectives, such as increasing renewable energy production, can be reinforced by the Farm to Fork Strategy's targets, such as increasing the use of renewable energy in the energy mix, as sustainable agriculture practices can lead to increased renewable energy production from biomass.;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;EU Solar Energy Strategy;A Farm to Fork Strategy;+;2;The EU Solar Energy Strategy's targets, such as increasing solar energy production, can be aided by the Farm to Fork Strategy's focus on sustainable agriculture and reducing waste, as sustainable agriculture practices can lead to increased energy production from biomass, which can be used to produce solar energy.;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Powering a Climate neutrality economy;A Farm to Fork Strategy;+;2;The Powering a Climate neutrality economy's objectives can be facilitated by the Farm to Fork Strategy's implementation, as sustainable agriculture practices can lead to increased renewable energy production, reducing greenhouse gas emissions and reliance on fossil fuels.;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Delivering on the EU offshore renewable energy ambitions;A Farm to Fork Strategy;+;1;The Delivering on the EU offshore renewable energy ambitions' targets can be enabled by the Farm to Fork Strategy's promotion of sustainable food systems and reducing waste, as offshore wind farms can be designed to minimize environmental impact and promote sustainable development.;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;A Farm to Fork Strategy;European Climate Law;+;2;The implementation of the Farm to Fork Strategy can reinforce the European Climate Law by promoting sustainable agriculture practices, reducing greenhouse gas emissions, and enhancing biodiversity, which are all crucial for achieving climate neutrality.;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;A Farm to Fork Strategy;Concerning urban wastewater treatment (recast);+;1;The Farm to Fork Strategy can enable the implementation of the urban wastewater treatment recast by promoting the use of treated wastewater for irrigation, reducing the environmental impact of agriculture, and increasing water efficiency.;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;A Farm to Fork Strategy;Amending Directive 2003/87/EC;-;1;The Farm to Fork Strategy may constrain the implementation of the Amending Directive 2003/87/EC by limiting the use of certain pesticides and fertilizers, which could impact agricultural productivity and the achievement of the directive's objectives.;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;A Farm to Fork Strategy;Amending Regulation (EU) 2018/842;+;2;The Farm to Fork Strategy can reinforce the Amending Regulation (EU) 2018/842 by promoting sustainable land use, reducing deforestation, and enhancing ecosystem services, which are all essential for achieving the regulation's objectives.;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;A Farm to Fork Strategy;Amending Regulations (EU) 2018/841;-;1;The Farm to Fork Strategy may counteract the Amending Regulations (EU) 2018/841 by promoting sustainable agriculture practices that could limit the use of certain land-use practices, which could impact the achievement of the regulation's objectives.;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;A Farm to Fork Strategy;On an EU Strategy to reduce methane emissions;+;3;The implementation of the Farm to Fork Strategy can be indivisible from the EU Strategy to reduce methane emissions, as it promotes sustainable agriculture practices, reduces enteric fermentation, and enhances manure management, which are all crucial for reducing methane emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;
