ta_pairs_nbr;ta_pairs_pairs;model;seed;temperature;system_fingerprint;prompt_tokens;completion_tokens
0;['TA1', 'TA2'];llama-3.3-70b-instruct;;0.1;;100861;610
1;['TA1', 'TA3'];llama-3.3-70b-instruct;;0.1;;99033;899
2;['TA1', 'TA4'];llama-3.3-70b-instruct;;0.1;;99540;1019
3;['TA1', 'TA5'];llama-3.3-70b-instruct;;0.1;;97445;526
4;['TA1', 'TA6'];llama-3.3-70b-instruct;;0.1;;98537;1247
5;['TA1', 'TA7'];llama-3.3-70b-instruct;;0.1;;94530;496
6;['TA2', 'TA1'];llama-3.3-70b-instruct;;0.1;;100861;650
7;['TA2', 'TA3'];llama-3.3-70b-instruct;;0.1;;102275;564
8;['TA2', 'TA4'];llama-3.3-70b-instruct;;0.1;;102782;662
9;['TA2', 'TA5'];llama-3.3-70b-instruct;;0.1;;100687;1107
10;['TA2', 'TA6'];llama-3.3-70b-instruct;;0.1;;101779;974
11;['TA2', 'TA7'];llama-3.3-70b-instruct;;0.1;;97772;782
12;['TA3', 'TA1'];llama-3.3-70b-instruct;;0.1;;99033;876
13;['TA3', 'TA2'];llama-3.3-70b-instruct;;0.1;;102275;766
14;['TA3', 'TA4'];llama-3.3-70b-instruct;;0.1;;100954;1018
15;['TA3', 'TA5'];llama-3.3-70b-instruct;;0.1;;98859;1572
16;['TA3', 'TA6'];llama-3.3-70b-instruct;;0.1;;99951;1200
17;['TA3', 'TA7'];llama-3.3-70b-instruct;;0.1;;95944;759
18;['TA4', 'TA1'];llama-3.3-70b-instruct;;0.1;;99540;1004
19;['TA4', 'TA2'];llama-3.3-70b-instruct;;0.1;;102782;1355
20;['TA4', 'TA3'];llama-3.3-70b-instruct;;0.1;;100954;1161
21;['TA4', 'TA5'];llama-3.3-70b-instruct;;0.1;;99366;1130
22;['TA4', 'TA6'];llama-3.3-70b-instruct;;0.1;;100458;1098
23;['TA4', 'TA7'];llama-3.3-70b-instruct;;0.1;;96451;778
24;['TA5', 'TA1'];llama-3.3-70b-instruct;;0.1;;97445;449
25;['TA5', 'TA2'];llama-3.3-70b-instruct;;0.1;;100687;710
26;['TA5', 'TA3'];llama-3.3-70b-instruct;;0.1;;98859;410
27;['TA5', 'TA4'];llama-3.3-70b-instruct;;0.1;;99366;1136
28;['TA5', 'TA6'];llama-3.3-70b-instruct;;0.1;;98363;437
29;['TA5', 'TA7'];llama-3.3-70b-instruct;;0.1;;94356;437
30;['TA6', 'TA1'];llama-3.3-70b-instruct;;0.1;;98537;946
31;['TA6', 'TA2'];llama-3.3-70b-instruct;;0.1;;101779;590
32;['TA6', 'TA3'];llama-3.3-70b-instruct;;0.1;;99951;986
33;['TA6', 'TA4'];llama-3.3-70b-instruct;;0.1;;100458;589
34;['TA6', 'TA5'];llama-3.3-70b-instruct;;0.1;;98363;519
35;['TA6', 'TA7'];llama-3.3-70b-instruct;;0.1;;95448;744
36;['TA7', 'TA1'];llama-3.3-70b-instruct;;0.1;;94530;624
37;['TA7', 'TA2'];llama-3.3-70b-instruct;;0.1;;97772;581
38;['TA7', 'TA3'];llama-3.3-70b-instruct;;0.1;;95944;599
39;['TA7', 'TA4'];llama-3.3-70b-instruct;;0.1;;96451;712
40;['TA7', 'TA5'];llama-3.3-70b-instruct;;0.1;;94356;456
41;['TA7', 'TA6'];llama-3.3-70b-instruct;;0.1;;95448;856
