Circular Economy Action Plan;Concerning batteries and waste batteries;+;2;The implementation of the Circular Economy Action Plan can reinforce the targets of Concerning batteries and waste batteries by promoting the recycling and reuse of batteries and waste batteries, thus reducing waste and the demand for primary materials.
Concerning batteries and waste batteries;On packaging and packaging waste;+;1;The implementation of Concerning batteries and waste batteries can enable the targets of On packaging and packaging waste by promoting the recycling and reuse of packaging waste, thus reducing waste and the demand for primary materials.
On packaging and packaging waste;Concerning batteries and waste batteries;+;1;The implementation of On packaging and packaging waste can enable the targets of Concerning batteries and waste batteries by promoting the recycling and reuse of packaging waste, thus reducing waste and the demand for primary materials.
On packaging and packaging waste;Circular Economy Action Plan;-;2;The implementation of On packaging and packaging waste may counteract the targets of Circular Economy Action Plan by promoting the use of packaging materials that are not recyclable or reusable, thus increasing waste and the demand for primary materials.
Concerning batteries and waste batteries;Critical Raw Materials;+;3;The implementation of Concerning batteries and waste batteries can reinforce the targets of Critical Raw Materials by promoting the recycling and reuse of critical raw materials, thus reducing the demand for primary materials and promoting a more circular economy.
Critical Raw Materials;Net Zero Industry Act;+;2;The implementation of Critical Raw Materials can enable the targets of Net Zero Industry Act by promoting the use of critical raw materials in the production of net-zero technologies, thus reducing greenhouse gas emissions and promoting a more sustainable economy.
Net Zero Industry Act;Amending Directive 2008/98/EC on waste;+;1;The implementation of Net Zero Industry Act can enable the targets of Amending Directive 2008/98/EC on waste by promoting the recycling and reuse of waste, thus reducing waste and the demand for primary materials.
Amending Directive 2008/98/EC on waste;Circular Economy Action Plan;+;1;The implementation of Amending Directive 2008/98/EC on waste can enable the targets of Circular Economy Action Plan by promoting the recycling and reuse of waste, thus reducing waste and the demand for primary materials.
European Climate Law;Concerning urban wastewater treatment (recast);+;2;The implementation of European Climate Law can reinforce the targets of Concerning urban wastewater treatment (recast) by promoting the reduction of greenhouse gas emissions and the protection of the environment, thus promoting a more sustainable economy.
Concerning urban wastewater treatment (recast);Amending Directive 2003/87/EC;+;1;The implementation of Concerning urban wastewater treatment (recast) can enable the targets of Amending Directive 2003/87/EC by promoting the reduction of greenhouse gas emissions and the protection of the environment, thus promoting a more sustainable economy.
Amending Directive 2003/87/EC;Amending Regulations (EU) 2018/842;+;1;The implementation of Amending Directive 2003/87/EC can enable the targets of Amending Regulations (EU) 2018/842 by promoting the reduction of greenhouse gas emissions and the protection of the environment, thus promoting a more sustainable economy.
Amending Regulations (EU) 2018/842;European Climate Law;+;2;The implementation of Amending Regulations (EU) 2018/842 can reinforce the targets of European Climate Law by promoting the reduction of greenhouse gas emissions and the protection of the environment, thus promoting a more sustainable economy.
On an EU Strategy to reduce methane emissions;A Renovation Wave for Europe;+;1;The implementation of On an EU Strategy to reduce methane emissions can enable the targets of A Renovation Wave for Europe by promoting the reduction of greenhouse gas emissions and the protection of the environment, thus promoting a more sustainable economy.
A Renovation Wave for Europe;Amending Directive 2003/87/EC;+;1;The implementation of A Renovation Wave for Europe can enable the targets of Amending Directive 2003/87/EC by promoting the reduction of greenhouse gas emissions and the protection of the environment, thus promoting a more sustainable economy.
