"source_policydoc"; "impact_policydoc"; "impact_type"; "impact_weight"; "justification"
"Directive 2010/75/EU of the European Parliament and of the Council"; "EU Biodiversity Strategy for 2030"; "+"; "2"; "The implementation of the Directive 2010/75/EU can reinforce the EU Biodiversity Strategy for 2030 by providing a framework for reducing emissions from industrial installations, which can aid in achieving biodiversity conservation targets."
"On the quality of water intended for human consumption"; "EU Biodiversity Strategy for 2030"; "+"; "1"; "Improving water quality can enable better protection of aquatic ecosystems, which is a key aspect of the EU Biodiversity Strategy for 2030."
"Pathway to a Healthy Planet for All EU Action Plan"; "EU Biodiversity Strategy for 2030"; "+"; "2"; "The Pathway to a Healthy Planet for All EU Action Plan can enable the EU Biodiversity Strategy for 2030 by promoting a holistic approach to addressing environmental challenges, including biodiversity loss."
"European assessment framework for ‘safe and sustainable by design’ chemicals and materials"; "EU Biodiversity Strategy for 2030"; "+"; "1"; "The European assessment framework can aid in reducing pollution, which is a key factor in achieving biodiversity conservation targets outlined in the EU Biodiversity Strategy for 2030."
"On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal"; "EU Biodiversity Strategy for 2030"; "+"; "1"; "Improved reporting and monitoring of industrial emissions can facilitate the implementation of the EU Biodiversity Strategy for 2030 by providing better data for assessing the impact of industrial activities on biodiversity."
"on ambient air quality and cleaner air for Europe"; "EU Biodiversity Strategy for 2030"; "+"; "2"; "Reducing air pollution can have a positive impact on biodiversity, as outlined in the EU Biodiversity Strategy for 2030, by decreasing the harmful effects of air pollutants on ecosystems."
"Pathway to a Healthy Planet for All EU Action Plan"; "On Nature Restoration"; "+"; "2"; "The Pathway to a Healthy Planet for All EU Action Plan can support the implementation of the Nature Restoration Law by promoting ecosystem restoration and biodiversity conservation."
"Pathway to a Healthy Planet for All EU Action Plan"; "EU Soil Strategy for 2030"; "+"; "1"; "The Pathway to a Healthy Planet for All EU Action Plan can enable the EU Soil Strategy for 2030 by promoting sustainable soil management practices, which are essential for maintaining ecosystem services and biodiversity."
"Regulation on plant reproductive material"; "EU Biodiversity Strategy for 2030"; "+"; "1"; "The Regulation on plant reproductive material can support the implementation of the EU Biodiversity Strategy for 2030 by promoting the use of sustainable plant reproductive materials, which can aid in reducing biodiversity loss."
"Ensuring resilient and sustainable use of EU's natural resources"; "EU Biodiversity Strategy for 2030"; "+"; "2"; "Ensuring resilient and sustainable use of natural resources can support the EU Biodiversity Strategy for 2030 by promoting ecosystem services and reducing biodiversity loss."
"EU Biodiversity Strategy for 2030"; "On Nature Restoration"; "+"; "3"; "The EU Biodiversity Strategy for 2030 can enable the implementation of the Nature Restoration Law by providing a framework for biodiversity conservation and restoration, which is a key aspect of the law."
"EU Biodiversity Strategy for 2030"; "Fisheries and Oceans Pact"; "+"; "1"; "The EU Biodiversity Strategy for 2030 can support the implementation of the Fisheries and Oceans Pact by promoting sustainable fishing practices, which can aid in reducing biodiversity loss in marine ecosystems."
"EU Biodiversity Strategy for 2030"; "Regulation on forest reproductive material"; "+"; "1"; "The EU Biodiversity Strategy for 2030 can enable the implementation of the Regulation on forest reproductive material by promoting sustainable forest management practices, which are essential for maintaining ecosystem services and biodiversity."
