ta_pairs_nbr;ta_pairs_pairs;model;seed;temperature;system_fingerprint;prompt_tokens;completion_tokens
0;['TA1', 'TA2'];llama-3.3-70b-instruct;;0.1;;101882;939
1;['TA1', 'TA3'];llama-3.3-70b-instruct;;0.1;;100925;607
2;['TA1', 'TA4'];llama-3.3-70b-instruct;;0.1;;101101;1609
3;['TA1', 'TA5'];llama-3.3-70b-instruct;;0.1;;107646;887
4;['TA1', 'TA6'];llama-3.3-70b-instruct;;0.1;;102820;509
5;['TA1', 'TA7'];llama-3.3-70b-instruct;;0.1;;97677;980
6;['TA2', 'TA1'];llama-3.3-70b-instruct;;0.1;;101882;688
7;['TA2', 'TA3'];llama-3.3-70b-instruct;;0.1;;101000;842
8;['TA2', 'TA4'];llama-3.3-70b-instruct;;0.1;;101176;932
9;['TA2', 'TA5'];llama-3.3-70b-instruct;;0.1;;107721;1555
10;['TA2', 'TA6'];llama-3.3-70b-instruct;;0.1;;102895;3009
11;['TA2', 'TA7'];llama-3.3-70b-instruct;;0.1;;97752;468
12;['TA3', 'TA1'];llama-3.3-70b-instruct;;0.1;;100925;1264
13;['TA3', 'TA2'];llama-3.3-70b-instruct;;0.1;;101000;707
14;['TA3', 'TA4'];llama-3.3-70b-instruct;;0.1;;100219;2235
15;['TA3', 'TA5'];llama-3.3-70b-instruct;;0.1;;106764;3182
16;['TA3', 'TA6'];llama-3.3-70b-instruct;;0.1;;101938;707
17;['TA3', 'TA7'];llama-3.3-70b-instruct;;0.1;;96795;596
18;['TA4', 'TA1'];llama-3.3-70b-instruct;;0.1;;101101;982
19;['TA4', 'TA2'];llama-3.3-70b-instruct;;0.1;;101176;697
20;['TA4', 'TA3'];llama-3.3-70b-instruct;;0.1;;100219;1604
21;['TA4', 'TA5'];llama-3.3-70b-instruct;;0.1;;106940;660
22;['TA4', 'TA6'];llama-3.3-70b-instruct;;0.1;;102114;2084
23;['TA4', 'TA7'];llama-3.3-70b-instruct;;0.1;;96971;1694
24;['TA5', 'TA1'];llama-3.3-70b-instruct;;0.1;;107646;522
25;['TA5', 'TA2'];llama-3.3-70b-instruct;;0.1;;107721;823
26;['TA5', 'TA3'];llama-3.3-70b-instruct;;0.1;;106764;1024
27;['TA5', 'TA4'];llama-3.3-70b-instruct;;0.1;;106940;1399
28;['TA5', 'TA6'];llama-3.3-70b-instruct;;0.1;;108659;942
29;['TA5', 'TA7'];llama-3.3-70b-instruct;;0.1;;103516;505
30;['TA6', 'TA1'];llama-3.3-70b-instruct;;0.1;;102820;1030
31;['TA6', 'TA2'];llama-3.3-70b-instruct;;0.1;;102895;841
32;['TA6', 'TA3'];llama-3.3-70b-instruct;;0.1;;101938;720
33;['TA6', 'TA4'];llama-3.3-70b-instruct;;0.1;;102114;2072
34;['TA6', 'TA5'];llama-3.3-70b-instruct;;0.1;;108659;674
35;['TA6', 'TA7'];llama-3.3-70b-instruct;;0.1;;98690;1049
36;['TA7', 'TA1'];llama-3.3-70b-instruct;;0.1;;97677;1228
37;['TA7', 'TA2'];llama-3.3-70b-instruct;;0.1;;97752;684
38;['TA7', 'TA3'];llama-3.3-70b-instruct;;0.1;;96795;617
39;['TA7', 'TA4'];llama-3.3-70b-instruct;;0.1;;96971;403
40;['TA7', 'TA5'];llama-3.3-70b-instruct;;0.1;;103516;1188
41;['TA7', 'TA6'];llama-3.3-70b-instruct;;0.1;;98690;398
